match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4575,5666,2577,20,20,9,11,2,0,9,0,0,9
1,qm,blue,1676,1672,4281,49,49,12,31,10,18,3,6,0,12
2,qm,red,193,41,102,55,55,15,40,10,18,12,0,0,15
2,qm,blue,2458,1403,1626,53,53,9,44,8,27,9,0,0,9
3,qm,red,752,2070,747,61,61,9,33,12,3,18,19,0,9
3,qm,blue,5992,25,3340,48,48,15,30,12,9,9,3,0,15
4,qm,red,56,1923,6897,69,69,9,60,12,30,18,0,0,9
4,qm,blue,1811,3637,4653,52,52,9,43,10,21,12,0,0,9
5,qm,red,293,7587,3314,62,62,15,38,2,21,15,9,0,15
5,qm,blue,1279,714,1989,60,60,9,38,8,24,6,13,0,9
6,qm,red,6327,6016,223,46,46,9,34,10,24,0,3,0,9
6,qm,blue,7045,222,225,69,69,15,54,18,21,15,0,0,15
7,qm,red,1403,3637,4750,61,61,6,45,6,27,12,10,0,6
7,qm,blue,2070,5666,41,38,38,12,26,14,3,9,0,0,12
8,qm,red,6897,102,1989,40,40,12,15,0,6,9,13,0,12
8,qm,blue,3314,4575,4653,57,57,15,42,12,15,15,0,0,15
9,qm,red,225,25,293,58,58,15,37,10,9,18,6,0,15
9,qm,blue,5992,222,747,78,78,15,63,18,30,15,0,0,15
10,qm,red,2458,7587,193,51,51,9,42,6,18,18,0,0,9
10,qm,blue,752,1672,2577,51,51,15,33,6,9,18,3,0,15
11,qm,red,4281,7045,56,57,57,9,45,6,27,12,3,0,9
11,qm,blue,714,1626,6016,72,72,12,60,12,30,18,0,0,12
12,qm,red,223,1279,1676,63,63,15,48,6,27,15,0,0,15
12,qm,blue,1923,1811,6327,63,63,15,48,6,21,21,0,0,15
13,qm,red,6897,3340,3314,61,61,12,46,4,24,18,3,0,12
13,qm,blue,4750,2458,1989,36,36,9,27,6,12,9,0,0,9
14,qm,red,4575,7045,6016,39,39,12,27,0,18,9,0,0,12
14,qm,blue,3637,2577,41,65,65,15,44,14,15,15,6,0,15
15,qm,red,1672,25,1923,70,70,12,58,16,21,21,0,0,12
15,qm,blue,747,1676,1811,77,77,15,62,14,30,18,0,0,15
16,qm,red,2070,1626,6327,50,50,12,38,2,18,18,0,0,12
16,qm,blue,4750,5666,714,39,39,12,24,12,6,6,3,0,12
17,qm,red,4281,222,293,62,62,9,47,8,24,15,6,0,9
17,qm,blue,752,4653,193,61,61,9,42,6,21,15,10,0,9
18,qm,red,7587,102,223,54,54,15,39,6,21,12,0,0,15
18,qm,blue,56,1403,5992,75,75,6,66,12,33,21,3,0,6
19,qm,red,1672,225,1279,48,48,12,36,6,21,9,0,0,12
19,qm,blue,3637,3340,1923,59,59,12,41,14,12,15,6,0,12
20,qm,red,5666,1676,1989,39,39,9,30,0,18,12,0,0,9
20,qm,blue,41,747,7045,60,60,15,45,18,9,18,0,0,15
21,qm,red,1626,25,4575,60,60,15,45,6,18,21,0,0,15
21,qm,blue,223,1403,4653,74,74,15,49,10,24,15,10,0,15
22,qm,red,4281,2070,2458,24,24,6,18,6,3,9,0,0,6
22,qm,blue,1279,6016,6897,47,47,6,41,8,27,6,0,0,6
23,qm,red,714,2577,293,48,48,15,30,12,9,9,3,0,15
23,qm,blue,3340,225,102,71,71,15,53,8,24,21,3,0,15
24,qm,red,7587,1811,56,51,51,9,39,0,18,21,3,0,9
24,qm,blue,6327,4750,752,31,31,15,16,4,3,9,0,0,15
25,qm,red,25,222,193,74,74,12,59,14,30,15,3,0,12
25,qm,blue,3314,5992,5666,63,63,12,51,6,24,21,0,0,12
26,qm,red,41,225,2458,74,74,15,46,10,18,18,13,0,15
26,qm,blue,1989,223,4575,64,64,12,52,10,30,12,0,0,12
27,qm,red,747,714,1403,82,82,12,70,16,33,21,0,0,12
27,qm,blue,1279,2577,4750,57,57,12,39,12,18,9,6,0,12
28,qm,red,293,102,1811,74,74,15,56,8,24,24,3,0,15
28,qm,blue,222,6897,2070,60,60,6,54,12,30,12,0,0,6
29,qm,red,5992,752,1923,59,59,12,47,14,21,12,0,0,12
29,qm,blue,1626,3340,7045,37,37,3,31,4,9,18,3,0,3
30,qm,red,193,6327,1672,55,55,12,40,4,21,15,3,0,12
30,qm,blue,6016,3314,56,81,81,9,63,18,27,18,9,0,9
31,qm,red,4653,1676,25,77,77,15,62,20,27,15,0,0,15
31,qm,blue,7587,3637,4281,40,40,12,28,4,21,3,0,0,12
32,qm,red,7045,223,1811,65,65,12,50,8,27,15,3,0,12
32,qm,blue,4575,293,4750,52,52,15,37,10,18,9,0,0,15
33,qm,red,1403,1672,2070,34,34,6,28,10,6,12,0,0,6
33,qm,blue,222,56,1279,54,54,12,42,12,24,6,0,0,12
34,qm,red,752,2458,3637,47,47,12,35,8,15,12,0,0,12
34,qm,blue,4281,3314,225,68,68,12,56,14,24,18,0,0,12
35,qm,red,714,5992,1676,71,71,12,59,14,33,12,0,0,12
35,qm,blue,41,6897,1626,68,68,15,53,20,15,18,0,0,15
36,qm,red,6016,747,3340,77,77,15,59,14,24,21,3,0,15
36,qm,blue,6327,5666,7587,32,32,12,20,8,12,0,0,0,12
37,qm,red,1989,193,1923,73,73,9,64,16,21,27,0,0,9
37,qm,blue,102,4653,2577,51,51,9,42,6,27,9,0,0,9
38,qm,red,1626,3314,1672,52,52,9,43,16,21,6,0,0,9
38,qm,blue,7045,2070,25,47,47,6,41,8,24,9,0,0,6
39,qm,red,1676,293,752,53,53,15,38,8,12,18,0,0,15
39,qm,blue,6327,714,6897,52,52,12,29,8,12,9,10,1,12
40,qm,red,1279,1923,4281,37,37,9,28,4,18,6,0,0,9
40,qm,blue,5992,4575,2458,41,41,12,29,8,21,0,0,0,12
41,qm,red,6016,193,3637,72,72,12,60,12,30,18,0,0,12
41,qm,blue,1989,1811,1403,57,57,9,45,6,27,12,3,0,9
42,qm,red,225,4653,5666,73,73,15,58,10,30,18,0,0,15
42,qm,blue,223,747,56,90,90,15,75,18,33,24,0,0,15
43,qm,red,222,4750,102,53,53,15,35,8,12,15,3,0,15
43,qm,blue,7587,41,3340,38,38,12,26,14,3,9,0,0,12
44,qm,red,1403,6327,2577,70,70,15,55,10,24,21,0,0,15
44,qm,blue,1811,4281,752,56,56,15,41,8,18,15,0,0,15
45,qm,red,56,2458,1672,64,64,9,55,10,24,21,0,0,9
45,qm,blue,6897,293,223,46,46,15,31,4,21,6,0,0,15
46,qm,red,1989,5992,7045,35,35,9,26,2,21,3,0,0,9
46,qm,blue,25,102,5666,75,75,15,54,12,27,15,6,0,15
47,qm,red,222,4653,41,69,69,15,54,6,27,21,0,0,15
47,qm,blue,3340,1279,193,61,61,12,46,4,21,21,3,0,12
48,qm,red,4750,3314,1676,66,66,12,54,12,21,21,0,0,12
48,qm,blue,225,1923,6016,71,71,12,59,14,36,9,0,0,12
49,qm,red,714,4575,2070,30,30,9,18,6,3,9,3,0,9
49,qm,blue,2577,7587,747,50,50,15,26,8,3,15,9,0,15
50,qm,red,1626,5992,1279,79,79,12,67,16,36,15,0,0,12
50,qm,blue,3637,1989,1672,57,57,12,45,12,24,9,0,0,12
51,qm,red,3340,1676,1403,56,56,15,41,8,18,15,0,0,15
51,qm,blue,102,56,6327,49,49,15,31,4,21,6,3,0,15
52,qm,red,1923,41,4750,68,68,12,50,20,12,18,6,0,12
52,qm,blue,747,193,4281,53,53,15,38,2,15,21,0,0,15
53,qm,red,7045,3637,714,40,40,12,25,10,6,9,3,0,12
53,qm,blue,4575,752,222,59,59,15,44,8,21,15,0,0,15
54,qm,red,5666,6897,1811,44,44,9,32,8,21,3,3,0,9
54,qm,blue,225,1626,7587,63,63,15,48,12,21,15,0,0,15
55,qm,red,3314,2577,25,82,82,12,70,16,33,21,0,0,12
55,qm,blue,4653,6016,293,36,36,3,30,6,21,3,3,0,3
56,qm,red,2070,223,3637,61,61,12,46,10,30,6,3,0,12
56,qm,blue,2458,714,222,64,64,12,52,16,24,12,0,0,12
57,qm,red,747,6897,225,96,96,15,68,14,33,21,13,0,15
57,qm,blue,193,1626,1676,63,63,15,48,6,21,21,0,0,15
58,qm,red,102,1279,1403,69,69,12,57,12,30,15,0,0,12
58,qm,blue,25,752,6016,65,65,12,53,8,30,15,0,0,12
59,qm,red,41,4281,6327,66,66,15,51,18,15,18,0,0,15
59,qm,blue,3314,1989,2070,40,40,6,31,4,15,12,3,0,6
60,qm,red,3340,2458,4653,57,57,15,42,12,18,12,0,0,15
60,qm,blue,1672,1811,5992,61,61,12,37,10,18,9,12,0,12
61,qm,red,1923,4575,7587,50,50,15,35,14,6,15,0,0,15
61,qm,blue,5666,56,293,55,55,15,37,4,18,15,3,0,15
62,qm,red,2577,7045,6897,37,37,12,25,4,6,15,0,0,12
62,qm,blue,4750,223,25,68,68,15,50,14,30,6,3,0,15
63,qm,red,6016,4281,5992,37,37,9,28,4,21,3,0,0,9
63,qm,blue,102,747,3637,83,83,15,68,14,36,18,0,0,15
64,qm,red,293,2070,3340,45,45,12,33,6,15,12,0,0,12
64,qm,blue,1676,41,4575,65,65,15,50,20,9,21,0,0,15
65,qm,red,1672,7045,5666,31,31,12,19,4,6,9,0,0,12
65,qm,blue,1403,225,752,71,71,15,56,14,21,21,0,0,15
66,qm,red,1811,1279,3314,64,64,12,52,10,30,12,0,0,12
66,qm,blue,223,193,714,65,65,15,50,14,21,15,0,0,15
67,qm,red,56,1989,1626,69,69,12,57,12,24,21,0,0,12
67,qm,blue,2577,1923,222,58,58,9,49,16,24,9,0,0,9
68,qm,red,4653,7587,4750,38,38,12,26,8,15,3,0,0,12
68,qm,blue,2458,6327,7045,26,26,12,8,2,0,6,6,0,12
69,qm,red,102,752,714,49,49,15,34,10,12,12,0,0,15
69,qm,blue,6016,1672,41,58,58,12,46,10,18,18,0,0,12
70,qm,red,5666,3340,222,69,69,15,54,12,30,12,0,0,15
70,qm,blue,2577,4281,1626,52,52,15,34,4,9,21,3,0,15
71,qm,red,4653,1989,747,55,55,15,40,4,18,18,0,0,15
71,qm,blue,1811,4750,2070,47,47,9,32,8,12,12,6,0,9
72,qm,red,3637,6327,4575,50,50,12,38,8,21,9,0,0,12
72,qm,blue,193,293,5992,64,64,12,52,10,27,15,0,0,12
73,qm,red,6897,1403,7587,56,56,12,44,8,27,9,0,0,12
73,qm,blue,1923,223,3314,91,91,12,64,16,30,18,15,0,12
74,qm,red,25,2458,1279,61,61,12,49,10,24,15,0,0,12
74,qm,blue,1676,56,225,68,68,15,50,8,30,12,3,0,15
