match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5025,6519,1197,44,44,12,32,2,15,15,0,0,12
1,qm,blue,696,2647,60,43,43,15,28,10,15,3,0,0,15
2,qm,red,987,5474,3491,63,63,15,48,12,21,15,0,0,15
2,qm,blue,5429,6821,7566,16,16,6,10,4,3,3,0,0,6
3,qm,red,7077,3309,7654,11,11,3,8,2,0,6,0,0,3
3,qm,blue,7426,4322,5285,70,70,15,52,16,30,6,3,0,15
4,qm,red,7567,5851,842,84,84,12,69,18,33,18,3,0,12
4,qm,blue,988,7422,6825,26,26,6,10,4,3,3,10,0,6
5,qm,red,1572,5049,6957,40,40,9,25,4,12,9,6,0,9
5,qm,blue,1661,6822,7425,43,43,9,34,4,24,6,0,0,9
6,qm,red,3965,1388,7424,47,47,15,32,2,12,18,0,0,15
6,qm,blue,7613,7183,2485,41,41,9,29,2,21,6,3,0,9
7,qm,red,4501,1836,991,76,76,12,64,16,30,18,0,0,12
7,qm,blue,3009,6824,7880,55,55,15,40,10,24,6,0,0,15
8,qm,red,988,585,6519,20,20,9,11,8,0,3,0,0,9
8,qm,blue,1266,3309,6825,55,55,9,46,10,18,18,0,0,9
9,qm,red,1661,7422,6821,36,36,15,11,2,3,6,10,0,15
9,qm,blue,7077,60,7566,47,47,9,17,8,3,6,21,0,9
10,qm,red,7567,5025,2647,57,57,9,45,12,24,9,3,0,9
10,qm,blue,7880,4501,5285,71,71,12,49,10,30,9,10,0,12
11,qm,red,1388,7425,1836,69,69,9,57,12,24,21,3,0,9
11,qm,blue,3965,7654,842,44,44,15,29,8,3,18,0,0,15
12,qm,red,3491,3009,7426,36,36,15,21,6,12,3,0,0,15
12,qm,blue,6824,6957,7613,53,53,15,35,14,12,9,3,0,15
13,qm,red,585,5851,5049,45,45,15,20,2,12,6,10,0,15
13,qm,blue,1197,1572,7424,58,58,15,43,4,18,21,0,0,15
14,qm,red,6822,987,4322,82,82,15,67,16,33,18,0,0,15
14,qm,blue,991,2485,1266,61,61,15,36,0,18,18,10,0,15
15,qm,red,7183,696,988,36,36,9,27,0,9,18,0,0,9
