match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2601,884,7522,40,40,12,28,4,15,9,0,0,12
1,qm,blue,870,810,1156,95,95,15,50,14,15,21,30,0,15
2,qm,red,5599,3015,6423,58,58,6,49,10,30,9,3,0,6
2,qm,blue,522,5099,1796,55,55,3,31,10,9,12,21,0,3
3,qm,red,4458,3950,329,48,48,12,33,6,12,15,3,0,12
3,qm,blue,5659,601,6969,22,22,9,3,0,0,3,10,0,9
4,qm,red,7400,6989,545,33,33,12,12,0,6,6,9,0,12
4,qm,blue,1537,263,340,53,53,12,41,8,15,18,0,0,12
5,qm,red,3171,533,527,45,45,12,33,12,15,6,0,0,12
5,qm,blue,806,4006,287,48,48,9,29,8,9,12,10,0,9
6,qm,red,871,1751,5736,56,56,9,44,8,24,12,3,0,9
6,qm,blue,6422,3137,2872,23,23,12,11,2,0,9,0,0,12
7,qm,red,7732,6806,564,60,60,9,41,8,18,15,10,0,9
7,qm,blue,6746,2487,7239,47,47,12,35,14,15,6,0,0,12
8,qm,red,3624,5016,352,53,53,12,28,10,3,15,13,0,12
8,qm,blue,496,271,1468,48,48,12,33,6,15,12,3,0,12
9,qm,red,263,870,806,54,54,12,42,12,15,15,0,0,12
9,qm,blue,5099,4006,884,29,29,6,23,2,6,15,0,0,6
10,qm,red,5599,527,1156,44,44,9,35,8,21,6,0,0,9
10,qm,blue,601,871,3137,32,32,9,20,8,3,9,3,0,9
11,qm,red,533,329,7522,66,66,15,41,8,21,12,10,0,15
11,qm,blue,7732,6422,522,20,20,6,11,2,3,6,3,0,6
12,qm,red,1537,5659,3171,52,52,12,22,4,12,6,18,0,12
12,qm,blue,810,6423,6746,56,56,12,35,8,18,9,9,0,12
13,qm,red,1796,3624,2872,33,33,15,8,2,0,6,10,0,15
13,qm,blue,4458,352,2601,35,35,9,20,2,9,9,6,0,9
14,qm,red,287,7239,340,78,78,12,63,18,21,24,3,0,12
14,qm,blue,271,2487,1751,31,31,12,19,4,3,12,0,0,12
15,qm,red,1468,545,5736,61,61,12,37,4,24,9,12,0,12
15,qm,blue,6969,5016,564,41,41,12,29,8,12,9,0,0,12
16,qm,red,7400,496,6806,44,44,12,32,2,21,9,0,0,12
16,qm,blue,3015,6989,3950,83,83,12,68,14,33,21,3,0,12
17,qm,red,806,7522,6422,51,51,6,26,2,15,9,19,0,6
17,qm,blue,6423,527,3624,81,81,12,32,8,12,12,37,0,12
18,qm,red,3137,4458,5599,30,30,9,18,6,3,9,3,0,9
18,qm,blue,4006,271,1537,42,42,12,30,0,9,21,0,0,12
19,qm,red,340,6746,533,115,115,15,56,14,24,18,44,0,15
19,qm,blue,1156,5099,5016,67,67,9,52,16,24,12,6,0,9
20,qm,red,287,3950,871,65,65,15,47,14,12,21,3,0,15
20,qm,blue,352,884,601,41,41,9,32,2,18,12,0,0,9
21,qm,red,329,5659,545,72,72,15,44,8,18,18,13,0,15
21,qm,blue,2872,6806,3015,92,92,15,51,12,24,15,26,0,15
22,qm,red,1751,7239,6989,57,57,12,42,12,24,6,3,0,12
22,qm,blue,6969,870,1796,99,99,15,84,24,42,18,0,0,15
23,qm,red,263,3171,2601,76,76,15,39,12,18,9,22,0,15
23,qm,blue,2487,564,496,46,46,9,37,4,21,12,0,0,9
24,qm,red,7400,5736,522,51,51,15,36,6,21,9,0,0,15
24,qm,blue,810,7732,1468,56,56,12,44,8,21,15,0,0,12
25,qm,red,533,6422,6423,37,37,12,25,4,12,9,0,0,12
25,qm,blue,3950,545,3137,29,29,9,20,8,3,9,0,0,9
26,qm,red,352,271,6806,47,47,15,32,2,15,15,0,0,15
26,qm,blue,1751,884,329,56,56,12,31,4,9,18,13,0,12
27,qm,red,6969,6989,4458,56,56,15,31,4,18,9,10,0,15
