match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3484,3138,2603,47,47,12,35,14,9,12,0,0,12
1,qm,blue,1518,5667,5053,60,60,12,48,12,24,12,0,0,12
2,qm,red,3591,2228,3157,59,59,12,47,20,6,21,0,0,12
2,qm,blue,3193,2340,6027,48,48,12,33,6,18,9,3,0,12
3,qm,red,5030,2783,1405,51,51,9,42,6,18,18,0,0,9
3,qm,blue,2641,4780,4119,71,71,15,53,14,27,12,3,0,15
4,qm,red,5973,379,6181,58,58,9,49,16,12,21,0,0,9
4,qm,blue,2172,5418,6916,16,16,6,10,4,0,6,0,0,6
5,qm,red,48,6964,1014,61,61,12,49,10,21,18,0,0,12
5,qm,blue,1126,6936,1507,96,96,15,50,14,27,9,31,0,15
6,qm,red,2632,4085,5413,67,67,9,58,16,27,15,0,0,9
6,qm,blue,4601,3003,7055,41,41,9,29,8,6,15,3,0,9
7,qm,red,378,695,4521,53,53,12,38,8,18,12,3,0,12
7,qm,blue,4145,7885,6355,48,48,12,36,6,15,15,0,0,12
8,qm,red,3641,1590,1248,53,53,6,37,4,15,18,10,0,6
8,qm,blue,2399,3266,578,65,65,12,41,8,24,9,12,0,12
9,qm,red,4028,451,1559,59,59,12,41,14,12,15,6,0,12
9,qm,blue,4611,6870,2252,56,56,15,41,8,24,9,0,0,15
10,qm,red,3260,5254,4121,78,78,15,63,12,33,18,0,0,15
10,qm,blue,120,7043,2010,77,77,9,48,6,24,18,20,0,9
11,qm,red,2603,6936,4601,56,56,12,34,4,18,12,10,0,12
11,qm,blue,5030,379,1126,66,66,12,54,18,21,15,0,0,12
12,qm,red,3484,6027,3157,58,58,12,46,16,15,15,0,0,12
12,qm,blue,6964,2632,695,43,43,15,25,10,9,6,3,0,15
13,qm,red,3641,4119,6181,79,79,12,51,18,15,18,16,0,12
13,qm,blue,3591,48,7055,55,55,9,26,2,12,12,20,0,9
14,qm,red,4521,6916,3003,47,47,12,35,8,12,15,0,0,12
14,qm,blue,1405,1590,5667,68,68,9,56,14,24,18,3,0,9
15,qm,red,2641,4028,1507,105,105,12,80,20,39,21,13,0,12
15,qm,blue,3138,2172,451,48,48,15,33,6,18,9,0,0,15
16,qm,red,5418,2399,2252,63,63,15,35,8,18,9,13,0,15
16,qm,blue,3260,6870,7885,58,58,15,43,10,27,6,0,0,15
17,qm,red,4121,1518,4611,50,50,15,35,2,18,15,0,0,15
17,qm,blue,4085,4780,3266,56,56,12,44,8,24,12,0,0,12
18,qm,red,2783,3193,5973,56,56,15,41,8,24,9,0,0,15
18,qm,blue,7043,378,578,39,39,12,27,6,12,9,0,0,12
19,qm,red,5413,6355,120,79,79,9,70,16,42,12,0,0,9
19,qm,blue,1559,2340,5053,66,66,9,57,12,27,18,0,0,9
20,qm,red,5254,1014,2010,61,61,9,33,6,9,18,19,0,9
20,qm,blue,4145,1248,2228,40,40,15,25,10,3,12,0,0,15
21,qm,red,2399,6916,1126,58,58,15,40,10,21,9,3,0,15
21,qm,blue,695,2641,3157,57,57,15,30,12,0,18,12,0,15
22,qm,red,4611,3484,5667,61,61,12,49,10,27,12,0,0,12
22,qm,blue,5418,3591,1507,49,49,9,40,10,24,6,0,0,9
23,qm,red,4121,6936,1590,43,43,12,31,10,15,6,0,0,12
23,qm,blue,2252,4601,4119,41,41,15,26,8,9,9,0,0,15
24,qm,red,4085,6964,2172,65,65,12,33,6,12,15,20,0,12
24,qm,blue,3193,3260,5413,48,48,15,33,12,15,6,0,0,15
25,qm,red,578,48,1248,66,66,12,54,12,24,18,0,0,12
25,qm,blue,4521,5053,7043,45,45,12,33,6,18,9,0,0,12
26,qm,red,2632,378,1559,51,51,15,36,6,18,12,0,0,15
26,qm,blue,1405,1014,1518,59,59,12,44,8,27,9,3,0,12
27,qm,red,6181,451,2340,24,24,12,12,6,0,6,0,0,12
27,qm,blue,7885,5254,2783,66,66,12,54,18,18,18,0,0,12
28,qm,red,4780,2603,3003,64,64,12,52,10,24,18,0,0,12
28,qm,blue,6355,2228,4028,60,60,12,48,24,9,15,0,0,12
29,qm,red,6870,3266,3138,51,51,15,36,6,18,12,0,0,15
29,qm,blue,379,4145,120,83,83,12,71,14,36,21,0,0,12
30,qm,red,6027,2010,5973,46,46,12,34,4,18,12,0,0,12
30,qm,blue,7055,5030,3641,72,72,12,60,12,30,18,0,0,12
31,qm,red,3157,5418,6964,42,42,15,27,12,9,6,0,0,15
31,qm,blue,4601,4521,1559,40,40,9,31,4,21,6,0,0,9
32,qm,red,2399,3591,4611,62,62,12,50,8,21,21,0,0,12
32,qm,blue,5053,1014,2632,61,61,12,49,10,27,12,0,0,12
33,qm,red,2783,1126,3260,46,46,15,31,10,6,15,0,0,15
33,qm,blue,1518,1590,2228,62,62,12,50,14,24,12,0,0,12
34,qm,red,378,4119,5254,61,61,15,46,10,27,9,0,0,15
34,qm,blue,4085,1507,379,83,83,12,71,20,36,15,0,0,12
35,qm,red,3003,1248,451,89,89,15,55,16,3,36,19,0,15
35,qm,blue,5973,6916,3484,43,43,12,31,10,21,0,0,0,12
