match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1305,4152,6514,70,70,15,55,16,27,12,0,0,15
1,qm,blue,1246,6864,610,43,43,15,28,4,18,6,0,0,15
2,qm,red,3543,4678,7267,51,51,15,36,6,15,15,0,0,15
2,qm,blue,2994,4519,6135,73,73,15,55,10,27,18,3,0,15
3,qm,red,4968,6859,6865,36,36,15,21,0,9,12,0,0,15
3,qm,blue,4783,6461,4917,65,65,12,34,10,9,15,19,0,12
4,qm,red,7052,7476,1310,52,52,12,34,4,18,12,6,0,12
4,qm,blue,4704,2706,1374,46,46,9,34,10,21,3,3,0,9
5,qm,red,4069,1334,6336,73,73,15,55,10,27,18,3,0,15
5,qm,blue,6632,4914,5672,55,55,15,34,4,24,6,6,0,15
6,qm,red,2013,4946,6864,58,58,15,43,4,21,18,0,0,15
6,qm,blue,6987,1246,4704,58,58,15,43,10,27,6,0,0,15
7,qm,red,7476,4152,4917,55,55,12,43,10,24,9,0,0,12
7,qm,blue,7052,5672,4069,59,59,12,47,8,24,15,0,0,12
8,qm,red,3543,4519,1334,46,46,15,31,4,21,6,0,0,15
8,qm,blue,4783,1374,6514,17,17,6,11,2,0,9,0,0,6
9,qm,red,6859,4914,6336,59,59,15,44,2,21,21,0,0,15
9,qm,blue,4968,7267,1305,68,68,12,56,14,27,15,0,0,12
10,qm,red,2994,6461,1310,72,72,15,54,6,24,24,3,0,15
10,qm,blue,6865,2013,610,56,56,12,44,8,27,9,0,0,12
11,qm,red,4678,6135,6987,46,46,15,28,4,12,12,3,0,15
11,qm,blue,6632,2706,4946,56,56,15,32,8,6,18,9,0,15
12,qm,red,1310,1305,6864,65,65,9,56,8,30,18,0,0,9
12,qm,blue,3543,6336,2013,50,50,15,32,2,21,9,3,0,15
13,qm,red,6865,5672,4783,27,27,15,12,0,3,9,0,0,15
13,qm,blue,6461,4946,4678,93,93,15,65,14,27,24,13,0,15
14,qm,red,4069,6859,4519,54,54,12,42,6,15,21,0,0,12
14,qm,blue,610,2706,7476,61,61,12,46,10,27,9,3,0,12
15,qm,red,1334,6987,6632,42,42,15,27,18,3,6,0,0,15
15,qm,blue,2994,1246,4968,56,56,15,41,8,15,18,0,0,15
16,qm,red,4704,7052,4917,60,60,9,51,12,21,18,0,0,9
16,qm,blue,6135,4152,4914,70,70,15,55,16,24,15,0,0,15
17,qm,red,7476,1374,7267,68,68,15,50,8,30,12,3,0,15
17,qm,blue,6514,3543,4968,20,20,9,11,2,3,6,0,0,9
18,qm,red,7052,610,4678,55,55,9,46,10,18,18,0,0,9
18,qm,blue,4704,4914,6864,63,63,15,48,12,27,9,0,0,15
19,qm,red,6461,6632,6514,44,44,15,29,14,3,12,0,0,15
19,qm,blue,7267,2013,2994,59,59,15,38,8,15,15,6,0,15
