match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6052,2198,4932,32,32,9,23,2,6,15,0,0,9
1,qm,blue,5885,4992,4938,45,45,15,30,18,6,6,0,0,15
2,qm,red,5408,6202,7800,30,30,12,18,6,3,9,0,0,12
2,qm,blue,4688,6881,6544,41,41,12,26,2,15,9,3,0,12
3,qm,red,5911,7136,772,44,44,9,35,2,18,15,0,0,9
3,qm,blue,5689,4920,4940,38,38,9,29,2,18,9,0,0,9
4,qm,red,6875,5821,6537,33,33,6,24,0,18,6,3,0,6
4,qm,blue,7480,5409,4936,59,59,15,44,14,21,9,0,0,15
5,qm,red,771,2935,4595,54,54,15,30,6,15,9,9,0,15
5,qm,blue,2852,865,7757,69,69,15,54,12,24,18,0,0,15
6,qm,red,773,4903,6331,63,63,15,48,12,27,9,0,0,15
6,qm,blue,2634,6725,4039,61,61,15,43,10,18,15,3,0,15
7,qm,red,7058,1114,5408,62,62,9,50,14,18,18,3,0,9
7,qm,blue,1285,6875,5426,45,45,15,30,6,18,6,0,0,15
8,qm,red,772,6202,5409,44,44,15,29,2,9,18,0,0,15
8,qm,blue,771,7757,4992,52,52,12,30,12,9,9,10,0,12
9,qm,red,4039,4936,4688,72,72,15,54,12,21,21,3,0,15
9,qm,blue,6725,6331,2935,48,48,15,33,0,18,15,0,0,15
10,qm,red,4903,6544,7800,58,58,15,37,4,18,15,6,0,15
10,qm,blue,5426,5885,4940,50,50,15,32,8,15,9,3,0,15
11,qm,red,4938,5821,6052,43,43,9,22,4,12,6,12,0,9
11,qm,blue,773,6537,7136,29,29,6,23,2,18,3,0,0,6
12,qm,red,2634,4595,2198,50,50,15,35,14,15,6,0,0,15
12,qm,blue,1114,4932,5911,54,54,12,42,12,18,12,0,0,12
13,qm,red,4920,1285,7480,59,59,15,44,8,15,21,0,0,15
13,qm,blue,865,5689,7058,57,57,12,45,6,21,18,0,0,12
14,qm,red,2852,773,4688,58,58,9,46,10,30,6,3,0,9
14,qm,blue,6881,772,6875,39,39,12,27,6,6,15,0,0,12
15,qm,red,2198,4903,6202,62,62,15,47,14,24,9,0,0,15
15,qm,blue,4595,5408,5821,31,31,9,22,4,12,6,0,0,9
16,qm,red,2935,4932,7757,51,51,15,36,0,18,18,0,0,15
16,qm,blue,5426,6544,5409,56,56,15,38,8,9,21,3,0,15
17,qm,red,7480,6537,7058,48,48,12,30,0,15,15,6,0,12
17,qm,blue,2634,7136,4920,63,63,15,48,12,21,15,0,0,15
18,qm,red,5885,5689,6331,62,62,15,47,8,21,18,0,0,15
18,qm,blue,4992,6052,865,56,56,6,40,10,24,6,10,0,6
19,qm,red,2852,4938,1285,72,72,15,54,12,24,18,3,0,15
19,qm,blue,7800,4940,4936,37,37,9,28,4,6,18,0,0,9
20,qm,red,6725,5911,771,33,33,15,18,6,6,6,0,0,15
20,qm,blue,4039,1114,6881,62,62,6,53,14,24,15,3,0,6
21,qm,red,4595,6052,5689,30,30,12,18,0,12,6,0,0,12
21,qm,blue,4688,4903,6875,87,87,15,52,10,21,21,20,0,15
22,qm,red,5821,2852,4920,43,43,9,34,4,15,15,0,0,9
22,qm,blue,6202,4938,6544,47,47,15,32,2,18,12,0,0,15
23,qm,red,865,4932,6331,42,42,15,24,0,18,6,3,0,15
23,qm,blue,771,5408,4936,48,48,15,27,6,3,18,6,0,15
24,qm,red,2634,5409,7757,51,51,15,33,12,18,3,3,0,15
24,qm,blue,1285,4992,1114,65,65,12,53,14,21,18,0,0,12
25,qm,red,4039,7480,5885,70,70,15,55,22,12,21,0,0,15
25,qm,blue,772,5426,6537,42,42,9,33,6,21,6,0,0,9
26,qm,red,6725,7800,773,14,14,9,5,2,3,0,0,0,9
26,qm,blue,7058,5911,2198,44,44,12,26,8,9,9,6,0,12
27,qm,red,7136,1285,6881,65,65,15,40,4,18,18,10,0,15
27,qm,blue,6875,2935,4940,49,49,15,24,0,15,9,10,0,15
28,qm,red,772,1114,4938,77,77,12,65,14,33,18,0,0,12
28,qm,blue,6331,5408,6052,47,47,9,28,4,15,9,10,0,9
29,qm,red,4932,5885,7800,69,69,15,42,6,15,21,12,0,15
29,qm,blue,6202,4595,7480,43,43,12,21,6,9,6,10,0,12
30,qm,red,4992,773,2935,21,21,9,3,0,0,3,9,0,9
30,qm,blue,6537,4920,771,57,57,9,48,12,18,18,0,0,9
31,qm,red,7058,4688,6725,60,60,15,39,6,15,18,6,0,15
31,qm,blue,5409,4940,2852,84,84,15,47,8,24,15,22,0,15
32,qm,red,6544,4936,5911,62,62,15,44,8,21,15,3,0,15
32,qm,blue,4903,7757,7136,60,60,15,42,6,24,12,3,0,15
33,qm,red,6881,2634,5689,56,56,12,44,14,12,18,0,0,12
33,qm,blue,2198,5426,5821,35,35,9,26,14,6,6,0,0,9
34,qm,red,4039,2852,5408,80,80,12,58,10,24,24,10,0,12
34,qm,blue,5409,5885,865,82,82,15,67,16,30,21,0,0,15
35,qm,red,7480,6875,4992,42,42,15,24,6,15,3,3,0,15
35,qm,blue,7136,4938,2935,47,47,9,32,2,21,9,6,0,9
36,qm,red,5689,773,772,33,33,9,24,0,18,6,0,0,9
36,qm,blue,1114,7800,5821,66,66,12,54,18,18,18,0,0,12
37,qm,red,771,865,5426,43,43,15,25,10,3,12,3,0,15
37,qm,blue,4920,6725,4595,50,50,9,41,2,21,18,0,0,9
38,qm,red,4940,7757,2198,81,81,15,27,12,9,6,39,0,15
38,qm,blue,6881,6537,6052,19,19,9,7,4,0,3,3,0,9
39,qm,red,1285,4903,4936,82,82,15,67,10,33,24,0,0,15
39,qm,blue,4688,2634,6202,53,53,15,38,14,21,3,0,0,15
40,qm,red,4932,7058,6544,72,72,15,54,6,24,24,3,0,15
40,qm,blue,6331,4039,5911,70,70,15,52,10,30,12,3,0,15
41,qm,red,865,772,6725,53,53,15,35,8,21,6,3,0,15
41,qm,blue,4938,6875,4595,36,36,15,18,0,12,6,3,0,15
42,qm,red,7800,6537,5409,39,39,6,33,0,18,15,0,0,6
42,qm,blue,4903,2935,5408,40,40,9,28,4,15,9,3,0,9
43,qm,red,6202,4936,5426,41,41,15,26,8,9,9,0,0,15
43,qm,blue,6052,773,5911,33,33,15,15,6,3,6,3,0,15
44,qm,red,4940,6331,2634,67,67,15,37,4,21,12,15,0,15
44,qm,blue,5885,6881,4920,52,52,12,34,10,6,18,6,0,12
45,qm,red,1285,6544,771,69,69,15,31,4,21,6,23,0,15
45,qm,blue,5689,2198,4039,56,56,12,44,8,21,15,0,0,12
46,qm,red,7136,1114,2852,87,87,15,72,18,33,21,0,0,15
46,qm,blue,4932,4688,7480,63,63,15,48,12,18,18,0,0,15
47,qm,red,5821,4992,4940,50,50,12,25,4,15,6,13,0,12
47,qm,blue,7757,7058,7800,30,30,9,18,0,9,9,3,0,9
48,qm,red,4595,5911,5426,43,43,12,28,4,15,9,3,0,12
48,qm,blue,6537,6331,1285,48,48,12,36,0,18,18,0,0,12
49,qm,red,2935,7480,2634,74,74,15,56,14,27,15,3,0,15
49,qm,blue,6202,6052,6725,44,44,15,29,2,18,9,0,0,15
50,qm,red,7757,4039,4938,65,65,15,50,8,24,18,0,0,15
50,qm,blue,4936,5885,2852,65,65,15,50,8,15,27,0,0,15
51,qm,red,4992,4932,6881,54,54,12,39,12,12,15,3,0,12
51,qm,blue,4903,865,5821,74,74,12,59,14,30,15,3,0,12
52,qm,red,6875,6544,7136,51,51,9,42,6,21,15,0,0,9
52,qm,blue,773,771,1114,86,86,15,68,20,30,18,3,0,15
53,qm,red,4688,2198,772,65,65,15,50,8,21,21,0,0,15
53,qm,blue,4920,5409,7058,44,44,15,29,2,12,15,0,0,15
54,qm,red,5408,5911,6537,29,29,9,20,8,3,9,0,0,9
54,qm,blue,5689,4992,2852,72,72,12,50,8,24,18,10,0,12
55,qm,red,7757,6331,6875,45,45,15,30,0,18,12,0,0,15
55,qm,blue,4940,7480,4903,59,59,12,37,10,12,15,10,0,12
56,qm,red,5885,4595,7058,58,58,15,37,4,15,18,6,0,15
56,qm,blue,773,5821,6202,30,30,9,21,0,15,6,0,0,9
57,qm,red,2935,1285,5689,65,65,15,50,8,24,18,0,0,15
57,qm,blue,4936,772,4932,58,58,15,43,4,18,21,0,0,15
58,qm,red,6544,4920,6052,57,57,15,42,6,15,21,0,0,15
58,qm,blue,5408,5409,6725,95,95,15,51,6,24,21,29,0,15
59,qm,red,5426,1114,4688,82,82,15,67,16,30,21,0,0,15
59,qm,blue,4938,771,2634,45,45,15,27,24,3,0,3,0,15
60,qm,red,865,4039,7136,88,88,12,73,16,36,21,3,0,12
60,qm,blue,7800,6881,2198,37,37,15,22,16,6,0,0,0,15
61,qm,red,2935,6052,5885,55,55,15,37,10,15,12,3,0,15
61,qm,blue,5821,7058,1285,57,57,15,39,6,18,15,3,0,15
62,qm,red,6537,4688,7757,63,63,15,48,6,24,18,0,0,15
