match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4057,7448,2635,50,50,9,41,14,9,18,0,0,9
1,qm,blue,5975,5468,1510,40,40,6,34,10,15,9,0,0,6
2,qm,red,3812,1432,5970,31,31,9,19,4,0,15,3,0,9
2,qm,blue,5198,6465,4488,56,56,15,38,8,12,18,3,0,15
3,qm,red,7032,6445,3192,33,33,9,24,0,15,9,0,0,9
3,qm,blue,4043,2898,4110,52,52,12,40,10,27,3,0,0,12
4,qm,red,5450,4662,2374,39,39,12,27,6,21,0,0,0,12
4,qm,blue,847,997,2471,49,49,9,40,10,12,18,0,0,9
5,qm,red,2811,4127,7204,49,49,12,37,4,15,18,0,0,12
5,qm,blue,1571,2521,6443,59,59,15,44,14,24,6,0,0,15
6,qm,red,955,3674,6343,63,63,15,45,6,21,18,3,0,15
6,qm,blue,2733,2411,957,49,49,12,28,10,9,9,9,0,12
7,qm,red,2374,2471,2635,46,46,12,34,10,15,9,0,0,12
7,qm,blue,4043,6465,997,104,104,15,64,16,36,12,25,0,15
8,qm,red,4057,5198,5975,49,49,12,37,16,3,18,0,0,12
8,qm,blue,3812,5450,6445,45,45,12,33,6,21,6,0,0,12
9,qm,red,847,6343,2411,47,47,12,32,2,18,12,3,0,12
9,qm,blue,2521,7032,1432,39,39,12,27,12,9,6,0,0,12
10,qm,red,4488,1510,957,65,65,9,56,14,27,15,0,0,9
10,qm,blue,4127,6443,2898,55,55,15,40,10,12,18,0,0,15
11,qm,red,3674,4110,2811,74,74,15,59,8,30,21,0,0,15
11,qm,blue,5970,5468,4662,54,54,12,42,12,24,6,0,0,12
12,qm,red,7204,1571,7448,34,34,9,22,4,12,6,3,0,9
12,qm,blue,3192,955,2733,59,59,15,44,14,12,18,0,0,15
13,qm,red,6465,2521,3812,53,53,15,32,8,12,12,6,0,15
13,qm,blue,2635,1510,5450,46,46,9,27,0,18,9,10,0,9
14,qm,red,6343,5198,997,65,65,15,44,8,21,15,6,0,15
14,qm,blue,4662,3674,2898,91,91,15,67,16,30,21,9,0,15
15,qm,red,7448,2471,2811,68,68,12,50,8,24,18,6,0,12
15,qm,blue,4127,2733,1432,51,51,12,39,18,0,21,0,0,12
16,qm,red,3192,847,4043,66,66,15,51,12,30,9,0,0,15
16,qm,blue,957,955,5975,35,35,12,17,8,6,3,6,0,12
17,qm,red,6443,5970,2374,60,60,15,45,12,15,18,0,0,15
17,qm,blue,4057,4110,5468,58,58,6,52,16,18,18,0,0,6
18,qm,red,1571,7032,2411,36,36,12,24,0,18,6,0,0,12
18,qm,blue,4488,6445,7204,69,69,9,60,12,30,18,0,0,9
19,qm,red,5198,2898,2521,44,44,12,32,14,9,9,0,0,12
19,qm,blue,2811,955,6465,46,46,9,37,4,15,18,0,0,9
20,qm,red,6443,1432,4043,71,71,15,56,14,21,21,0,0,15
20,qm,blue,6343,2374,5975,40,40,9,31,4,12,15,0,0,9
21,qm,red,847,4057,1510,48,48,9,36,12,18,6,3,0,9
21,qm,blue,3674,2733,4488,80,80,15,59,14,27,18,6,0,15
22,qm,red,957,3812,4127,59,59,15,34,10,6,18,10,0,15
22,qm,blue,997,5450,7448,44,44,12,32,2,18,12,0,0,12
23,qm,red,6445,5468,2471,75,75,9,63,12,33,18,3,0,9
23,qm,blue,2411,7204,3192,23,23,12,11,2,6,3,0,0,12
24,qm,red,4662,1571,2635,52,52,15,37,4,18,15,0,0,15
