match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,341,4637,555,57,57,9,48,6,24,18,0,0,9
1,qm,blue,4361,224,204,57,57,15,39,6,18,15,3,0,15
2,qm,red,321,1218,4573,81,81,15,66,12,30,24,0,0,15
2,qm,blue,272,2180,7599,59,59,15,44,14,15,15,0,0,15
3,qm,red,2554,1089,303,64,64,15,46,10,21,15,3,0,15
3,qm,blue,5404,316,2590,76,76,15,61,10,33,18,0,0,15
4,qm,red,5624,708,2016,73,73,15,48,6,21,21,10,0,15
4,qm,blue,5401,5490,2607,96,96,15,68,20,27,21,13,0,15
5,qm,red,87,219,1640,57,57,15,42,12,27,3,0,0,15
5,qm,blue,6808,1391,1807,65,65,12,53,14,21,18,0,0,12
6,qm,red,5404,7877,4361,23,23,6,17,2,6,9,0,0,6
6,qm,blue,4637,708,316,60,60,12,48,12,27,9,0,0,12
7,qm,red,272,5490,321,51,51,9,42,6,24,12,0,0,9
7,qm,blue,1640,555,1218,69,69,12,57,12,27,18,0,0,12
8,qm,red,7599,5401,5624,52,52,9,43,10,21,12,0,0,9
8,qm,blue,224,1391,2590,72,72,15,51,18,18,15,6,0,15
9,qm,red,341,1089,1807,69,69,12,54,18,24,12,3,0,12
9,qm,blue,7877,303,4573,54,54,12,36,6,24,6,6,0,12
10,qm,red,2607,6808,2180,63,63,12,48,12,21,15,3,0,12
10,qm,blue,2554,204,87,50,50,15,35,2,21,12,0,0,15
11,qm,red,2016,316,4573,73,73,15,48,6,24,18,10,0,15
11,qm,blue,219,303,5401,95,95,12,83,26,30,27,0,0,12
12,qm,red,1218,5404,87,28,28,9,16,4,12,0,3,0,9
12,qm,blue,5490,7877,341,48,48,9,39,6,24,9,0,0,9
13,qm,red,204,1391,1640,73,73,15,48,12,21,15,10,0,15
13,qm,blue,708,224,7599,30,30,9,21,12,0,9,0,0,9
14,qm,red,272,2554,2016,60,60,15,42,6,21,15,3,0,15
14,qm,blue,4361,555,1089,64,64,12,52,10,21,21,0,0,12
15,qm,red,2590,2180,219,73,73,15,58,10,30,18,0,0,15
15,qm,blue,5624,6808,4637,44,44,9,35,2,15,18,0,0,9
16,qm,red,5404,1807,303,88,88,12,61,16,27,18,15,0,12
16,qm,blue,2607,321,87,73,73,15,58,16,27,15,0,0,15
17,qm,red,6808,708,204,50,50,15,35,8,9,18,0,0,15
17,qm,blue,5490,316,2180,54,54,12,42,12,24,6,0,0,12
18,qm,red,1089,5624,4573,57,57,15,39,6,18,15,3,0,15
18,qm,blue,2016,1807,555,78,78,12,56,14,21,21,10,0,12
19,qm,red,5401,4637,224,51,51,12,39,18,15,6,0,0,12
19,qm,blue,321,2590,341,84,84,12,72,18,36,18,0,0,12
20,qm,red,1391,1218,7877,63,63,15,48,6,21,21,0,0,15
20,qm,blue,1640,272,4361,43,43,9,34,4,24,6,0,0,9
21,qm,red,5624,2554,2607,64,64,15,49,10,24,15,0,0,15
21,qm,blue,219,7599,5404,58,58,15,43,10,30,3,0,0,15
22,qm,red,2590,708,1640,83,83,15,65,14,30,21,3,0,15
22,qm,blue,2180,4573,1807,74,74,15,59,14,24,21,0,0,15
23,qm,red,272,341,6808,45,45,6,39,6,21,12,0,0,6
23,qm,blue,316,4361,5401,80,80,15,59,14,24,21,6,0,15
24,qm,red,1391,555,2607,90,90,15,75,18,39,18,0,0,15
24,qm,blue,5490,4637,1089,58,58,12,46,10,30,6,0,0,12
25,qm,red,303,87,224,50,50,15,35,2,18,15,0,0,15
25,qm,blue,7599,204,1218,37,37,3,31,4,9,18,3,0,3
26,qm,red,7877,2016,321,49,49,12,27,6,15,6,10,0,12
26,qm,blue,219,2554,1391,54,54,15,39,6,21,12,0,0,15
27,qm,red,2590,4361,5624,66,66,15,51,12,30,9,0,0,15
27,qm,blue,4573,341,87,62,62,15,47,8,27,12,0,0,15
28,qm,red,204,2180,7877,37,37,15,22,4,9,9,0,0,15
28,qm,blue,2607,303,316,105,105,15,67,22,33,12,23,0,15
29,qm,red,1807,2554,5401,94,94,15,79,16,39,24,0,0,15
29,qm,blue,555,7599,321,59,59,15,41,8,27,6,3,0,15
30,qm,red,224,1640,1089,73,73,15,55,22,15,18,3,0,15
30,qm,blue,1218,2016,6808,73,73,15,58,10,27,21,0,0,15
31,qm,red,4637,272,219,63,63,9,54,12,36,6,0,0,9
31,qm,blue,708,5490,5404,66,66,15,51,12,21,18,0,0,15
32,qm,red,5401,4573,204,62,62,15,47,14,27,6,0,0,15
32,qm,blue,2607,1640,2016,91,91,15,76,22,33,21,0,0,15
33,qm,red,555,5404,272,76,76,12,64,10,33,21,0,0,12
33,qm,blue,341,321,708,71,71,15,56,14,21,21,0,0,15
34,qm,red,1218,316,2554,73,73,15,58,10,27,21,0,0,15
34,qm,blue,224,219,5624,75,75,15,60,18,15,27,0,0,15
35,qm,red,2180,87,4361,48,48,15,33,0,15,18,0,0,15
35,qm,blue,4637,2590,7877,62,62,12,50,8,24,18,0,0,12
36,qm,red,303,7599,1391,70,70,15,55,10,30,15,0,0,15
36,qm,blue,5490,1807,6808,52,52,6,46,10,21,15,0,0,6
37,qm,red,1089,2016,2590,88,88,15,73,16,33,24,0,0,15
37,qm,blue,87,5624,272,52,52,15,37,4,21,12,0,0,15
38,qm,red,7599,341,2607,73,73,15,58,16,24,18,0,0,15
38,qm,blue,321,219,1640,76,76,15,58,16,24,18,3,0,15
39,qm,red,1391,4573,4361,41,41,12,29,2,18,9,0,0,12
39,qm,blue,4637,5404,5401,72,72,12,60,12,27,21,0,0,12
40,qm,red,2554,6808,555,66,66,12,44,8,24,12,10,0,12
40,qm,blue,1807,7877,708,81,81,12,69,18,33,18,0,0,12
41,qm,red,1089,204,316,56,56,15,41,14,12,15,0,0,15
41,qm,blue,303,5490,1218,54,54,15,39,6,15,18,0,0,15
42,qm,red,224,2016,2554,61,61,15,46,10,21,15,0,0,15
42,qm,blue,2180,1391,4637,50,50,15,35,8,18,9,0,0,15
43,qm,red,1089,7599,5490,54,54,15,39,6,21,12,0,0,15
43,qm,blue,6808,4361,219,32,32,12,20,8,3,9,0,0,12
44,qm,red,1807,2607,2590,75,75,15,57,18,30,9,3,0,15
44,qm,blue,316,224,204,53,53,15,38,8,18,12,0,0,15
45,qm,red,2180,341,5404,86,86,15,71,14,36,21,0,0,15
45,qm,blue,5401,1218,272,99,99,15,84,18,42,24,0,0,15
46,qm,red,555,87,708,40,40,15,25,10,6,9,0,0,15
46,qm,blue,321,5624,303,85,85,15,70,16,36,18,0,0,15
47,qm,red,1640,7877,6808,57,57,12,45,6,21,18,0,0,12
47,qm,blue,4573,2590,272,73,73,15,58,10,27,21,0,0,15
48,qm,red,7599,1807,4637,80,80,12,68,14,36,18,0,0,12
48,qm,blue,316,5624,1391,75,75,15,60,12,30,18,0,0,15
49,qm,red,555,303,2180,51,51,15,36,6,18,12,0,0,15
49,qm,blue,2016,204,5404,59,59,15,41,2,21,18,3,0,15
50,qm,red,4361,4573,5490,52,52,9,43,4,21,18,0,0,9
50,qm,blue,2554,224,341,76,76,15,61,16,21,24,0,0,15
51,qm,red,87,5401,321,85,85,15,64,10,24,30,6,0,15
51,qm,blue,7877,2607,1089,58,58,15,43,4,24,15,0,0,15
52,qm,red,219,1218,341,58,58,12,46,10,18,18,0,0,12
52,qm,blue,708,1640,303,77,77,15,62,14,27,21,0,0,15
53,qm,red,5624,2180,5490,42,42,9,33,6,21,6,0,0,9
53,qm,blue,1391,1089,272,78,78,15,63,12,27,24,0,0,15
54,qm,red,1807,4361,1218,83,83,15,68,14,33,21,0,0,15
54,qm,blue,7877,5401,555,54,54,12,39,6,21,12,3,0,12
55,qm,red,6808,321,316,60,60,15,45,12,27,6,0,0,15
55,qm,blue,4573,2607,4637,69,69,9,60,12,33,15,0,0,9
56,qm,red,204,2590,224,80,80,15,55,10,24,21,10,0,15
56,qm,blue,1640,5404,2554,74,74,15,53,8,27,18,6,0,15
57,qm,red,708,219,7599,71,71,15,56,14,24,18,0,0,15
57,qm,blue,2016,87,1391,72,72,15,57,12,27,18,0,0,15
58,qm,red,204,4637,5490,34,34,12,22,4,15,3,0,0,12
58,qm,blue,341,1640,5624,63,63,12,41,14,15,12,10,0,12
59,qm,red,5404,321,224,78,78,15,63,12,30,21,0,0,15
59,qm,blue,5401,1089,6808,71,71,15,40,16,18,6,16,0,15
60,qm,red,1218,2607,708,78,78,15,60,12,24,24,3,0,15
60,qm,blue,2590,7599,2554,53,53,15,35,2,21,12,3,0,15
61,qm,red,303,272,1807,94,94,12,70,22,27,21,12,0,12
61,qm,blue,4361,2180,2016,41,41,12,29,2,15,12,0,0,12
62,qm,red,316,87,7877,40,40,15,25,4,15,6,0,0,15
