match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4265,5022,4306,44,44,6,38,14,15,9,0,0,6
1,qm,blue,3011,3140,5744,25,25,9,13,4,3,6,3,0,9
2,qm,red,1706,4764,6846,48,48,9,39,6,24,9,0,0,9
2,qm,blue,3319,4020,4630,56,56,12,41,8,15,18,3,0,12
3,qm,red,4576,283,2393,48,48,6,42,12,21,9,0,0,6
3,qm,blue,6517,3490,3966,73,73,12,61,16,30,15,0,0,12
4,qm,red,3824,1758,1466,30,30,12,18,6,6,6,0,0,12
4,qm,blue,6302,3959,34,66,66,15,51,12,30,9,0,0,15
5,qm,red,5002,2386,1539,40,40,12,28,4,9,15,0,0,12
5,qm,blue,3489,5045,4504,42,42,15,27,12,12,3,0,0,15
6,qm,red,2190,1293,3984,26,26,9,17,2,9,6,0,0,9
6,qm,blue,7406,801,2614,27,27,6,21,12,3,6,0,0,6
7,qm,red,6219,932,343,50,50,9,38,8,21,9,3,0,9
7,qm,blue,7516,3821,5492,68,68,15,23,2,12,9,30,0,15
8,qm,red,5186,1319,6928,24,24,6,18,6,0,12,0,0,6
8,qm,blue,4462,4329,2856,50,50,15,35,8,12,15,0,0,15
9,qm,red,3824,34,2556,37,37,9,28,4,21,3,0,0,9
9,qm,blue,2393,7525,3844,59,59,12,47,14,15,18,0,0,12
10,qm,red,3011,6517,7406,30,30,9,21,6,6,9,0,0,9
10,qm,blue,3959,1706,3489,70,70,15,55,16,30,9,0,0,15
11,qm,red,5744,5492,801,32,32,9,23,2,15,6,0,0,9
11,qm,blue,3140,4764,4504,55,55,15,34,10,15,9,6,0,15
12,qm,red,4020,6928,4462,72,72,15,47,8,24,15,10,0,15
12,qm,blue,3821,1293,3966,53,53,15,38,14,18,6,0,0,15
13,qm,red,2386,6302,7525,53,53,15,38,8,15,15,0,0,15
13,qm,blue,5022,1319,6219,40,40,9,31,4,21,6,0,0,9
14,qm,red,2556,1758,7516,14,14,6,8,8,0,0,0,0,6
14,qm,blue,5002,4576,3984,31,31,9,22,4,12,6,0,0,9
15,qm,red,3319,5045,4265,63,63,12,51,18,27,6,0,0,12
