match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7535,7506,1296,44,44,15,29,2,18,9,0,0,15
1,qm,blue,6751,7091,7303,17,17,9,8,2,0,6,0,0,9
2,qm,red,3335,3676,7119,39,39,3,36,12,15,9,0,0,3
2,qm,blue,7708,6672,7125,52,52,12,40,4,18,18,0,0,12
3,qm,red,7121,5057,3355,43,43,12,31,4,18,9,0,0,12
3,qm,blue,148,7321,6733,42,42,3,39,6,15,18,0,0,3
4,qm,red,2805,6655,5052,43,43,9,28,4,18,6,6,0,9
4,qm,blue,5242,5682,5047,54,54,15,39,6,24,9,0,0,15
5,qm,red,4364,5411,6133,40,40,6,34,10,18,6,0,0,6
5,qm,blue,4192,6901,7749,35,35,3,32,2,12,18,0,0,3
6,qm,red,704,7704,2969,30,30,12,18,0,12,6,0,0,12
6,qm,blue,5212,4206,7120,20,20,3,17,2,12,3,0,0,3
7,qm,red,7534,3676,7506,57,57,12,29,2,18,9,16,0,12
7,qm,blue,3370,3282,3335,36,36,15,21,12,0,9,0,0,15
8,qm,red,7321,6751,6655,6,6,3,3,0,0,3,0,0,3
8,qm,blue,6133,5052,7749,9,9,3,6,0,0,6,0,0,3
9,qm,red,6733,4206,7121,36,36,12,24,0,18,6,0,0,12
9,qm,blue,4192,5212,4364,23,23,3,20,8,0,12,0,0,3
10,qm,red,7708,6901,3282,26,26,12,14,2,3,9,0,0,12
10,qm,blue,3355,7091,3370,15,15,9,6,0,0,6,0,0,9
11,qm,red,7303,7704,5242,40,40,9,31,4,18,9,0,0,9
11,qm,blue,2969,5682,148,78,78,12,51,12,21,18,15,0,12
12,qm,red,7119,7534,7125,28,28,12,16,4,3,9,0,0,12
12,qm,blue,1296,704,5047,57,57,15,32,2,21,9,10,0,15
13,qm,red,5411,2805,5057,34,34,12,22,10,3,9,0,0,12
13,qm,blue,6672,7535,7120,50,50,12,38,2,18,18,0,0,12
14,qm,red,7303,4192,3676,49,49,6,40,10,27,3,3,0,6
14,qm,blue,7749,7121,5682,41,41,12,29,2,18,9,0,0,12
15,qm,red,7321,5052,3282,33,33,9,21,0,12,9,3,0,9
15,qm,blue,3335,7534,5212,29,29,6,20,8,6,6,3,0,6
16,qm,red,7119,2969,5057,70,70,15,19,4,6,9,36,0,15
16,qm,blue,4364,148,2805,68,68,15,50,14,18,18,3,0,15
17,qm,red,6133,7535,7708,44,44,15,26,2,18,6,3,0,15
17,qm,blue,5242,4206,6672,60,60,12,48,12,30,6,0,0,12
18,qm,red,6751,7120,1296,27,27,9,18,0,15,3,0,0,9
18,qm,blue,6655,6901,3355,42,42,12,30,0,18,12,0,0,12
19,qm,red,7091,7506,6733,28,28,12,6,0,0,6,10,0,12
19,qm,blue,5047,7125,7704,30,30,9,21,0,12,9,0,0,9
20,qm,red,3370,7121,4192,43,43,12,31,4,15,12,0,0,12
20,qm,blue,5411,704,4206,54,54,12,39,6,24,9,3,0,12
21,qm,red,3335,7708,4364,36,36,12,21,12,0,9,3,0,12
21,qm,blue,5057,7303,1296,42,42,15,27,0,18,9,0,0,15
22,qm,red,3676,2805,7120,55,55,12,43,10,24,9,0,0,12
22,qm,blue,7506,148,6133,51,51,12,39,12,9,18,0,0,12
23,qm,red,7091,7119,6901,63,63,9,44,8,30,6,10,0,9
23,qm,blue,5052,2969,5212,27,27,15,12,0,9,3,0,0,15
24,qm,red,7125,3355,5682,36,36,15,21,0,12,9,0,0,15
24,qm,blue,704,6655,3282,52,52,15,27,0,18,9,10,0,15
25,qm,red,7704,6751,6672,41,41,12,26,2,18,6,3,0,12
25,qm,blue,7534,7321,5411,27,27,6,21,6,9,6,0,0,6
26,qm,red,3370,5047,6733,18,18,9,9,0,6,3,0,0,9
26,qm,blue,5242,7749,7535,46,46,12,34,4,21,9,0,0,12
27,qm,red,5682,4206,7708,47,47,15,32,2,21,9,0,0,15
27,qm,blue,7506,5057,6901,33,33,12,21,0,12,9,0,0,12
28,qm,red,6133,3335,7704,26,26,6,20,8,9,3,0,0,6
28,qm,blue,4364,7119,3355,31,31,15,16,4,6,6,0,0,15
29,qm,red,148,7303,7535,61,61,12,49,10,24,15,0,0,12
29,qm,blue,6655,7534,4192,41,41,9,32,2,21,9,0,0,9
30,qm,red,5212,5242,3370,43,43,9,34,4,24,6,0,0,9
30,qm,blue,2805,6751,7125,26,26,15,11,8,0,3,0,0,15
31,qm,red,5411,1296,5052,82,82,15,61,10,33,18,6,0,15
31,qm,blue,704,6733,3676,44,44,15,26,2,21,3,3,0,15
