match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2587,5908,7410,37,37,15,22,4,9,9,0,0,15
1,qm,blue,5261,4295,6488,39,39,15,24,0,15,9,0,0,15
2,qm,red,231,2882,7115,50,50,15,35,8,21,6,0,0,15
2,qm,blue,6547,7494,6321,46,46,15,31,10,12,9,0,0,15
3,qm,red,6111,7312,5070,37,37,12,15,6,3,6,10,0,12
3,qm,blue,6645,7518,7440,18,18,15,3,0,0,3,0,0,15
4,qm,red,5414,7691,5923,53,53,12,41,2,21,18,0,0,12
4,qm,blue,118,3728,3029,57,57,3,48,12,21,15,6,0,3
5,qm,red,2585,7418,2881,46,46,15,31,10,12,9,0,0,15
5,qm,blue,7616,1255,3103,28,28,15,13,10,3,0,0,0,15
6,qm,red,2950,6645,5414,59,59,12,47,8,27,12,0,0,12
6,qm,blue,6800,7691,3728,40,40,3,27,12,15,0,10,0,3
7,qm,red,6321,7115,3029,39,39,9,30,0,12,18,0,0,9
7,qm,blue,5070,118,5908,57,57,9,45,12,24,9,3,0,9
8,qm,red,2950,7616,4295,42,42,15,24,0,12,12,3,0,15
8,qm,blue,2882,7494,7518,43,43,15,28,10,12,6,0,0,15
9,qm,red,231,6488,7410,50,50,15,35,8,15,12,0,0,15
9,qm,blue,7312,2587,3103,47,47,15,32,2,18,12,0,0,15
10,qm,red,1255,6111,2585,45,45,15,30,0,12,18,0,0,15
10,qm,blue,5261,5923,7440,30,30,9,21,0,18,3,0,0,9
11,qm,red,6547,2881,6488,55,55,15,40,4,21,15,0,0,15
11,qm,blue,2882,7418,6800,66,66,15,51,18,27,6,0,0,15
12,qm,red,7691,6645,3103,46,46,9,37,10,18,9,0,0,9
12,qm,blue,5908,7616,6111,36,36,15,21,0,12,9,0,0,15
13,qm,red,6547,6800,5414,57,57,12,45,6,21,18,0,0,12
13,qm,blue,6321,2585,231,64,64,15,49,10,18,21,0,0,15
14,qm,red,7418,2587,1255,61,61,12,49,10,24,15,0,0,12
14,qm,blue,4295,3029,3728,27,27,6,21,0,15,6,0,0,6
15,qm,red,7440,2881,7115,41,41,15,23,2,12,9,3,0,15
15,qm,blue,5070,2950,5923,26,26,9,17,2,6,9,0,0,9
16,qm,red,118,7518,7312,53,53,15,38,8,9,21,0,0,15
16,qm,blue,5261,7410,7494,45,45,15,30,12,9,9,0,0,15
17,qm,red,3103,5908,6645,37,37,15,22,4,9,9,0,0,15
17,qm,blue,5414,3728,2882,56,56,9,47,14,21,12,0,0,9
18,qm,red,7616,118,7440,54,54,9,45,12,18,15,0,0,9
18,qm,blue,7494,7418,7115,26,26,12,14,2,9,3,0,0,12
19,qm,red,7410,6321,7312,46,46,15,31,4,18,9,0,0,15
19,qm,blue,1255,5070,6488,20,20,9,11,2,9,0,0,0,9
20,qm,red,2881,7691,2950,49,49,15,34,4,21,9,0,0,15
20,qm,blue,2587,2585,6800,57,57,12,45,12,24,9,0,0,12
21,qm,red,6111,4295,7518,52,52,15,37,4,21,12,0,0,15
21,qm,blue,6547,5261,231,52,52,15,37,4,24,9,0,0,15
22,qm,red,3029,7440,2882,16,16,9,7,4,3,0,0,0,9
22,qm,blue,6645,6800,5923,54,54,9,45,12,27,6,0,0,9
