match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4068,2972,3243,36,36,9,27,6,15,6,0,0,9
1,qm,blue,6706,4598,2993,43,43,15,28,4,18,6,0,0,15
2,qm,red,1339,3230,1828,72,72,15,57,12,24,21,0,0,15
2,qm,blue,3288,4585,399,19,19,6,13,4,0,9,0,0,6
3,qm,red,6411,7906,3245,25,25,15,10,4,0,6,0,0,15
3,qm,blue,2102,3255,1700,37,37,12,25,4,3,18,0,0,12
4,qm,red,6546,7151,6844,38,38,9,29,2,21,6,0,0,9
4,qm,blue,3374,3480,4944,63,63,12,51,12,24,15,0,0,12
5,qm,red,3598,3501,3225,31,31,9,22,10,9,3,0,0,9
5,qm,blue,4388,971,3006,87,87,15,52,16,18,18,20,0,15
6,qm,red,5924,5159,5071,30,30,6,21,0,15,6,3,0,6
6,qm,blue,7905,3045,7436,26,26,15,11,2,0,9,0,0,15
7,qm,red,5430,3478,5974,39,39,3,36,6,24,6,0,0,3
7,qm,blue,7634,3200,4348,33,33,12,18,0,9,9,3,0,12
8,qm,red,1332,3239,4738,17,17,15,2,2,0,0,0,0,15
8,qm,blue,3405,3289,5933,50,50,12,38,8,15,15,0,0,12
9,qm,red,3255,7909,971,75,75,12,63,24,21,18,0,0,12
9,qm,blue,1700,3288,6546,51,51,12,39,6,24,9,0,0,12
10,qm,red,4585,1339,3374,53,53,12,41,8,24,9,0,0,12
10,qm,blue,2972,3598,5924,64,64,9,55,10,24,21,0,0,9
11,qm,red,3480,6706,6411,48,48,9,39,12,21,6,0,0,9
11,qm,blue,3478,4348,1828,60,60,9,51,6,27,18,0,0,9
12,qm,red,399,4944,4388,73,73,12,61,16,33,12,0,0,12
12,qm,blue,3405,5430,4738,29,29,6,23,2,15,6,0,0,6
13,qm,red,5071,3006,3230,53,53,15,38,2,21,15,0,0,15
13,qm,blue,6844,3200,3243,52,52,15,37,4,21,12,0,0,15
14,qm,red,3501,7909,1332,20,20,6,14,2,9,3,0,0,6
