match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3274,5279,346,54,54,15,39,12,12,15,0,0,15
1,qm,blue,540,2068,1262,53,53,15,35,8,18,9,3,0,15
2,qm,red,3748,3258,2890,49,49,12,37,4,24,9,0,0,12
2,qm,blue,5804,384,3136,53,53,15,38,8,24,6,0,0,15
3,qm,red,3939,7886,1086,44,44,12,32,8,21,3,0,0,12
3,qm,blue,3072,6802,5950,52,52,15,37,4,21,12,0,0,15
4,qm,red,1915,6194,1413,27,27,3,24,6,15,3,0,0,3
4,qm,blue,4505,1522,449,52,52,12,37,4,21,12,3,0,12
5,qm,red,977,4466,401,67,67,15,42,6,15,21,10,0,15
5,qm,blue,539,6312,5954,26,26,9,17,2,9,6,0,0,9
6,qm,red,3455,3072,619,82,82,15,64,16,30,18,3,0,15
6,qm,blue,3258,1598,5724,59,59,15,34,4,18,12,10,0,15
7,qm,red,6312,3136,977,33,33,12,21,0,12,9,0,0,12
7,qm,blue,4466,5279,3939,42,42,15,27,6,9,12,0,0,15
8,qm,red,401,619,2068,48,48,15,30,12,9,9,3,0,15
8,qm,blue,5950,384,449,63,63,12,51,6,24,21,0,0,12
9,qm,red,6194,2890,7886,61,61,15,46,10,30,6,0,0,15
9,qm,blue,346,5724,1522,77,77,15,62,14,24,24,0,0,15
10,qm,red,1598,1915,3274,18,18,9,9,0,6,3,0,0,9
10,qm,blue,539,1086,3455,50,50,9,41,8,24,9,0,0,9
11,qm,red,3748,1413,5954,49,49,15,34,4,21,9,0,0,15
11,qm,blue,540,4505,5804,67,67,15,49,10,30,9,3,0,15
12,qm,red,4466,3136,6802,89,89,15,47,8,21,18,27,0,15
12,qm,blue,1262,3072,5279,52,52,15,37,4,24,9,0,0,15
13,qm,red,346,449,3455,67,67,15,52,16,21,15,0,0,15
13,qm,blue,3258,3939,6312,46,46,15,31,10,12,9,0,0,15
14,qm,red,2890,539,1413,54,54,15,39,12,18,9,0,0,15
14,qm,blue,3748,6194,384,63,63,15,48,6,21,21,0,0,15
15,qm,red,2068,5954,5724,41,41,15,26,2,15,9,0,0,15
15,qm,blue,1915,401,1262,58,58,6,49,10,24,15,3,0,6
16,qm,red,1598,6802,4505,54,54,15,33,6,24,3,6,0,15
16,qm,blue,619,3274,977,57,57,15,42,12,15,15,0,0,15
17,qm,red,5804,7886,5950,47,47,15,32,2,21,9,0,0,15
17,qm,blue,540,1522,1086,64,64,15,49,10,24,15,0,0,15
18,qm,red,2068,3258,5279,44,44,9,35,8,18,9,0,0,9
18,qm,blue,3939,4505,2890,51,51,15,36,6,21,9,0,0,15
19,qm,red,401,5724,540,52,52,15,37,10,21,6,0,0,15
19,qm,blue,3748,3072,539,72,72,15,54,6,27,21,3,0,15
20,qm,red,7886,1598,5954,44,44,15,29,2,21,6,0,0,15
20,qm,blue,1413,384,6802,69,69,9,54,12,24,18,6,0,9
21,qm,red,1915,5804,4466,29,29,12,17,2,9,6,0,0,12
21,qm,blue,1262,6194,3455,97,97,15,49,16,27,6,33,0,15
22,qm,red,3136,5950,1522,42,42,12,30,6,15,9,0,0,12
22,qm,blue,449,619,6312,88,88,15,63,18,30,15,10,0,15
23,qm,red,1086,3274,5804,34,34,15,19,4,15,0,0,0,15
23,qm,blue,977,346,6194,89,89,15,74,26,24,24,0,0,15
24,qm,red,6312,5279,3748,58,58,15,43,10,24,9,0,0,15
24,qm,blue,3258,6802,1915,50,50,15,35,8,18,9,0,0,15
25,qm,red,1262,1413,3274,61,61,9,52,10,24,18,0,0,9
25,qm,blue,2890,5950,977,60,60,15,45,12,27,6,0,0,15
26,qm,red,384,1086,4505,66,66,15,51,6,24,21,0,0,15
26,qm,blue,3136,5724,3939,71,71,15,37,4,21,12,19,0,15
27,qm,red,3455,4466,540,50,50,15,32,2,21,9,3,0,15
27,qm,blue,7886,1522,2068,60,60,15,39,6,24,9,6,0,15
28,qm,red,3072,449,401,75,75,15,60,18,24,18,0,0,15
28,qm,blue,619,5954,346,51,51,15,36,12,18,6,0,0,15
29,qm,red,539,1262,7886,69,69,15,54,12,30,12,0,0,15
29,qm,blue,1598,3748,1086,48,48,15,33,6,18,9,0,0,15
30,qm,red,3136,540,6194,49,49,15,34,4,21,9,0,0,15
30,qm,blue,401,3258,5954,66,66,15,51,12,21,18,0,0,15
31,qm,red,5279,539,449,72,72,15,57,12,27,18,0,0,15
31,qm,blue,384,4466,5724,74,74,15,59,8,30,21,0,0,15
32,qm,red,346,3939,5950,85,85,12,46,16,18,12,27,0,12
32,qm,blue,6312,1413,1598,47,47,15,32,2,21,9,0,0,15
33,qm,red,5804,977,6802,73,73,15,58,16,24,18,0,0,15
33,qm,blue,3455,2068,1915,35,35,12,23,2,18,3,0,0,12
34,qm,red,1522,619,2890,72,72,15,57,18,30,9,0,0,15
34,qm,blue,4505,3274,3072,76,76,15,51,6,27,18,10,0,15
35,qm,red,977,3258,384,77,77,15,62,14,30,18,0,0,15
35,qm,blue,5954,5950,1915,32,32,15,17,2,9,6,0,0,15
36,qm,red,1413,4466,2068,55,55,15,40,4,24,12,0,0,15
36,qm,blue,2890,3072,3136,57,57,15,42,6,18,18,0,0,15
37,qm,red,3939,3748,540,58,58,15,43,16,15,12,0,0,15
37,qm,blue,6194,619,1086,54,54,15,39,6,18,15,0,0,15
38,qm,red,5279,401,5804,57,57,15,39,12,12,15,3,0,15
38,qm,blue,449,1598,1262,101,101,12,73,16,39,18,16,0,12
39,qm,red,1522,6312,6802,62,62,15,47,8,21,18,0,0,15
39,qm,blue,5724,539,3274,59,59,15,41,8,12,21,3,0,15
