match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3049,2046,4089,68,68,12,53,14,18,21,3,0,12
1,qm,blue,3070,4911,3684,49,49,9,40,10,27,3,0,0,9
2,qm,red,2990,7118,3237,57,57,12,45,6,21,18,0,0,12
2,qm,blue,1318,2929,4131,71,71,12,47,8,30,9,12,0,12
3,qm,red,2907,3786,3574,48,48,12,36,6,12,18,0,0,12
3,qm,blue,2926,4918,6959,30,30,9,21,6,0,15,0,0,9
4,qm,red,3219,492,6503,40,40,15,22,4,6,12,3,0,15
4,qm,blue,2906,2980,2927,49,49,12,37,4,24,9,0,0,12
5,qm,red,3876,3393,4579,53,53,15,38,8,21,9,0,0,15
5,qm,blue,2097,5683,948,34,34,12,19,10,3,6,3,0,12
6,qm,red,6959,5937,6350,57,57,15,39,6,18,15,3,0,15
6,qm,blue,360,4461,492,37,37,3,34,10,9,15,0,0,3
7,qm,red,4089,4131,3786,48,48,9,39,6,27,6,0,0,9
7,qm,blue,2907,3219,2046,75,75,15,54,12,27,15,6,0,15
8,qm,red,4579,2926,2927,42,42,15,27,6,15,6,0,0,15
8,qm,blue,2906,5683,7118,34,34,6,28,4,15,9,0,0,6
9,qm,red,2980,2990,3684,74,74,15,56,8,30,18,3,0,15
9,qm,blue,3049,3876,4918,39,39,9,30,6,15,9,0,0,9
10,qm,red,3237,3393,2929,27,27,15,9,0,0,9,3,0,15
10,qm,blue,3070,360,2097,34,34,3,25,4,12,9,6,0,3
11,qm,red,948,1318,4911,60,60,6,51,12,30,9,3,0,6
11,qm,blue,6503,4461,3574,24,24,9,15,0,0,15,0,0,9
12,qm,red,2097,2907,5937,54,54,12,42,6,24,12,0,0,12
12,qm,blue,6350,3049,7118,49,49,12,37,10,18,9,0,0,12
13,qm,red,6959,3684,2906,39,39,12,9,0,3,6,18,0,12
13,qm,blue,1318,2927,3786,50,50,9,41,8,18,15,0,0,9
14,qm,red,2980,3070,4918,35,35,12,23,2,15,6,0,0,12
14,qm,blue,360,2929,5683,33,33,15,15,6,3,6,3,0,15
15,qm,red,6350,3574,2926,58,58,9,46,16,12,18,3,0,9
15,qm,blue,3219,3237,4131,50,50,15,35,8,21,6,0,0,15
16,qm,red,492,4089,948,68,68,15,53,8,24,21,0,0,15
16,qm,blue,2990,6503,4579,72,72,12,60,12,33,15,0,0,12
17,qm,red,4911,4461,3393,49,49,12,37,10,18,9,0,0,12
17,qm,blue,5937,2046,3876,84,84,15,63,12,30,21,6,0,15
18,qm,red,3219,360,948,63,63,15,33,6,18,9,15,0,15
18,qm,blue,3237,2907,3049,45,45,12,33,6,9,18,0,0,12
19,qm,red,5683,2927,3684,32,32,6,26,2,18,6,0,0,6
19,qm,blue,2990,492,6959,46,46,9,37,10,18,9,0,0,9
20,qm,red,2926,2929,3876,32,32,3,29,2,21,6,0,0,3
20,qm,blue,2906,5937,4131,26,26,6,20,2,9,9,0,0,6
21,qm,red,4579,3574,4089,76,76,15,52,10,15,27,9,0,15
21,qm,blue,6350,3786,2980,27,27,15,12,6,6,0,0,0,15
22,qm,red,3393,7118,6503,37,37,15,19,4,9,6,3,0,15
22,qm,blue,4918,4911,2046,83,83,12,68,20,30,18,3,0,12
23,qm,red,2990,2097,4461,51,51,6,45,6,24,15,0,0,6
23,qm,blue,3070,1318,2926,66,66,15,51,12,21,18,0,0,15
24,qm,red,948,2929,2980,44,44,15,29,8,18,3,0,0,15
24,qm,blue,4131,3574,3876,85,85,9,55,16,21,18,21,0,9
25,qm,red,6503,4918,5683,17,17,9,8,2,3,3,0,0,9
25,qm,blue,2097,3219,6350,44,44,15,29,8,12,9,0,0,15
26,qm,red,7118,3786,4911,43,43,9,34,4,24,6,0,0,9
26,qm,blue,2907,3070,4461,37,37,12,25,4,18,3,0,0,12
27,qm,red,2927,3237,6959,36,36,12,24,0,15,9,0,0,12
27,qm,blue,4089,3393,5937,74,74,15,50,8,24,18,9,0,15
28,qm,red,492,4579,2906,36,36,12,21,6,0,15,3,0,12
28,qm,blue,2046,360,1318,89,89,15,74,20,27,27,0,0,15
29,qm,red,3049,5683,3219,27,27,9,18,12,0,6,0,0,9
29,qm,blue,3684,4461,7118,34,34,6,28,4,18,6,0,0,6
30,qm,red,2046,4131,6350,82,82,15,64,16,30,18,3,0,15
30,qm,blue,2927,2990,3070,59,59,12,47,8,30,9,0,0,12
31,qm,red,2929,492,2907,65,65,12,53,8,30,15,0,0,12
31,qm,blue,3237,2906,3574,26,26,9,17,2,3,12,0,0,9
32,qm,red,3684,3876,3786,30,30,12,12,0,9,3,6,0,12
32,qm,blue,360,6503,4911,62,62,12,50,8,24,18,0,0,12
33,qm,red,4089,6959,2980,40,40,12,28,4,12,12,0,0,12
33,qm,blue,3393,2097,2926,51,51,15,36,12,21,3,0,0,15
34,qm,red,4918,1318,5937,53,53,6,44,14,12,18,3,0,6
34,qm,blue,948,4579,3049,51,51,15,36,6,18,12,0,0,15
35,qm,red,4911,2980,3219,53,53,9,29,8,18,3,15,0,9
35,qm,blue,7118,6959,360,42,42,12,30,0,12,18,0,0,12
36,qm,red,2929,3049,2990,41,41,12,29,2,12,15,0,0,12
36,qm,blue,3786,2046,3393,27,27,15,12,6,0,6,0,0,15
37,qm,red,4579,3237,1318,52,52,9,43,16,18,9,0,0,9
37,qm,blue,2907,3876,4089,62,62,12,50,8,24,18,0,0,12
38,qm,red,3574,5683,3070,48,48,15,33,12,3,18,0,0,15
38,qm,blue,5937,948,3684,52,52,15,37,4,21,12,0,0,15
39,qm,red,2927,4131,4461,52,52,6,36,6,24,6,10,0,6
39,qm,blue,492,4918,2097,84,84,9,63,12,24,27,12,0,9
40,qm,red,2926,2906,2046,42,42,12,27,18,6,3,3,0,12
40,qm,blue,6503,6350,3237,45,45,15,21,6,9,6,9,0,15
41,qm,red,360,3684,2907,25,25,9,16,4,6,6,0,0,9
41,qm,blue,4131,2990,3393,67,67,12,55,10,30,15,0,0,12
42,qm,red,2980,2097,3574,12,12,9,3,0,0,3,0,0,9
42,qm,blue,3049,4911,2906,70,70,12,48,12,18,18,10,0,12
43,qm,red,5937,6503,3070,30,30,15,12,0,6,6,3,0,15
43,qm,blue,4579,6959,2929,21,21,9,9,0,6,3,3,0,9
44,qm,red,948,6350,4918,76,76,15,51,12,18,21,10,0,15
