match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6807,2040,6574,52,52,15,37,4,18,15,0,0,15
1,qm,blue,7417,1716,537,40,40,6,28,4,15,9,6,0,6
2,qm,red,7900,7498,6421,50,50,6,44,8,30,6,0,0,6
2,qm,blue,2451,4531,7619,47,47,9,38,2,21,15,0,0,9
3,qm,red,6670,2202,1710,52,52,12,40,10,24,6,0,0,12
3,qm,blue,5586,3418,2194,46,46,6,40,10,12,18,0,0,6
4,qm,red,7915,1259,4786,54,54,15,39,6,18,15,0,0,15
4,qm,blue,2506,7432,2830,26,26,9,17,2,6,9,0,0,9
5,qm,red,3692,4247,1732,46,46,6,40,4,21,15,0,0,6
5,qm,blue,2169,5837,279,26,26,12,14,8,3,3,0,0,12
6,qm,red,1714,1792,269,38,38,12,26,8,6,12,0,0,12
6,qm,blue,3197,233,3596,57,57,12,45,6,21,18,0,0,12
7,qm,red,2704,2077,1038,49,49,15,34,10,15,9,0,0,15
7,qm,blue,7103,3381,2022,58,58,12,43,10,24,9,3,0,12
8,qm,red,5148,1675,6643,36,36,9,27,6,12,9,0,0,9
8,qm,blue,6223,1091,930,69,69,6,63,18,27,18,0,0,6
9,qm,red,706,5096,2062,22,22,6,16,10,6,0,0,0,6
9,qm,blue,5125,4804,1306,50,50,15,35,2,21,12,0,0,15
10,qm,red,5586,7915,7619,23,23,9,14,2,3,9,0,0,9
10,qm,blue,2451,537,1732,67,67,12,52,10,24,18,3,0,12
11,qm,red,6574,1710,4247,45,45,9,36,6,24,6,0,0,9
11,qm,blue,269,3596,4531,44,44,12,32,2,12,18,0,0,12
12,qm,red,1716,279,7900,31,31,15,13,4,0,9,3,0,15
12,qm,blue,4786,2704,7432,31,31,15,16,4,3,9,0,0,15
13,qm,red,7417,1038,1714,43,43,15,28,10,9,9,0,0,15
13,qm,blue,2194,6643,3692,43,43,3,27,6,6,15,13,0,3
14,qm,red,4804,7103,6223,28,28,9,19,4,3,12,0,0,9
14,qm,blue,3197,5125,5096,60,60,9,42,6,18,18,9,0,9
15,qm,red,2022,1259,5837,64,64,15,49,10,30,9,0,0,15
15,qm,blue,1792,5148,3418,66,66,12,54,12,21,21,0,0,12
16,qm,red,1306,3381,2169,39,39,12,27,0,18,9,0,0,12
16,qm,blue,7498,2040,2202,79,79,15,64,16,36,12,0,0,15
17,qm,red,2062,233,1091,61,61,12,49,10,30,9,0,0,12
17,qm,blue,6670,6807,2830,40,40,9,31,4,21,6,0,0,9
18,qm,red,2506,2077,6421,45,45,9,36,18,15,3,0,0,9
18,qm,blue,1675,930,706,62,62,12,44,26,12,6,6,0,12
19,qm,red,5125,6574,1732,77,77,9,65,14,33,18,3,0,9
19,qm,blue,6643,7900,1714,5,5,0,5,2,0,3,0,0,0
20,qm,red,4531,6223,5586,48,48,9,33,0,15,18,6,0,9
20,qm,blue,2194,1716,2451,42,42,15,27,6,12,9,0,0,15
21,qm,red,7103,4786,1306,46,46,12,28,4,12,12,6,0,12
21,qm,blue,1792,2169,2022,55,55,12,43,10,15,18,0,0,12
22,qm,red,7498,537,3197,71,71,9,62,14,30,18,0,0,9
22,qm,blue,5837,2704,4247,11,11,3,8,2,0,6,0,0,3
23,qm,red,2830,3418,1038,46,46,15,31,10,15,6,0,0,15
23,qm,blue,1675,7432,5096,32,32,9,23,8,6,9,0,0,9
24,qm,red,2040,6421,233,73,73,15,58,10,27,21,0,0,15
24,qm,blue,4804,1710,2077,60,60,12,48,12,30,6,0,0,12
25,qm,red,930,2506,7915,52,52,9,43,10,15,18,0,0,9
25,qm,blue,279,706,6670,30,30,12,18,12,0,6,0,0,12
26,qm,red,5148,269,3692,29,29,3,23,8,12,3,3,0,3
26,qm,blue,7619,6807,3381,32,32,9,23,2,18,3,0,0,9
27,qm,red,3596,1259,1091,67,67,15,52,10,30,12,0,0,15
27,qm,blue,7417,2202,2062,60,60,9,51,12,33,6,0,0,9
28,qm,red,3418,5125,7432,38,38,15,20,2,12,6,3,0,15
28,qm,blue,2704,1732,7498,68,68,12,56,14,24,18,0,0,12
29,qm,red,2451,2830,1710,64,64,9,55,10,33,12,0,0,9
29,qm,blue,2169,1714,6574,38,38,15,23,2,15,6,0,0,15
30,qm,red,4247,6670,1792,31,31,9,22,10,3,9,0,0,9
30,qm,blue,7900,2077,6223,44,44,6,28,4,15,9,10,0,6
31,qm,red,3381,2506,2194,57,57,9,48,12,18,18,0,0,9
31,qm,blue,1306,3197,6807,59,59,12,47,8,21,18,0,0,12
32,qm,red,4531,5096,537,44,44,6,38,2,21,15,0,0,6
32,qm,blue,2062,3692,1259,59,59,9,50,14,30,6,0,0,9
33,qm,red,1716,5586,706,55,55,12,31,10,3,18,12,0,12
33,qm,blue,233,7103,1038,72,72,15,51,12,27,12,6,0,15
34,qm,red,6643,1091,2202,27,27,12,15,6,0,9,0,0,12
34,qm,blue,5837,7915,4804,43,43,12,31,10,12,9,0,0,12
35,qm,red,930,279,2022,84,84,15,66,18,30,18,3,0,15
35,qm,blue,7619,3596,1675,47,47,15,32,14,6,12,0,0,15
36,qm,red,5148,6421,7417,43,43,12,28,4,12,12,3,0,12
36,qm,blue,269,4786,2040,67,67,15,42,6,21,15,10,0,15
37,qm,red,3418,6807,4531,37,37,12,25,4,9,12,0,0,12
37,qm,blue,1306,6223,1792,76,76,12,54,12,30,12,10,0,12
38,qm,red,6670,7900,5125,36,36,12,24,0,18,6,0,0,12
38,qm,blue,1710,3381,537,72,72,9,34,10,18,6,29,0,9
39,qm,red,1259,2169,7432,78,78,12,66,18,36,12,0,0,12
39,qm,blue,5837,2194,233,67,67,12,55,16,21,18,0,0,12
40,qm,red,1716,2022,1714,46,46,15,31,4,21,6,0,0,15
40,qm,blue,2062,930,7498,81,81,9,72,24,33,15,0,0,9
