match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6700,4010,5078,14,14,9,5,2,3,0,0,0,9
1,qm,blue,3216,5597,2122,49,49,9,40,10,24,6,0,0,9
2,qm,red,6485,7591,3729,57,57,12,45,12,18,15,0,0,12
2,qm,blue,4774,5118,1622,53,53,12,41,2,21,18,0,0,12
3,qm,red,359,6178,6823,71,71,9,56,8,27,21,6,0,9
3,qm,blue,3250,7277,6351,46,46,12,34,10,18,6,0,0,12
4,qm,red,4625,7799,4627,61,61,15,46,4,21,21,0,0,15
4,qm,blue,1482,6188,6179,32,32,12,20,2,12,6,0,0,12
5,qm,red,4604,4334,5725,44,44,15,29,2,18,9,0,0,15
5,qm,blue,4733,7205,7246,15,15,9,3,0,0,3,3,0,9
6,qm,red,5015,7706,6841,42,42,9,27,6,15,6,6,0,9
6,qm,blue,6041,6701,4191,15,15,0,15,0,6,9,0,0,0
7,qm,red,4625,5597,7843,16,16,3,13,10,3,0,0,0,3
7,qm,blue,4010,6485,6178,65,65,12,50,8,24,18,3,0,12
8,qm,red,6179,2122,7205,44,44,6,38,2,21,15,0,0,6
8,qm,blue,7591,7246,7277,47,47,12,22,4,12,6,13,0,12
9,qm,red,6188,4774,5015,63,63,12,45,6,18,21,6,0,12
9,qm,blue,1482,5078,6841,38,38,15,14,2,6,6,9,0,15
10,qm,red,4191,6700,3216,26,26,6,20,2,15,3,0,0,6
10,qm,blue,3250,4627,5725,52,52,9,43,10,21,12,0,0,9
11,qm,red,5118,6701,3729,35,35,6,26,8,15,3,3,0,6
11,qm,blue,7799,4334,6823,42,42,12,30,6,15,9,0,0,12
12,qm,red,6041,7843,6351,38,38,9,29,8,15,6,0,0,9
12,qm,blue,359,4733,4604,66,66,15,51,12,30,9,0,0,15
13,qm,red,5725,7277,1622,45,45,15,30,6,18,6,0,0,15
13,qm,blue,1482,7706,5597,24,24,6,18,12,3,3,0,0,6
14,qm,red,4334,3250,6700,54,54,12,42,12,21,9,0,0,12
14,qm,blue,4191,5078,2122,61,61,12,43,4,24,15,6,0,12
15,qm,red,7843,6701,3216,32,32,12,20,2,9,9,0,0,12
15,qm,blue,6179,6351,4774,42,42,6,27,6,18,3,9,0,6
16,qm,red,5015,6485,1622,65,65,15,50,14,15,21,0,0,15
16,qm,blue,6188,4604,7799,50,50,15,35,2,18,15,0,0,15
17,qm,red,7205,3729,6041,44,44,9,35,8,18,9,0,0,9
17,qm,blue,7706,6178,4625,30,30,15,15,6,0,9,0,0,15
18,qm,red,6841,7246,4627,62,62,15,44,8,24,12,3,0,15
18,qm,blue,4733,4010,5118,33,33,15,12,0,3,9,6,0,15
19,qm,red,5725,359,7591,49,49,12,37,4,24,9,0,0,12
19,qm,blue,6823,5015,6179,43,43,9,34,4,18,12,0,0,9
20,qm,red,3250,6041,4604,33,33,12,21,6,12,3,0,0,12
20,qm,blue,6485,4334,7205,67,67,15,52,10,24,18,0,0,15
21,qm,red,4774,7277,4010,50,50,15,35,8,12,15,0,0,15
21,qm,blue,5078,6351,6701,38,38,12,23,2,15,6,3,0,12
22,qm,red,6823,4625,4191,29,29,9,20,2,12,6,0,0,9
22,qm,blue,1622,3216,7246,44,44,12,32,2,15,15,0,0,12
23,qm,red,6841,7843,6178,35,35,15,20,8,3,9,0,0,15
23,qm,blue,7591,7799,2122,57,57,9,48,12,15,21,0,0,9
24,qm,red,6700,1482,359,54,54,9,45,6,21,18,0,0,9
24,qm,blue,7706,6188,5118,44,44,12,32,2,18,12,0,0,12
25,qm,red,4627,4191,4733,63,63,12,51,12,30,9,0,0,12
25,qm,blue,6351,5597,3729,37,37,6,21,6,15,0,10,0,6
26,qm,red,6701,7799,7246,15,15,3,12,0,6,6,0,0,3
26,qm,blue,5078,7843,1622,54,54,12,22,4,3,15,20,0,12
27,qm,red,6700,6823,4774,50,50,12,38,2,18,18,0,0,12
27,qm,blue,4334,6178,6041,36,36,15,21,6,9,6,0,0,15
28,qm,red,5597,3250,7591,63,63,12,48,12,18,18,3,0,12
28,qm,blue,4625,1482,4604,26,26,9,17,8,3,6,0,0,9
29,qm,red,3216,4733,5015,71,71,9,62,14,30,18,0,0,9
29,qm,blue,7277,7205,5118,44,44,15,29,8,12,9,0,0,15
30,qm,red,6841,4010,6179,46,46,15,28,4,21,3,3,0,15
30,qm,blue,6485,7706,4627,79,79,12,52,16,15,21,15,0,12
31,qm,red,3729,6188,359,81,81,12,69,18,33,18,0,0,12
31,qm,blue,2122,5725,6701,43,43,12,31,4,21,6,0,0,12
32,qm,red,3216,7205,4625,42,42,6,33,6,21,6,3,0,6
32,qm,blue,7843,6700,4733,29,29,6,23,2,18,3,0,0,6
33,qm,red,7277,6179,4334,63,63,15,38,8,21,9,10,0,15
33,qm,blue,5597,6841,6041,46,46,15,21,0,15,6,10,0,15
34,qm,red,5725,7246,6823,46,46,12,34,4,21,9,0,0,12
34,qm,blue,7799,4774,7706,33,33,9,15,6,3,6,9,0,9
35,qm,red,6351,7591,5015,63,63,9,54,12,24,18,0,0,9
35,qm,blue,3729,3250,5078,49,49,9,40,10,15,15,0,0,9
36,qm,red,5118,2122,1482,62,62,15,47,8,21,18,0,0,15
36,qm,blue,4604,4191,6485,60,60,15,32,2,15,15,13,0,15
37,qm,red,6178,1622,6188,51,51,15,36,0,18,18,0,0,15
37,qm,blue,4010,359,4627,90,90,15,65,14,36,15,10,0,15
38,qm,red,7799,6841,7277,32,32,12,20,2,9,9,0,0,12
38,qm,blue,3729,4625,6700,37,37,9,18,12,3,3,10,0,9
39,qm,red,2122,6041,6485,57,57,12,45,12,27,6,0,0,12
39,qm,blue,7591,6823,3216,27,27,6,21,0,9,12,0,0,6
40,qm,red,4010,3250,6188,71,71,15,50,8,15,27,6,0,15
40,qm,blue,4774,4733,5725,38,38,9,29,2,21,6,0,0,9
41,qm,red,5078,4604,6178,43,43,15,25,4,3,18,3,0,15
41,qm,blue,4191,6179,7706,32,32,12,20,2,15,3,0,0,12
42,qm,red,1622,1482,6351,55,55,6,49,10,21,18,0,0,6
42,qm,blue,7843,7246,4334,53,53,12,38,8,21,9,3,0,12
43,qm,red,6701,4627,5597,43,43,12,31,4,21,6,0,0,12
43,qm,blue,5015,7205,359,82,82,12,54,12,27,15,16,0,12
44,qm,red,5118,6485,5078,41,41,15,26,2,18,6,0,0,15
44,qm,blue,6178,5725,6700,22,22,9,13,4,0,9,0,0,9
