match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1662,6479,3944,50,50,9,38,8,15,15,3,0,9
1,qm,blue,3853,6656,2844,23,23,9,8,2,3,3,6,0,9
2,qm,red,2647,6833,7214,49,49,15,34,4,18,12,0,0,15
2,qm,blue,4496,6530,4183,40,40,6,31,4,15,12,3,0,6
3,qm,red,6413,1633,3577,20,20,6,14,8,0,6,0,0,6
3,qm,blue,7017,1165,498,51,51,9,39,12,15,12,3,0,9
4,qm,red,3187,6372,7547,52,52,12,21,6,3,12,19,0,12
4,qm,blue,2449,6674,3133,27,27,9,18,0,9,9,0,0,9
5,qm,red,7703,2403,698,62,62,15,47,8,21,18,0,0,15
5,qm,blue,6352,7620,4565,91,91,15,76,22,33,21,0,0,15
6,qm,red,2840,1290,3889,44,44,9,19,4,6,9,16,0,9
6,qm,blue,1492,3019,5465,49,49,12,31,10,9,12,6,0,12
7,qm,red,2478,4111,1212,69,69,15,44,8,21,15,10,0,15
7,qm,blue,2662,4146,7755,53,53,12,41,8,24,9,0,0,12
8,qm,red,6530,3577,7703,41,41,9,26,8,0,18,6,0,9
8,qm,blue,1662,2844,4183,69,69,9,50,8,24,18,10,0,9
9,qm,red,2403,6656,7017,49,49,9,40,10,15,15,0,0,9
9,qm,blue,3889,698,7547,19,19,3,16,4,3,9,0,0,3
10,qm,red,7214,6674,6479,56,56,12,41,8,18,15,3,0,12
10,qm,blue,1492,1212,498,50,50,9,38,8,24,6,3,0,9
11,qm,red,4146,6413,2647,45,45,12,30,12,9,9,3,0,12
11,qm,blue,3133,2478,7620,75,75,9,66,18,30,18,0,0,9
12,qm,red,2662,5465,3853,31,31,6,16,4,6,6,9,0,6
12,qm,blue,4565,2449,3187,50,50,15,35,8,21,6,0,0,15
13,qm,red,6833,1290,3019,44,44,15,29,2,18,9,0,0,15
13,qm,blue,2840,3944,1165,35,35,6,26,8,9,9,3,0,6
14,qm,red,6352,1633,4496,21,21,9,12,0,3,9,0,0,9
14,qm,blue,7755,4111,6372,33,33,15,18,0,0,18,0,0,15
15,qm,red,2403,2449,1492,59,59,12,37,16,6,15,10,0,12
15,qm,blue,3577,4183,4146,44,44,9,35,8,24,3,0,0,9
16,qm,red,7620,7214,5465,41,41,9,32,14,6,12,0,0,9
16,qm,blue,6479,498,3133,42,42,9,33,12,12,9,0,0,9
17,qm,red,4565,1662,2647,65,65,15,50,8,24,18,0,0,15
17,qm,blue,4496,7547,3944,70,70,15,24,12,3,9,31,0,15
18,qm,red,2844,2478,3889,53,53,15,38,2,18,18,0,0,15
18,qm,blue,6372,6413,3019,26,26,15,11,2,3,6,0,0,15
19,qm,red,1212,1633,3187,48,48,15,33,6,21,6,0,0,15
19,qm,blue,4111,7703,6656,35,35,15,17,8,3,6,3,0,15
20,qm,red,6674,1165,6530,42,42,9,33,12,18,3,0,0,9
20,qm,blue,2840,7755,6352,43,43,9,31,4,12,15,3,0,9
21,qm,red,6833,7017,3853,30,30,12,18,0,15,3,0,0,12
21,qm,blue,1290,698,2662,19,19,9,10,4,0,6,0,0,9
22,qm,red,7620,3577,6479,51,51,12,39,18,0,21,0,0,12
22,qm,blue,7214,3187,3944,44,44,15,19,10,6,3,10,0,15
23,qm,red,2478,1492,2840,73,73,12,55,16,21,18,6,0,12
23,qm,blue,1633,2449,2844,18,18,15,3,0,0,3,0,0,15
24,qm,red,4496,6413,1290,17,17,3,14,8,0,6,0,0,3
24,qm,blue,2662,4111,6674,34,34,12,22,4,9,9,0,0,12
25,qm,red,7703,3889,1662,36,36,15,21,6,6,9,0,0,15
25,qm,blue,698,7755,6833,36,36,12,24,0,18,6,0,0,12
26,qm,red,7547,4146,2403,47,47,9,38,8,15,15,0,0,9
26,qm,blue,5465,6530,1212,23,23,3,20,2,9,9,0,0,3
27,qm,red,498,4183,3853,53,53,12,41,8,21,12,0,0,12
27,qm,blue,1165,6656,6372,38,38,12,26,8,9,9,0,0,12
28,qm,red,3019,4565,3133,58,58,12,46,10,30,6,0,0,12
28,qm,blue,7017,6352,2647,39,39,9,30,12,0,18,0,0,9
29,qm,red,3577,698,4111,16,16,12,4,4,0,0,0,0,12
29,qm,blue,2449,2840,6479,53,53,15,38,14,9,15,0,0,15
30,qm,red,3187,498,7755,63,63,15,45,12,24,9,3,0,15
30,qm,blue,1492,1662,6372,53,53,15,38,14,15,9,0,0,15
31,qm,red,1633,3944,7620,50,50,12,38,26,6,6,0,0,12
31,qm,blue,2403,2662,3889,72,72,15,54,18,18,18,3,0,15
32,qm,red,1290,1165,7547,40,40,9,31,16,6,9,0,0,9
32,qm,blue,7703,4496,7214,39,39,12,27,6,12,9,0,0,12
33,qm,red,6674,2844,3019,59,59,12,37,10,15,12,10,0,12
33,qm,blue,4565,7017,4146,55,55,15,40,10,21,9,0,0,15
34,qm,red,5465,4183,6833,42,42,12,30,0,18,12,0,0,12
34,qm,blue,2478,6352,3853,66,66,15,51,12,21,18,0,0,15
35,qm,red,2647,3133,6530,35,35,12,23,14,0,9,0,0,12
35,qm,blue,6656,6413,1212,42,42,15,27,6,15,6,0,0,15
36,qm,red,6372,2840,7017,36,36,15,21,0,15,6,0,0,15
36,qm,blue,7214,2403,1662,57,57,15,42,12,15,15,0,0,15
37,qm,red,6674,7620,498,59,59,12,32,14,9,9,15,0,12
37,qm,blue,2449,3019,2478,75,75,15,60,18,27,15,0,0,15
38,qm,red,7703,2662,1492,42,42,12,30,12,12,6,0,0,12
38,qm,blue,1165,2647,4111,45,45,15,24,6,9,9,6,0,15
39,qm,red,6479,7755,6413,21,21,15,6,0,0,6,0,0,15
39,qm,blue,4565,7547,6833,64,64,15,40,10,21,9,9,0,15
40,qm,red,6530,3944,2844,35,35,12,23,14,0,9,0,0,12
40,qm,blue,3853,1212,4496,40,40,12,28,4,18,6,0,0,12
41,qm,red,3133,698,1633,14,14,9,5,2,0,3,0,0,9
41,qm,blue,3577,1290,5465,23,23,9,14,8,0,6,0,0,9
42,qm,red,6656,4183,6352,64,64,15,49,10,24,15,0,0,15
42,qm,blue,4146,3187,3889,41,41,6,35,20,3,12,0,0,6
43,qm,red,7755,3853,1492,51,51,15,36,12,15,9,0,0,15
43,qm,blue,3019,2840,7620,72,72,15,54,18,21,15,3,0,15
44,qm,red,1165,4565,698,49,49,9,40,10,21,9,0,0,9
44,qm,blue,3944,6372,2478,74,74,15,59,14,27,18,0,0,15
45,qm,red,6833,7703,2844,40,40,12,25,4,18,3,3,0,12
45,qm,blue,4146,3133,7214,57,57,12,45,18,21,6,0,0,12
46,qm,red,498,2449,4496,41,41,9,32,8,18,6,0,0,9
46,qm,blue,3889,1212,6352,53,53,15,38,2,18,18,0,0,15
47,qm,red,5465,7547,6413,30,30,15,12,6,3,3,3,0,15
47,qm,blue,4183,4111,7017,42,42,9,33,0,18,15,0,0,9
48,qm,red,6530,2403,3187,46,46,12,34,16,12,6,0,0,12
48,qm,blue,2647,2662,1633,40,40,15,25,10,12,3,0,0,15
49,qm,red,6479,1290,6656,52,52,12,40,16,9,15,0,0,12
49,qm,blue,3577,6674,1662,46,46,15,31,10,12,9,0,0,15
50,qm,red,1212,7703,3944,60,60,15,45,12,27,6,0,0,15
50,qm,blue,698,498,6413,47,47,12,32,8,21,3,3,0,12
51,qm,red,5465,4146,2840,47,47,9,38,8,21,9,0,0,9
51,qm,blue,2647,3187,4496,40,40,12,28,10,6,12,0,0,12
52,qm,red,4111,7547,6352,36,36,9,27,12,0,15,0,0,9
52,qm,blue,1492,7620,6530,62,62,12,50,14,15,21,0,0,12
53,qm,red,1662,3019,2662,72,72,15,57,18,33,6,0,0,15
53,qm,blue,7214,6372,3577,29,29,15,14,2,9,3,0,0,15
54,qm,red,2844,6479,7017,46,46,12,34,16,3,15,0,0,12
54,qm,blue,4183,2478,1165,108,108,12,69,18,33,18,27,0,12
55,qm,red,3889,6833,2449,62,62,15,31,4,21,6,16,0,15
55,qm,blue,6656,4565,1633,42,42,15,21,0,18,3,6,0,15
56,qm,red,3133,2403,7755,72,72,12,42,6,18,18,18,0,12
56,qm,blue,1290,3853,6674,31,31,9,22,4,12,6,0,0,9
57,qm,red,4146,1492,4496,33,33,12,21,6,9,6,0,0,12
57,qm,blue,3944,7017,698,31,31,12,16,10,0,6,3,0,12
58,qm,red,7620,1165,2449,61,61,12,49,16,21,12,0,0,12
58,qm,blue,1662,6530,6656,56,56,15,38,8,12,18,3,0,15
59,qm,red,4183,2840,2662,58,58,12,46,4,24,18,0,0,12
59,qm,blue,7547,3133,7703,43,43,15,28,16,3,9,0,0,15
60,qm,red,1212,2844,6372,35,35,12,20,2,15,3,3,0,12
60,qm,blue,3187,6833,6674,62,62,12,50,8,21,21,0,0,12
61,qm,red,3019,2647,7755,36,36,12,24,12,3,9,0,0,12
61,qm,blue,1633,6479,5465,28,28,12,13,4,6,3,3,0,12
62,qm,red,4111,3853,4565,40,40,9,25,4,21,0,6,0,9
62,qm,blue,498,3889,3577,49,49,12,37,16,15,6,0,0,12
63,qm,red,6413,2478,7214,50,50,15,35,2,15,18,0,0,15
63,qm,blue,2403,6352,1290,60,60,9,45,6,21,18,6,0,9
64,qm,red,4183,2647,6674,59,59,12,47,8,27,12,0,0,12
64,qm,blue,698,3187,3019,56,56,12,41,14,18,9,3,0,12
65,qm,red,7017,2662,6530,54,54,12,39,6,15,18,3,0,12
65,qm,blue,6479,3889,1492,50,50,15,35,8,15,12,0,0,15
66,qm,red,6372,1633,1290,29,29,15,11,2,0,9,3,0,15
66,qm,blue,7547,2844,7620,38,38,12,26,14,0,12,0,0,12
67,qm,red,1212,1662,4146,52,52,12,40,10,12,18,0,0,12
67,qm,blue,6413,3853,2840,24,24,12,9,0,6,3,3,0,12
68,qm,red,2478,498,2403,92,92,15,71,14,36,21,6,0,15
68,qm,blue,4496,6833,3577,45,45,15,30,6,12,12,0,0,15
69,qm,red,6656,7214,2449,35,35,15,20,2,15,3,0,0,15
69,qm,blue,7755,4565,7703,49,49,15,34,4,21,9,0,0,15
70,qm,red,6352,3133,1165,47,47,6,41,8,24,9,0,0,6
70,qm,blue,3944,5465,4111,22,22,12,10,4,0,6,0,0,12
71,qm,red,3577,3019,7547,71,71,12,36,6,15,15,23,0,12
71,qm,blue,6833,7620,1212,78,78,15,57,12,21,24,6,0,15
72,qm,red,7017,6674,2478,79,79,15,64,10,33,21,0,0,15
72,qm,blue,3853,7703,6479,67,67,9,58,16,24,18,0,0,9
73,qm,red,2662,3944,3133,48,48,12,36,12,18,6,0,0,12
73,qm,blue,1633,7755,4183,58,58,15,43,4,21,18,0,0,15
74,qm,red,2449,6352,1662,66,66,15,48,12,24,12,3,0,15
74,qm,blue,2844,5465,2647,34,34,15,13,4,0,9,6,0,15
75,qm,red,498,6372,4565,72,72,15,48,18,21,9,9,0,15
75,qm,blue,1290,6530,4146,47,47,6,25,16,3,6,16,0,6
76,qm,red,4111,3889,6413,20,20,12,8,2,0,6,0,0,12
76,qm,blue,698,7214,2840,42,42,6,36,6,21,9,0,0,6
77,qm,red,3187,1492,6656,47,47,15,29,2,18,9,3,0,15
77,qm,blue,1165,4496,2403,46,46,9,37,10,12,15,0,0,9
78,qm,red,4565,1212,4183,80,80,15,65,14,33,18,0,0,15
78,qm,blue,7620,1662,1290,68,68,9,59,14,24,21,0,0,9
79,qm,red,6674,4146,698,68,68,12,41,14,18,9,15,0,12
79,qm,blue,6530,7214,1633,33,33,9,24,6,9,9,0,0,9
80,qm,red,3133,4496,4111,32,32,15,17,8,0,9,0,0,15
80,qm,blue,3019,6479,2403,88,88,15,73,22,33,18,0,0,15
81,qm,red,3853,3889,1165,40,40,12,28,10,18,0,0,0,12
81,qm,blue,7547,2647,2478,68,68,15,53,14,21,18,0,0,15
82,qm,red,7755,3577,2449,45,45,15,24,6,0,18,6,0,15
82,qm,blue,6413,7017,3187,25,25,9,16,4,3,9,0,0,9
83,qm,red,6372,5465,7703,49,49,12,37,10,21,6,0,0,12
83,qm,blue,3944,1492,6833,64,64,15,49,10,27,12,0,0,15
84,qm,red,2840,6656,498,72,72,15,47,14,24,9,10,0,15
84,qm,blue,2844,6352,2662,52,52,12,37,4,15,18,3,0,12
1,qf,red,2403,2478,2662,90,90,15,63,12,33,18,12,0,15
1,qf,blue,3853,2840,1165,40,40,12,28,4,24,0,0,0,12
2,qf,red,2403,2478,2662,84,84,15,69,18,39,12,0,0,15
2,qf,blue,3853,2840,1165,52,52,12,40,4,18,18,0,0,12
1,qf,red,4146,1212,2449,68,68,15,53,8,27,18,0,0,15
1,qf,blue,4565,3019,3187,48,48,15,33,6,21,6,0,0,15
2,qf,red,4146,1212,2449,52,52,15,31,4,18,9,6,0,15
2,qf,blue,4565,3019,3187,56,56,15,41,8,21,12,0,0,15
3,qf,red,4146,1212,2449,53,53,15,35,2,18,15,3,0,15
3,qf,blue,4565,3019,3187,55,55,15,34,4,21,9,6,0,15
1,qf,red,1662,6352,6656,60,60,15,45,6,21,18,0,0,15
1,qf,blue,1492,7755,6674,53,53,15,38,2,21,15,0,0,15
2,qf,red,1662,6352,6656,78,78,15,60,12,30,18,3,0,15
2,qf,blue,1492,7755,6674,52,52,15,37,4,24,9,0,0,15
1,qf,red,4183,7620,7214,62,62,9,53,14,21,18,0,0,9
1,qf,blue,498,6479,6833,69,69,15,51,18,24,9,3,0,15
2,qf,red,4183,7620,7214,69,69,15,51,12,18,21,3,0,15
2,qf,blue,498,6479,6833,59,59,15,41,8,15,18,3,0,15
3,qf,red,4183,7620,7214,36,36,12,24,12,3,9,0,0,12
3,qf,blue,498,6479,6833,78,78,15,63,12,30,21,0,0,15
1,sf,red,2403,2478,2662,111,111,15,76,16,39,21,20,0,15
1,sf,blue,4565,3019,3187,67,67,15,52,10,27,15,0,0,15
2,sf,red,2403,2478,2662,93,93,15,75,18,36,21,3,0,15
2,sf,blue,4565,3019,3187,64,64,15,49,10,27,12,0,0,15
1,sf,red,1662,6352,6656,69,69,12,48,6,21,21,9,0,12
1,sf,blue,498,6479,6833,57,57,15,39,12,12,15,3,0,15
2,sf,red,1662,6352,6656,37,37,15,22,4,6,12,0,0,15
2,sf,blue,498,6479,6833,65,65,15,50,14,21,15,0,0,15
3,sf,red,1662,6352,6656,59,59,15,38,2,15,21,6,0,15
3,sf,blue,498,6479,6833,65,65,15,50,14,18,18,0,0,15
1,f,red,2403,2478,2662,81,81,15,63,12,30,21,3,0,15
1,f,blue,498,6479,6833,72,72,15,54,12,24,18,3,0,15
2,f,red,2403,2478,2662,72,72,15,44,14,27,3,13,0,15
2,f,blue,498,6479,6833,80,80,15,65,14,33,18,0,0,15
3,f,red,2403,2478,2662,61,61,15,46,10,27,9,0,0,15
3,f,blue,498,6479,6833,69,69,15,54,12,24,18,0,0,15
