match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5102,2339,4123,43,43,15,28,4,18,6,0,0,15
1,qm,blue,5124,5857,2637,41,41,15,26,2,18,6,0,0,15
2,qm,red,6436,702,1538,55,55,15,40,16,18,6,0,0,15
2,qm,blue,691,6072,3476,43,43,12,31,16,15,0,0,0,12
3,qm,red,968,6060,3759,47,47,9,38,8,21,9,0,0,9
3,qm,blue,6417,6957,6668,27,27,6,21,0,15,6,0,0,6
4,qm,red,2073,2658,4160,51,51,12,39,6,24,9,0,0,12
4,qm,blue,7607,2659,589,44,44,9,35,2,15,18,0,0,9
5,qm,red,399,2584,1678,62,62,12,50,14,21,15,0,0,12
5,qm,blue,980,3953,4913,54,54,15,39,12,9,18,0,0,15
6,qm,red,2493,5012,585,52,52,15,34,10,12,12,3,0,15
6,qm,blue,5869,4014,2429,9,9,6,3,0,3,0,0,0,6
7,qm,red,691,2637,7778,25,25,12,13,4,0,9,0,0,12
7,qm,blue,6417,4160,2339,36,36,15,21,6,6,9,0,0,15
8,qm,red,5857,5102,6072,42,42,15,27,6,15,6,0,0,15
8,qm,blue,7607,399,3953,42,42,6,36,0,18,18,0,0,6
9,qm,red,5012,1678,5124,108,108,15,93,24,51,18,0,0,15
9,qm,blue,589,2493,6060,45,45,9,33,6,9,18,3,0,9
10,qm,red,6957,2429,3476,51,51,12,36,12,18,6,3,0,12
10,qm,blue,702,3759,2584,79,79,12,54,12,30,12,13,0,12
11,qm,red,2659,2658,7778,69,69,6,63,12,36,15,0,0,6
11,qm,blue,6668,4014,980,35,35,15,20,2,9,9,0,0,15
12,qm,red,2073,5869,4123,58,58,12,46,10,18,18,0,0,12
12,qm,blue,585,1538,4913,53,53,15,38,20,12,6,0,0,15
13,qm,red,2637,6436,5102,49,49,12,37,4,24,9,0,0,12
13,qm,blue,1678,968,589,72,72,12,60,12,30,18,0,0,12
14,qm,red,2493,2339,7607,42,42,15,27,0,18,9,0,0,15
14,qm,blue,399,6417,3759,49,49,6,43,10,24,9,0,0,6
15,qm,red,980,1538,4160,62,62,15,47,14,18,15,0,0,15
15,qm,blue,585,702,5124,55,55,15,34,4,24,6,6,0,15
16,qm,red,5857,968,6957,39,39,12,27,12,12,3,0,0,12
16,qm,blue,7778,6072,5012,47,47,9,35,8,21,6,3,0,9
17,qm,red,2429,3953,2584,67,67,9,58,10,30,18,0,0,9
17,qm,blue,691,5869,6436,38,38,12,26,8,9,9,0,0,12
18,qm,red,3476,4913,2073,75,75,9,63,24,24,15,3,0,9
18,qm,blue,2658,6060,4014,76,76,9,61,16,27,18,6,0,9
19,qm,red,585,4123,1678,79,79,15,58,16,24,18,6,0,15
19,qm,blue,2659,6668,2339,54,54,15,36,6,12,18,3,0,15
20,qm,red,5869,5124,2493,61,61,15,43,10,21,12,3,0,15
20,qm,blue,5857,980,702,42,42,9,33,12,18,3,0,0,9
21,qm,red,5012,4913,968,80,80,12,62,20,33,9,6,0,12
21,qm,blue,6436,3759,7607,47,47,9,38,14,18,6,0,0,9
22,qm,red,2584,589,2658,59,59,6,53,8,24,21,0,0,6
22,qm,blue,3953,6957,4123,52,52,9,43,4,18,21,0,0,9
23,qm,red,2429,6072,6668,29,29,6,20,2,12,6,3,0,6
