match,comp,alliance,team1,team2,team3
1,qm,red,2537,4541,1727
1,qm,blue,5338,1413,1885
2,qm,red,5546,2199,2534
2,qm,blue,5830,6802,614
3,qm,red,620,977,2028
3,qm,blue,3359,2912,2068
4,qm,red,1719,2377,686
4,qm,blue,1731,1629,7886
5,qm,red,4456,4099,2998
5,qm,blue,7770,619,2363
6,qm,red,422,888,339
6,qm,blue,5587,6882,1086
7,qm,red,6334,2914,1610
7,qm,blue,1599,836,2849
8,qm,red,449,4472,4242
8,qm,blue,3748,1123,4638
9,qm,red,1418,540,6543
9,qm,blue,612,3793,384
10,qm,red,1111,2106,346
10,qm,blue,1262,1111,5546
11,qm,red,614,686,4472
11,qm,blue,3748,6802,6882
12,qm,red,2377,836,2534
12,qm,blue,346,384,3793
13,qm,red,1719,888,5830
13,qm,blue,1123,2363,1885
14,qm,red,619,2849,7770
14,qm,blue,1629,540,6543
15,qm,red,4099,5338,7886
15,qm,blue,4456,1731,1727
16,qm,red,1262,2912,1599
16,qm,blue,2106,620,422
17,qm,red,2537,2199,2998
17,qm,blue,3359,449,4638
18,qm,red,2914,4541,2068
18,qm,blue,977,2028,4242
19,qm,red,6334,1086,1610
19,qm,blue,339,5587,612
20,qm,red,1418,1413,346
20,qm,blue,2199,7770,1262
21,qm,red,888,2106,4541
21,qm,blue,2998,3359,3793
22,qm,red,836,540,4638
22,qm,blue,620,6882,4099
23,qm,red,1719,1727,2914
23,qm,blue,1111,1413,5830
24,qm,red,4456,422,1629
24,qm,blue,5587,339,1885
25,qm,red,4242,6802,614
25,qm,blue,4472,2537,1610
26,qm,red,2068,2912,1123
26,qm,blue,2377,612,5338
27,qm,red,449,619,1599
27,qm,blue,384,6543,3748
28,qm,red,977,1731,5546
28,qm,blue,2028,1418,686
29,qm,red,1086,6334,2363
29,qm,blue,7886,2849,2534
30,qm,red,6882,6334,614
30,qm,blue,3748,612,4638
31,qm,red,4541,2028,540
31,qm,blue,3793,1885,7770
32,qm,red,449,2377,2914
32,qm,blue,4472,1629,2534
33,qm,red,1731,4456,5587
33,qm,blue,5830,6543,2912
34,qm,red,836,339,1123
34,qm,blue,2199,2849,1418
35,qm,red,620,1111,4099
35,qm,blue,1262,384,1413
36,qm,red,2106,5338,2998
36,qm,blue,346,619,977
37,qm,red,1719,2537,2068
37,qm,blue,2363,3359,7886
38,qm,red,5546,1727,1610
38,qm,blue,6802,888,4242
39,qm,red,422,686,1086
39,qm,blue,1599,2028,339
40,qm,red,3793,1086,5587
40,qm,blue,2363,7770,6882
41,qm,red,2849,620,5338
41,qm,blue,2912,5546,5830
42,qm,red,2534,4638,2998
42,qm,blue,1262,619,977
43,qm,red,1123,1111,888
43,qm,blue,1599,2537,4242
44,qm,red,346,3359,449
44,qm,blue,3748,2199,2377
45,qm,red,612,4472,2068
45,qm,blue,1629,1610,1418
46,qm,red,686,1731,836
46,qm,blue,1727,6543,614
47,qm,red,2914,384,540
47,qm,blue,6334,4541,4099
48,qm,red,1885,422,1413
48,qm,blue,6802,2106,7886
49,qm,red,4456,1719,1610
49,qm,blue,422,2377,1413
50,qm,red,7770,620,614
50,qm,blue,4541,1599,619
51,qm,red,888,4099,1629
51,qm,blue,1885,1086,2028
52,qm,red,2199,4456,2106
52,qm,blue,384,2849,2537
53,qm,red,3793,5830,6882
53,qm,blue,540,1111,1731
54,qm,red,5546,449,7886
54,qm,blue,339,1719,2914
55,qm,red,1262,3748,5587
55,qm,blue,4242,1418,2998
56,qm,red,6543,2534,977
56,qm,blue,1727,836,6802
57,qm,red,346,4638,2912
57,qm,blue,3359,2068,2363
58,qm,red,612,5338,1123
