match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,228,4572,3555,52,52,12,40,10,24,6,0,0,12
1,qm,blue,2785,6762,7407,54,54,15,39,6,24,9,0,0,15
2,qm,red,181,5746,5142,49,49,15,34,10,9,15,0,0,15
2,qm,blue,7127,1699,2067,50,50,15,35,2,18,15,0,0,15
3,qm,red,6811,3182,213,36,36,12,24,0,15,9,0,0,12
3,qm,blue,1991,558,7869,50,50,15,29,8,15,6,6,0,15
4,qm,red,7153,177,5856,61,61,15,46,10,21,15,0,0,15
4,qm,blue,6333,3719,236,52,52,12,40,16,12,12,0,0,12
5,qm,red,2836,6346,195,52,52,15,37,10,18,9,0,0,15
5,qm,blue,7694,7462,230,53,53,9,35,8,9,18,9,0,9
6,qm,red,1124,3634,5686,35,35,12,23,8,9,6,0,0,12
6,qm,blue,999,2170,3146,66,66,15,51,12,18,21,0,0,15
7,qm,red,1699,177,175,81,81,15,48,6,24,18,18,0,15
7,qm,blue,190,6333,1991,56,56,9,47,8,21,18,0,0,9
8,qm,red,5856,2067,558,65,65,15,47,8,21,18,3,0,15
8,qm,blue,3719,230,2836,82,82,15,54,18,12,24,13,0,15
9,qm,red,999,7153,7694,26,26,12,11,2,6,3,3,0,12
9,qm,blue,2170,5142,7407,38,38,15,23,8,9,6,0,0,15
10,qm,red,7127,213,181,55,55,15,40,10,9,21,0,0,15
10,qm,blue,3146,5746,4572,56,56,15,38,8,15,15,3,0,15
11,qm,red,236,195,228,63,63,12,51,12,24,15,0,0,12
11,qm,blue,3182,175,5686,48,48,15,30,6,15,9,3,0,15
12,qm,red,190,6346,3634,67,67,15,52,10,24,18,0,0,15
12,qm,blue,7869,3555,1124,61,61,15,46,10,24,12,0,0,15
13,qm,red,6762,6811,230,63,63,15,48,12,27,9,0,0,15
13,qm,blue,5142,7462,2785,52,52,12,22,4,9,9,18,0,12
14,qm,red,5686,228,2836,65,65,15,50,14,21,15,0,0,15
14,qm,blue,4572,213,6333,36,36,12,24,6,12,6,0,0,12
15,qm,red,1991,1124,175,43,43,12,25,4,15,6,6,0,12
15,qm,blue,5856,1699,3555,67,67,15,52,10,30,12,0,0,15
16,qm,red,999,190,6762,68,68,15,53,8,24,21,0,0,15
16,qm,blue,6346,5746,3182,36,36,15,21,6,12,3,0,0,15
17,qm,red,7462,558,181,61,61,15,46,10,18,18,0,0,15
17,qm,blue,7694,7407,236,66,66,12,54,6,27,21,0,0,12
18,qm,red,3719,2170,2067,31,31,12,16,10,3,3,3,0,12
18,qm,blue,7869,2785,6811,38,38,15,23,2,18,3,0,0,15
19,qm,red,195,3634,7153,63,63,9,44,8,21,15,10,0,9
19,qm,blue,177,3146,7127,70,70,15,42,6,18,18,13,0,15
20,qm,red,3182,7407,5856,71,71,15,50,14,30,6,6,0,15
20,qm,blue,6346,175,999,47,47,15,32,8,18,6,0,0,15
21,qm,red,1991,5746,2785,50,50,15,35,8,18,9,0,0,15
21,qm,blue,558,5686,6762,62,62,15,44,8,18,18,3,0,15
22,qm,red,3146,7869,230,63,63,15,42,6,18,18,6,0,15
22,qm,blue,7694,228,1124,45,45,12,33,12,12,9,0,0,12
23,qm,red,213,1699,3634,44,44,9,35,8,18,9,0,0,9
23,qm,blue,2067,6811,7153,38,38,9,29,2,18,9,0,0,9
24,qm,red,2170,4572,7462,34,34,12,22,10,6,6,0,0,12
24,qm,blue,177,3719,3555,83,83,15,68,14,33,21,0,0,15
25,qm,red,7127,190,5142,82,82,12,70,16,33,21,0,0,12
25,qm,blue,181,236,2836,84,84,15,69,24,24,21,0,0,15
26,qm,red,7694,195,6811,81,81,12,66,12,33,21,3,0,12
26,qm,blue,6333,999,5686,45,45,12,30,6,12,12,3,0,12
27,qm,red,7462,7407,3719,60,60,15,45,6,27,12,0,0,15
27,qm,blue,5746,177,213,66,66,15,48,6,24,18,3,0,15
28,qm,red,4572,7127,7869,65,65,9,46,10,18,18,10,0,9
28,qm,blue,175,2836,5856,63,63,15,48,12,27,9,0,0,15
29,qm,red,236,3634,3182,59,59,12,37,10,21,6,10,0,12
29,qm,blue,6762,2170,1699,26,26,9,17,2,9,6,0,0,9
30,qm,red,3146,7153,6333,54,54,12,42,6,18,18,0,0,12
30,qm,blue,190,2785,558,57,57,15,42,12,9,21,0,0,15
31,qm,red,3555,181,1991,68,68,15,53,14,21,18,0,0,15
31,qm,blue,195,2067,230,86,86,12,64,16,30,18,10,0,12
32,qm,red,5142,1124,1699,45,45,12,30,6,15,9,3,0,12
32,qm,blue,3719,6346,228,58,58,15,37,4,15,18,6,0,15
33,qm,red,5746,7694,6762,48,48,15,33,6,21,6,0,0,15
33,qm,blue,2785,175,6333,41,41,15,26,2,18,6,0,0,15
34,qm,red,3634,1991,2170,47,47,15,32,14,12,6,0,0,15
34,qm,blue,2836,190,4572,73,73,15,58,16,21,21,0,0,15
35,qm,red,5686,7127,7153,55,55,9,36,6,12,18,10,0,9
35,qm,blue,230,228,3182,71,71,15,50,8,24,18,6,0,15
36,qm,red,5856,3146,236,57,57,12,45,6,24,15,0,0,12
36,qm,blue,3555,7462,213,54,54,15,39,6,24,9,0,0,15
37,qm,red,7407,181,177,106,106,15,75,18,39,18,16,0,15
37,qm,blue,999,1124,6811,47,47,12,35,2,21,12,0,0,12
38,qm,red,6346,7869,2067,64,64,15,43,4,24,15,6,0,15
38,qm,blue,558,5142,195,60,60,12,35,8,18,9,13,0,12
39,qm,red,6762,3146,7462,65,65,15,50,8,24,18,0,0,15
39,qm,blue,1699,1991,7153,56,56,15,41,8,24,9,0,0,15
40,qm,red,5686,230,190,55,55,15,37,4,15,18,3,0,15
40,qm,blue,3634,3719,181,47,47,12,32,14,3,15,3,0,12
41,qm,red,2170,6346,7127,62,62,15,47,8,21,18,0,0,15
41,qm,blue,2836,6333,6811,65,65,12,31,10,9,12,22,0,12
42,qm,red,5856,2785,1124,54,54,15,39,12,18,9,0,0,15
42,qm,blue,213,195,7869,83,83,15,48,6,24,18,20,0,15
43,qm,red,236,558,4572,57,57,12,45,12,21,12,0,0,12
43,qm,blue,5142,999,228,72,72,12,54,6,27,21,6,0,12
44,qm,red,3555,2067,5746,73,73,12,58,10,30,18,3,0,12
44,qm,blue,3182,7694,177,68,68,15,53,14,30,9,0,0,15
45,qm,red,7407,2836,3146,75,75,15,57,12,21,24,3,0,15
45,qm,blue,175,6762,3719,52,52,12,40,4,24,12,0,0,12
46,qm,red,558,7127,999,65,65,15,50,8,21,21,0,0,15
46,qm,blue,1124,7462,6346,29,29,12,17,8,6,3,0,0,12
47,qm,red,7869,3182,5142,46,46,15,31,4,21,6,0,0,15
47,qm,blue,5686,4572,5856,70,70,12,45,12,27,6,13,0,12
48,qm,red,175,3555,236,66,66,15,51,12,30,9,0,0,15
48,qm,blue,7407,6811,3634,53,53,9,41,14,18,9,3,0,9
49,qm,red,1699,7694,190,57,57,15,42,6,21,15,0,0,15
49,qm,blue,2067,213,2785,67,67,15,46,4,24,18,6,0,15
50,qm,red,195,177,1991,96,96,12,81,24,39,18,3,0,12
50,qm,blue,228,2170,5746,58,58,15,43,10,15,18,0,0,15
51,qm,red,6333,7869,181,56,56,12,44,8,21,15,0,0,12
51,qm,blue,7153,230,7407,74,74,12,62,14,33,15,0,0,12
52,qm,red,6811,5142,3146,66,66,12,54,12,24,18,0,0,12
52,qm,blue,2067,236,190,65,65,12,50,8,21,21,3,0,12
53,qm,red,558,7694,3719,60,60,15,45,6,18,21,0,0,15
53,qm,blue,7127,5856,6762,62,62,15,37,4,15,18,10,0,15
54,qm,red,5746,999,1699,52,52,15,37,4,24,9,0,0,15
54,qm,blue,7153,3555,2836,61,61,15,40,10,15,15,6,0,15
55,qm,red,175,213,228,59,59,15,44,8,24,12,0,0,15
