match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3676,7271,3035,66,66,15,48,12,30,6,3,0,15
1,qm,blue,5414,2714,7872,64,64,15,49,10,24,15,0,0,15
2,qm,red,1255,1817,4063,62,62,15,47,8,21,18,0,0,15
2,qm,blue,7492,5261,6377,60,60,15,42,6,15,21,3,0,15
3,qm,red,4378,148,5572,69,69,15,54,18,18,18,0,0,15
3,qm,blue,6901,2657,7621,60,60,12,48,12,27,9,0,0,12
4,qm,red,5892,5431,624,64,64,12,52,10,24,18,0,0,12
4,qm,blue,231,4610,2468,63,63,15,48,12,21,15,0,0,15
5,qm,red,418,7088,4295,30,30,15,15,0,6,9,0,0,15
5,qm,blue,5242,7494,3240,48,48,15,33,6,21,6,0,0,15
6,qm,red,3847,7521,1477,82,82,12,67,22,27,18,3,0,12
6,qm,blue,4206,3735,2582,55,55,15,40,4,15,21,0,0,15
7,qm,red,6144,5417,5411,62,62,9,47,8,18,21,6,0,9
7,qm,blue,3310,7708,6315,66,66,12,51,12,30,9,3,0,12
8,qm,red,1296,3481,2158,35,35,9,26,2,12,12,0,0,9
8,qm,blue,2881,5427,7312,52,52,15,37,10,18,9,0,0,15
9,qm,red,6672,2613,6974,50,50,9,41,8,18,15,0,0,9
9,qm,blue,5866,3005,4192,64,64,15,49,10,18,21,0,0,15
10,qm,red,6321,7121,4587,76,76,15,61,10,27,24,0,0,15
10,qm,blue,4153,5052,3679,61,61,9,46,10,27,9,6,0,9
11,qm,red,7179,118,3240,79,79,15,61,16,24,21,3,0,15
11,qm,blue,6800,3834,5261,66,66,15,48,12,30,6,3,0,15
12,qm,red,5892,5414,4378,77,77,15,53,8,24,21,9,0,15
12,qm,blue,4063,4295,4206,71,71,15,56,8,27,21,0,0,15
13,qm,red,1296,7621,418,55,55,15,40,4,21,15,0,0,15
13,qm,blue,7492,2158,2657,63,63,12,51,6,24,21,0,0,12
14,qm,red,3035,2881,2613,64,64,15,43,10,12,21,6,0,15
14,qm,blue,6672,1817,3310,85,85,15,70,16,33,21,0,0,15
15,qm,red,3481,6144,3676,70,70,12,43,4,21,18,15,0,12
15,qm,blue,1255,6974,7088,44,44,9,32,2,12,18,3,0,9
16,qm,red,7312,6315,5242,43,43,12,28,4,12,12,3,0,12
16,qm,blue,6800,148,6321,107,107,12,75,18,39,18,20,0,12
17,qm,red,4587,7872,2468,64,64,15,49,16,15,18,0,0,15
17,qm,blue,1477,5572,5417,50,50,12,35,14,6,15,3,0,12
18,qm,red,118,3679,6901,71,71,12,59,14,30,15,0,0,12
18,qm,blue,3847,4610,5866,67,67,15,49,16,24,9,3,0,15
19,qm,red,7121,4153,624,74,74,15,56,14,27,15,3,0,15
19,qm,blue,5427,7494,7521,69,69,9,60,18,27,15,0,0,9
20,qm,red,7271,6377,3735,57,57,9,48,6,21,21,0,0,9
20,qm,blue,7708,5411,5431,62,62,12,44,14,24,6,6,0,12
21,qm,red,3834,2582,7179,72,72,12,60,12,30,18,0,0,12
21,qm,blue,5052,3005,2714,79,79,15,61,16,30,15,3,0,15
22,qm,red,3240,148,4192,68,68,15,53,14,21,18,0,0,15
22,qm,blue,231,1817,5892,91,91,15,76,16,36,24,0,0,15
23,qm,red,5261,3035,6672,63,63,15,48,6,18,24,0,0,15
23,qm,blue,4610,1477,6315,81,81,12,66,18,27,21,3,0,12
24,qm,red,7872,3679,2657,32,32,15,17,2,6,9,0,0,15
24,qm,blue,4153,6144,2613,63,63,12,51,18,12,21,0,0,12
25,qm,red,2881,4206,7521,96,96,15,78,18,39,21,3,0,15
