match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7514,3635,4026,73,73,12,51,6,24,21,10,0,12
1,qm,blue,4468,4112,4941,49,49,12,37,10,21,6,0,0,12
2,qm,red,4749,5293,6829,50,50,12,38,14,18,6,0,0,12
2,qm,blue,4459,7427,1311,60,60,15,42,18,24,0,3,0,15
3,qm,red,1261,2415,6887,49,49,15,34,10,12,12,0,0,15
3,qm,blue,1771,5651,7883,72,72,15,57,12,27,18,0,0,15
4,qm,red,7451,5900,7449,56,56,15,41,8,24,9,0,0,15
4,qm,blue,4910,6919,7315,72,72,9,63,12,33,18,0,0,9
5,qm,red,1414,1746,5109,79,79,6,73,22,36,15,0,0,6
5,qm,blue,3329,5332,6340,56,56,9,47,8,24,15,0,0,9
6,qm,red,6341,6705,1002,50,50,15,35,2,21,12,0,0,15
6,qm,blue,2974,7499,1683,70,70,15,55,16,27,12,0,0,15
7,qm,red,4701,5840,7470,56,56,15,41,8,24,9,0,0,15
7,qm,blue,1102,4188,3581,61,61,9,46,10,18,18,6,0,9
8,qm,red,3998,832,3635,72,72,12,60,12,30,18,0,0,12
8,qm,blue,6887,1648,5900,53,53,9,44,8,24,12,0,0,9
9,qm,red,4910,7451,4468,54,54,12,36,12,15,9,6,0,12
9,qm,blue,2415,4749,7499,44,44,15,29,14,3,12,0,0,15
10,qm,red,7470,4112,7427,54,54,9,45,12,18,15,0,0,9
10,qm,blue,5332,5651,6341,67,67,9,48,12,30,6,10,0,9
11,qm,red,3581,1648,7315,57,57,9,48,12,27,9,0,0,9
11,qm,blue,1414,832,1102,81,81,9,72,24,27,21,0,0,9
12,qm,red,4459,6705,2974,68,68,15,53,14,30,9,0,0,15
12,qm,blue,1746,1261,4701,63,63,12,51,12,30,9,0,0,12
13,qm,red,4188,3998,7883,48,48,15,33,6,21,6,0,0,15
13,qm,blue,6829,6340,6919,58,58,12,43,4,21,18,3,0,12
14,qm,red,3329,1683,1311,62,62,15,47,14,18,15,0,0,15
14,qm,blue,4941,7449,4026,57,57,12,45,6,21,18,0,0,12
15,qm,red,1002,1771,5109,70,70,15,55,16,27,12,0,0,15
15,qm,blue,5293,5840,7514,56,56,12,44,8,27,9,0,0,12
16,qm,red,5651,1414,7499,68,68,12,47,14,18,15,9,0,12
16,qm,blue,3635,6705,5900,72,72,15,33,6,21,6,24,0,15
17,qm,red,4701,832,1683,78,78,15,63,12,30,21,0,0,15
17,qm,blue,4112,7451,7883,54,54,12,42,12,21,9,0,0,12
18,qm,red,4459,1648,6919,60,60,9,48,12,27,9,3,0,9
18,qm,blue,5332,5109,2415,60,60,15,45,12,18,15,0,0,15
19,qm,red,3998,4749,1261,58,58,15,43,10,21,12,0,0,15
19,qm,blue,7315,4941,1746,82,82,9,73,22,42,9,0,0,9
20,qm,red,6341,4910,7449,60,60,9,51,12,27,12,0,0,9
20,qm,blue,6887,1771,7427,78,78,15,63,12,24,27,0,0,15
21,qm,red,7470,1102,6340,71,71,12,46,16,24,6,13,0,12
21,qm,blue,4468,3329,5293,37,37,12,25,4,15,6,0,0,12
22,qm,red,6829,4188,4026,46,46,9,37,4,18,15,0,0,9
22,qm,blue,1002,2974,3581,59,59,12,47,14,24,9,0,0,12
23,qm,red,1311,7514,832,59,59,15,44,14,21,9,0,0,15
23,qm,blue,7315,6341,5840,54,54,12,42,6,24,12,0,0,12
24,qm,red,7883,2415,6705,31,31,12,19,4,9,6,0,0,12
24,qm,blue,7470,7449,1648,82,82,15,46,10,24,12,21,0,15
25,qm,red,3581,6887,4941,83,83,9,64,22,24,18,10,0,9
25,qm,blue,4459,5332,4701,47,47,9,38,8,24,6,0,0,9
26,qm,red,4910,4026,1414,65,65,9,56,14,24,18,0,0,9
26,qm,blue,1261,4188,5651,64,64,15,46,10,24,12,3,0,15
27,qm,red,7451,1102,7427,72,72,12,60,24,18,18,0,0,12
27,qm,blue,6340,1002,1311,74,74,15,59,14,36,9,0,0,15
28,qm,red,5900,4468,6829,67,67,15,52,10,30,12,0,0,15
28,qm,blue,5109,4749,4112,59,59,12,47,8,21,18,0,0,12
29,qm,red,5840,1683,6919,57,57,15,42,6,24,12,0,0,15
29,qm,blue,3329,3635,1746,69,69,9,60,18,30,12,0,0,9
30,qm,red,7514,1771,2974,83,83,12,65,14,30,21,6,0,12
30,qm,blue,5293,7499,3998,47,47,15,32,2,21,9,0,0,15
31,qm,red,7427,6829,6341,52,52,9,43,4,15,24,0,0,9
31,qm,blue,4701,4026,1648,65,65,12,53,8,27,18,0,0,12
32,qm,red,1746,2415,4112,60,60,12,48,12,21,15,0,0,12
32,qm,blue,1311,6887,7470,37,37,9,28,10,12,6,0,0,9
33,qm,red,5651,4910,2974,87,87,9,78,24,45,9,0,0,9
33,qm,blue,6340,7315,4459,68,68,12,46,16,21,9,10,0,12
34,qm,red,7883,1414,4468,55,55,15,37,4,15,18,3,0,15
34,qm,blue,7499,7449,3329,58,58,15,40,4,21,15,3,0,15
35,qm,red,3581,5109,3998,61,61,15,43,16,18,9,3,0,15
35,qm,blue,4188,3635,5293,57,57,12,42,6,27,9,3,0,12
36,qm,red,1771,5900,832,63,63,15,48,6,21,21,0,0,15
36,qm,blue,6705,7514,1683,67,67,15,52,10,27,15,0,0,15
37,qm,red,5332,4941,1261,61,61,12,49,10,27,12,0,0,12
37,qm,blue,5840,7451,1002,58,58,15,43,10,27,6,0,0,15
38,qm,red,1102,6919,3329,59,59,9,50,20,27,3,0,0,9
38,qm,blue,4749,6887,6341,31,31,12,19,4,12,3,0,0,12
39,qm,red,4112,4701,2974,58,58,12,43,10,27,6,3,0,12
39,qm,blue,7315,1771,1414,64,64,12,49,10,24,15,3,0,12
40,qm,red,5840,4468,1261,59,59,12,47,8,27,12,0,0,12
40,qm,blue,5900,7427,2415,32,32,15,17,2,6,9,0,0,15
41,qm,red,4026,7470,3998,69,69,12,57,12,27,18,0,0,12
41,qm,blue,5109,4910,832,80,80,12,65,14,30,21,3,0,12
42,qm,red,1002,1746,4459,65,65,15,50,14,27,9,0,0,15
42,qm,blue,3635,7449,1102,87,87,15,72,18,33,21,0,0,15
43,qm,red,1683,5332,7451,68,68,15,50,8,27,15,3,0,15
43,qm,blue,1648,5651,6829,55,55,15,40,10,24,6,0,0,15
44,qm,red,7514,6340,3581,63,63,12,51,12,27,12,0,0,12
44,qm,blue,6919,7883,4749,67,67,15,52,10,24,18,0,0,15
45,qm,red,5293,1311,4941,59,59,12,47,14,30,3,0,0,12
45,qm,blue,7499,4188,6705,30,30,15,15,6,0,9,0,0,15
46,qm,red,4910,1683,3635,98,98,12,86,20,45,21,0,0,12
46,qm,blue,5840,6829,1102,83,83,15,68,14,36,18,0,0,15
47,qm,red,4026,3581,3329,44,44,9,35,14,6,15,0,0,9
47,qm,blue,6341,4459,1261,70,70,15,52,10,27,15,3,0,15
48,qm,red,4188,4701,4749,71,71,15,56,14,24,18,0,0,15
48,qm,blue,6705,4112,1771,77,77,15,62,14,30,18,0,0,15
49,qm,red,5900,1311,5332,64,64,15,49,10,21,18,0,0,15
49,qm,blue,7883,2974,6340,80,80,12,62,14,39,9,6,0,12
50,qm,red,1648,4941,1002,57,57,15,42,12,24,6,0,0,15
50,qm,blue,832,5293,6919,61,61,9,52,10,27,15,0,0,9
51,qm,red,1414,7451,2415,64,64,15,49,10,21,18,0,0,15
51,qm,blue,7427,3998,7514,64,64,15,49,4,24,21,0,0,15
52,qm,red,5651,6887,1746,47,47,12,32,14,12,6,3,0,12
52,qm,blue,4468,5109,7470,71,71,15,56,8,30,18,0,0,15
53,qm,red,7449,7315,4188,52,52,12,40,4,15,21,0,0,12
53,qm,blue,7499,4026,5332,57,57,12,45,12,18,15,0,0,12
54,qm,red,2415,6919,4941,66,66,12,54,12,24,18,0,0,12
54,qm,blue,4112,3581,1414,55,55,9,46,10,18,18,0,0,9
55,qm,red,5293,6887,7451,57,57,12,35,8,15,12,10,0,12
55,qm,blue,1683,1746,6341,59,59,9,50,14,30,6,0,0,9
56,qm,red,5109,1102,6705,79,79,15,64,16,33,15,0,0,15
56,qm,blue,7427,7883,4910,86,86,12,68,14,36,18,6,0,12
57,qm,red,1648,2974,4749,59,59,15,41,14,21,6,3,0,15
57,qm,blue,7449,5651,5840,46,46,12,34,4,18,12,0,0,12
58,qm,red,7514,5900,7315,53,53,15,35,2,18,15,3,0,15
58,qm,blue,7470,3329,6829,45,45,12,30,12,6,12,3,0,12
59,qm,red,832,4459,7499,36,36,15,21,12,3,6,0,0,15
59,qm,blue,6340,3998,1771,69,69,15,48,12,27,9,6,0,15
60,qm,red,1261,1002,3635,85,85,15,42,12,18,12,28,0,15
60,qm,blue,4468,1311,4701,54,54,15,39,6,24,9,0,0,15
61,qm,red,2974,7427,4188,81,81,12,69,18,36,15,0,0,12
61,qm,blue,1746,5900,1102,99,99,12,81,24,39,18,6,0,12
62,qm,red,6887,3329,5109,72,72,15,57,12,24,21,0,0,15
62,qm,blue,6705,3581,7451,61,61,15,46,22,18,6,0,0,15
63,qm,red,1311,5840,7499,64,64,15,46,16,21,9,3,0,15
63,qm,blue,5651,7470,6919,48,48,9,39,12,9,18,0,0,9
64,qm,red,1002,4468,1683,61,61,15,46,10,30,6,0,0,15
64,qm,blue,3998,1414,4459,76,76,15,58,16,24,18,3,0,15
65,qm,red,832,7449,4112,60,60,9,51,12,18,21,0,0,9
65,qm,blue,1261,5293,4910,86,86,12,74,20,39,15,0,0,12
66,qm,red,6829,7883,5332,60,60,15,35,8,21,6,10,0,15
66,qm,blue,6341,4941,1771,78,78,12,56,8,30,18,10,0,12
67,qm,red,4749,3635,6340,61,61,12,46,10,27,9,3,0,12
67,qm,blue,4026,7315,2415,61,61,12,49,10,24,15,0,0,12
68,qm,red,4701,7499,7514,55,55,15,40,4,21,15,0,0,15
68,qm,blue,1648,1261,5109,71,71,15,56,8,27,21,0,0,15
69,qm,red,3329,4112,5651,78,78,9,59,14,36,9,10,0,9
69,qm,blue,1102,1002,3998,88,88,12,76,16,42,18,0,0,12
70,qm,red,7449,5332,5293,61,61,12,46,10,27,9,3,0,12
70,qm,blue,7315,832,4749,68,68,12,56,14,24,18,0,0,12
71,qm,red,6919,6341,4188,33,33,6,27,6,9,12,0,0,6
71,qm,blue,3635,2974,4468,68,68,12,53,20,27,6,3,0,12
72,qm,red,5900,7883,5840,53,53,15,38,2,18,18,0,0,15
72,qm,blue,7451,4459,4026,66,66,15,51,24,3,24,0,0,15
73,qm,red,4941,6340,4701,43,43,12,31,4,18,9,0,0,12
73,qm,blue,1683,7470,2415,51,51,15,36,6,18,12,0,0,15
74,qm,red,1311,3581,1746,89,89,12,77,26,33,18,0,0,12
74,qm,blue,1771,4910,1648,77,77,12,65,14,30,21,0,0,12
75,qm,red,6705,7427,1414,41,41,12,29,8,15,6,0,0,12
75,qm,blue,6829,7514,6887,55,55,12,40,10,18,12,3,0,12
