match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3930,4906,5687,88,88,12,76,22,36,18,0,0,12
1,qm,blue,3609,237,2648,42,42,15,27,6,15,6,0,0,15
2,qm,red,4055,663,5265,57,57,12,42,12,24,6,3,0,12
2,qm,blue,6161,6329,4925,69,69,15,54,18,21,15,0,0,15
3,qm,red,4564,3467,1729,64,64,12,52,10,18,24,0,0,12
3,qm,blue,6337,133,6153,78,78,15,63,24,18,21,0,0,15
4,qm,red,6224,2712,172,62,62,12,50,14,15,21,0,0,12
4,qm,blue,3525,2523,6172,67,67,15,42,12,24,6,10,0,15
5,qm,red,4473,3451,1768,63,63,12,42,12,12,18,9,0,12
5,qm,blue,4546,5494,4041,47,47,9,38,2,18,18,0,0,9
6,qm,red,1519,6329,237,95,95,12,80,20,39,21,3,0,12
6,qm,blue,3467,133,5633,78,78,15,63,12,30,21,0,0,15
7,qm,red,3609,3930,2712,39,39,15,24,6,12,6,0,0,15
7,qm,blue,3451,4906,5494,46,46,12,34,10,6,18,0,0,12
8,qm,red,6161,6172,4041,60,60,15,45,12,21,12,0,0,15
8,qm,blue,4055,1729,6224,67,67,15,52,10,24,18,0,0,15
9,qm,red,4473,5265,6337,50,50,15,35,2,21,12,0,0,15
9,qm,blue,3525,1519,6153,80,80,15,65,20,30,15,0,0,15
10,qm,red,5633,4925,2523,48,48,12,36,6,24,6,0,0,12
10,qm,blue,663,172,1768,70,70,9,61,16,36,9,0,0,9
11,qm,red,4546,5687,6329,86,86,9,64,22,27,15,13,0,9
11,qm,blue,2648,4564,4055,68,68,15,53,8,24,21,0,0,15
12,qm,red,5494,1768,3609,58,58,12,46,10,21,15,0,0,12
12,qm,blue,3467,5265,6153,70,70,12,52,10,24,18,6,0,12
13,qm,red,3525,4564,3930,63,63,9,54,12,24,18,0,0,9
13,qm,blue,2712,1729,237,56,56,12,44,8,15,21,0,0,12
14,qm,red,6172,4925,6161,54,54,15,39,6,21,12,0,0,15
14,qm,blue,4041,3451,133,64,64,12,52,10,18,24,0,0,12
15,qm,red,4546,6224,1519,57,57,15,42,12,15,15,0,0,15
15,qm,blue,2523,4906,663,63,63,15,39,12,15,12,9,0,15
16,qm,red,4473,172,5633,65,65,12,50,8,24,18,3,0,12
16,qm,blue,6337,5687,2648,75,75,15,57,18,30,9,3,0,15
17,qm,red,4925,4041,3525,51,51,15,36,12,21,3,0,0,15
17,qm,blue,1519,6161,2712,78,78,15,63,18,24,21,0,0,15
18,qm,red,3609,6153,5633,44,44,15,29,14,12,3,0,0,15
18,qm,blue,4473,2523,4055,62,62,15,47,8,27,12,0,0,15
19,qm,red,5494,5265,237,44,44,9,35,8,21,6,0,0,9
19,qm,blue,6329,663,6172,78,78,9,66,12,30,24,3,0,9
20,qm,red,4906,1768,133,97,97,15,82,22,42,18,0,0,15
20,qm,blue,4546,3451,172,50,50,6,44,8,18,18,0,0,6
21,qm,red,2648,3930,3467,65,65,15,50,8,24,18,0,0,15
21,qm,blue,6337,6224,4564,63,63,15,48,6,24,18,0,0,15
22,qm,red,1729,6172,3451,64,64,9,55,10,24,21,0,0,9
22,qm,blue,5687,1519,4473,82,82,15,67,16,33,18,0,0,15
23,qm,red,3609,172,133,88,88,15,73,16,36,21,0,0,15
23,qm,blue,4906,6224,4925,47,47,15,29,8,18,3,3,0,15
24,qm,red,6337,2712,663,50,50,12,38,8,9,21,0,0,12
