match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2474,2337,904,63,63,15,48,6,21,21,0,0,15
1,qm,blue,2075,5173,2771,67,67,12,52,10,21,21,3,0,12
2,qm,red,4998,6002,4482,48,48,12,36,6,9,21,0,0,12
2,qm,blue,858,6100,4961,61,61,12,49,10,18,21,0,0,12
3,qm,red,7658,6550,7223,44,44,9,35,8,21,6,0,0,9
3,qm,blue,7772,3357,6102,29,29,9,20,8,9,3,0,0,9
4,qm,red,2619,7602,5473,61,61,15,46,10,24,12,0,0,15
4,qm,blue,6138,6963,6642,44,44,15,29,2,15,12,0,0,15
5,qm,red,4382,2959,7809,55,55,15,37,4,21,12,3,0,15
5,qm,blue,4967,7210,3322,59,59,9,50,14,18,18,0,0,9
6,qm,red,3570,5162,5222,39,39,15,24,0,12,12,0,0,15
6,qm,blue,7166,7810,910,82,82,15,61,16,27,18,6,0,15
7,qm,red,3234,5069,4998,47,47,12,35,2,18,15,0,0,12
7,qm,blue,6114,2771,226,77,77,15,59,14,27,18,3,0,15
8,qm,red,2619,6100,7658,73,73,12,61,10,30,21,0,0,12
8,qm,blue,5173,7602,7772,54,54,15,39,12,18,9,0,0,15
9,qm,red,6550,6642,858,26,26,9,17,2,3,12,0,0,9
9,qm,blue,7809,910,6138,77,77,12,62,14,24,24,3,0,12
10,qm,red,3357,6114,7166,60,60,15,45,12,24,9,0,0,15
10,qm,blue,904,2075,5473,69,69,9,60,12,27,21,0,0,9
11,qm,red,4482,4382,4967,49,49,15,34,10,3,21,0,0,15
11,qm,blue,5222,2337,5069,60,60,15,45,6,24,15,0,0,15
12,qm,red,3570,7210,2959,56,56,12,44,8,21,15,0,0,12
12,qm,blue,2474,226,6002,80,80,15,65,14,36,15,0,0,15
13,qm,red,3234,3322,6963,55,55,12,43,10,15,18,0,0,12
13,qm,blue,5162,7810,7223,39,39,15,21,0,15,6,3,0,15
14,qm,red,6102,6138,4482,44,44,12,29,2,18,9,3,0,12
14,qm,blue,4961,6642,904,56,56,15,38,8,18,12,3,0,15
15,qm,red,3357,2959,6550,68,68,9,59,20,27,12,0,0,9
15,qm,blue,6002,6100,7166,77,77,12,62,14,27,21,3,0,12
16,qm,red,5162,5069,226,59,59,15,41,8,27,6,3,0,15
16,qm,blue,5222,2075,7602,59,59,12,47,20,21,6,0,0,12
17,qm,red,4967,2619,7809,67,67,15,52,16,21,15,0,0,15
17,qm,blue,7810,6102,6114,21,21,12,9,6,0,3,0,0,12
18,qm,red,858,3234,5473,39,39,12,27,6,15,6,0,0,12
18,qm,blue,7658,5173,4382,46,46,12,22,4,9,9,12,0,12
19,qm,red,2337,7772,2771,73,73,15,58,10,30,18,0,0,15
19,qm,blue,7223,7210,4998,36,36,9,27,0,18,9,0,0,9
20,qm,red,3322,4961,910,66,66,9,57,12,27,18,0,0,9
20,qm,blue,6963,3570,2474,49,49,15,34,4,21,9,0,0,15
21,qm,red,6642,5473,5173,49,49,15,34,4,21,9,0,0,15
21,qm,blue,4967,5162,3357,54,54,12,39,12,24,3,3,0,12
22,qm,red,2075,7772,6138,44,44,9,35,2,15,18,0,0,9
22,qm,blue,226,7223,5222,56,56,15,41,8,24,9,0,0,15
23,qm,red,4998,6102,7602,26,26,6,20,14,3,3,0,0,6
23,qm,blue,7809,3234,2474,38,38,15,23,8,6,9,0,0,15
24,qm,red,6002,5069,2771,73,73,12,61,16,33,12,0,0,12
24,qm,blue,4482,7658,904,64,64,15,49,10,24,15,0,0,15
25,qm,red,858,910,7210,71,71,9,62,14,30,18,0,0,9
25,qm,blue,7810,3570,2619,47,47,15,32,8,9,15,0,0,15
26,qm,red,6114,4382,3322,22,22,3,19,4,6,9,0,0,3
26,qm,blue,6963,6100,6550,60,60,12,48,12,15,21,0,0,12
27,qm,red,4961,2337,5173,75,75,15,60,12,30,18,0,0,15
