match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6635,7197,1504,68,68,15,43,16,18,9,10,0,15
1,qm,blue,2145,6078,6638,48,48,12,36,6,24,6,0,0,12
2,qm,red,3658,894,3098,22,22,3,19,4,15,0,0,0,3
2,qm,blue,3668,5523,3568,53,53,9,44,8,18,18,0,0,9
3,qm,red,5674,6595,2611,50,50,15,35,8,9,18,0,0,15
3,qm,blue,7202,7056,6067,37,37,6,31,4,12,15,0,0,6
4,qm,red,7495,6742,4776,48,48,15,33,12,15,6,0,0,15
4,qm,blue,5524,6591,7289,55,55,15,37,16,15,6,3,0,15
5,qm,red,3655,7226,6033,45,45,9,30,6,18,6,6,0,9
5,qm,blue,5704,5231,7144,24,24,15,9,0,0,9,0,0,15
6,qm,red,6085,7665,7222,60,60,15,45,6,18,21,0,0,15
6,qm,blue,6592,3707,2676,69,69,15,54,12,24,18,0,0,15
7,qm,red,7894,3658,6594,19,19,9,10,4,0,6,0,0,9
7,qm,blue,4216,5238,5524,63,63,15,48,6,24,18,0,0,15
8,qm,red,4776,3655,6067,73,73,15,58,10,33,15,0,0,15
8,qm,blue,894,7197,7495,47,47,15,32,8,18,6,0,0,15
9,qm,red,1504,7289,7144,66,66,15,45,12,24,9,6,0,15
9,qm,blue,6638,3098,7665,30,30,9,21,0,12,9,0,0,9
10,qm,red,5674,5238,7202,54,54,15,39,6,24,9,0,0,15
10,qm,blue,3568,6592,7222,46,46,9,27,6,12,9,10,0,9
11,qm,red,6742,2676,6078,42,42,15,27,0,18,9,0,0,15
11,qm,blue,6594,2145,6033,40,40,9,31,4,15,12,0,0,9
12,qm,red,6591,6085,5704,67,67,15,42,24,6,12,10,0,15
12,qm,blue,6595,6635,4216,49,49,15,34,4,18,12,0,0,15
13,qm,red,7226,5523,7894,43,43,12,31,4,21,6,0,0,12
13,qm,blue,3668,7056,5231,51,51,9,39,6,21,12,3,0,9
14,qm,red,3707,5524,894,61,61,15,46,10,27,9,0,0,15
14,qm,blue,3658,7197,2611,59,59,9,40,16,6,18,10,0,9
15,qm,red,6595,7202,6078,57,57,15,42,12,18,12,0,0,15
15,qm,blue,5238,3098,6085,37,37,6,28,4,15,9,3,0,6
16,qm,red,6067,3668,2676,56,56,15,31,4,24,3,10,0,15
16,qm,blue,7289,6635,7222,60,60,12,45,6,24,15,3,0,12
17,qm,red,1504,6592,7665,52,52,9,37,10,18,9,6,0,9
17,qm,blue,4776,7226,6594,58,58,12,43,10,24,9,3,0,12
18,qm,red,7144,7495,4216,46,46,15,28,4,15,9,3,0,15
18,qm,blue,5231,7894,2611,46,46,15,31,10,3,18,0,0,15
19,qm,red,3707,5674,5523,89,89,12,46,10,30,6,31,0,12
19,qm,blue,6742,3655,2145,59,59,12,47,8,27,12,0,0,12
20,qm,red,6638,6591,3568,40,40,15,25,16,6,3,0,0,15
20,qm,blue,6033,7056,5704,45,45,12,30,0,18,12,3,0,12
21,qm,red,3668,2611,7202,61,61,9,49,16,15,18,3,0,9
21,qm,blue,7144,894,6594,45,45,15,27,0,18,9,3,0,15
22,qm,red,5238,7894,6078,33,33,12,21,0,18,3,0,0,12
22,qm,blue,6635,3658,6742,61,61,15,46,16,21,9,0,0,15
23,qm,red,7197,6033,6592,45,45,15,27,6,15,6,3,0,15
23,qm,blue,4216,7056,4776,96,96,15,81,18,42,21,0,0,15
24,qm,red,3655,7289,7495,56,56,12,44,8,24,12,0,0,12
24,qm,blue,1504,6085,7226,53,53,15,38,8,21,9,0,0,15
25,qm,red,3707,2145,7665,72,72,12,60,12,36,12,0,0,12
25,qm,blue,5523,6067,6595,53,53,15,38,2,21,15,0,0,15
26,qm,red,5704,5524,3098,42,42,12,30,6,18,6,0,0,12
26,qm,blue,7222,6591,5674,63,63,15,48,12,15,21,0,0,15
27,qm,red,2676,5238,6638,50,50,15,35,2,21,12,0,0,15
27,qm,blue,3568,5231,3655,44,44,15,29,2,21,6,0,0,15
28,qm,red,6067,7289,6085,67,67,15,52,10,24,18,0,0,15
28,qm,blue,7056,7894,3707,62,62,15,44,8,24,12,3,0,15
29,qm,red,7495,7226,6591,62,62,15,44,14,15,15,3,0,15
29,qm,blue,7222,7202,5523,40,40,9,31,4,15,12,0,0,9
30,qm,red,5524,2611,2145,67,67,12,52,16,15,21,3,0,12
30,qm,blue,6078,6592,5674,60,60,15,45,12,24,9,0,0,15
31,qm,red,6594,3098,6635,47,47,12,35,2,15,18,0,0,12
31,qm,blue,3568,5704,4776,61,61,15,37,4,24,9,9,0,15
32,qm,red,894,2676,6595,59,59,15,44,8,27,9,0,0,15
32,qm,blue,6033,1504,6638,40,40,9,31,10,15,6,0,0,9
33,qm,red,7197,7144,6742,48,48,15,33,24,3,6,0,0,15
33,qm,blue,7665,3658,3668,55,55,15,37,4,15,18,3,0,15
34,qm,red,5231,4776,5523,44,44,9,35,8,21,6,0,0,9
34,qm,blue,7289,4216,6594,63,63,12,51,6,24,21,0,0,12
35,qm,red,5674,6638,894,33,33,15,12,0,6,6,6,0,15
35,qm,blue,2676,6591,7894,64,64,15,49,16,15,18,0,0,15
36,qm,red,6033,3658,5238,53,53,12,41,8,24,9,0,0,12
36,qm,blue,2611,7495,7665,70,70,15,55,16,21,18,0,0,15
37,qm,red,6635,6067,6592,61,61,15,46,4,24,18,0,0,15
37,qm,blue,5231,1504,3098,34,34,15,19,4,12,3,0,0,15
38,qm,red,7056,5524,7226,50,50,15,35,8,12,15,0,0,15
38,qm,blue,6742,3707,4216,106,106,15,81,18,36,27,10,0,15
39,qm,red,6595,7222,5704,51,51,15,36,6,18,12,0,0,15
39,qm,blue,6085,6078,7144,35,35,9,26,2,9,15,0,0,9
40,qm,red,2145,3568,7202,43,43,9,34,4,15,15,0,0,9
40,qm,blue,7197,3668,3655,51,51,15,36,6,21,9,0,0,15
41,qm,red,7056,7495,6592,49,49,15,31,4,15,12,3,0,15
41,qm,blue,5523,6635,2676,42,42,12,30,0,18,12,0,0,12
42,qm,red,7222,2611,3098,73,73,9,64,16,27,21,0,0,9
42,qm,blue,7665,894,7894,45,45,15,27,0,18,9,3,0,15
43,qm,red,7202,4216,5231,48,48,15,33,6,12,15,0,0,15
43,qm,blue,1504,6742,3668,61,61,15,33,6,12,15,13,0,15
44,qm,red,7197,4776,7289,49,49,9,40,10,18,12,0,0,9
44,qm,blue,3655,6595,5238,55,55,15,40,10,21,9,0,0,15
45,qm,red,6085,3568,3707,66,66,12,48,12,18,18,6,0,12
45,qm,blue,6033,7144,6591,49,49,15,34,16,0,18,0,0,15
46,qm,red,6078,6594,5524,52,52,15,37,10,18,9,0,0,15
46,qm,blue,6067,6638,7226,55,55,15,40,4,18,18,0,0,15
47,qm,red,3658,5704,7495,49,49,15,24,6,12,6,10,0,15
47,qm,blue,2145,5674,6635,58,58,15,37,4,21,12,6,0,15
48,qm,red,3098,6033,7894,31,31,12,19,4,12,3,0,0,12
48,qm,blue,7202,3707,1504,81,81,12,56,14,24,18,13,0,12
49,qm,red,6592,6742,5238,59,59,15,34,4,21,9,10,0,15
49,qm,blue,894,4216,6067,71,71,15,56,8,27,21,0,0,15
50,qm,red,5704,6594,3655,44,44,15,29,2,18,9,0,0,15
50,qm,blue,3658,7222,7056,67,67,15,52,16,30,6,0,0,15
51,qm,red,2611,3568,7144,54,54,12,42,18,6,18,0,0,12
51,qm,blue,5523,6078,7289,56,56,12,34,10,18,6,10,0,12
52,qm,red,7226,5674,7197,50,50,15,35,14,18,3,0,0,15
52,qm,blue,3668,6085,6638,32,32,9,13,4,3,6,10,0,9
53,qm,red,5231,2676,2145,51,51,15,36,6,18,12,0,0,15
53,qm,blue,4776,6595,5524,73,73,15,55,16,21,18,3,0,15
54,qm,red,6591,4216,3655,79,79,15,64,16,27,21,0,0,15
54,qm,blue,7665,6078,6067,81,81,15,56,8,30,18,10,0,15
55,qm,red,6635,7202,6033,54,54,12,42,6,24,12,0,0,12
55,qm,blue,7289,5674,6742,74,74,15,59,14,30,15,0,0,15
56,qm,red,6638,5523,7197,32,32,15,17,2,9,6,0,0,15
56,qm,blue,7495,7894,7222,49,49,15,34,4,24,6,0,0,15
57,qm,red,6592,7226,3658,51,51,15,36,6,24,6,0,0,15
57,qm,blue,3098,3568,6595,35,35,12,23,8,12,3,0,0,12
58,qm,red,2676,1504,4776,75,75,15,60,12,27,21,0,0,15
58,qm,blue,5704,2611,3707,78,78,12,63,18,18,27,3,0,12
59,qm,red,6085,6594,5231,43,43,12,21,12,3,6,10,0,12
59,qm,blue,2145,894,6591,64,64,15,49,10,21,18,0,0,15
60,qm,red,5238,7665,7056,43,43,15,28,4,15,9,0,0,15
60,qm,blue,7144,5524,3668,50,50,15,35,8,6,21,0,0,15
61,qm,red,7289,6033,3568,50,50,9,41,8,21,12,0,0,9
61,qm,blue,7894,6067,7197,55,55,15,40,4,18,18,0,0,15
62,qm,red,6638,7222,4216,47,47,15,32,2,15,15,0,0,15
62,qm,blue,7226,2145,6595,69,69,12,54,12,30,12,3,0,12
63,qm,red,2676,7665,5524,57,57,9,48,12,21,15,0,0,9
63,qm,blue,6591,7202,3658,77,77,12,62,26,6,30,3,0,12
64,qm,red,7056,5523,894,58,58,15,33,6,15,12,10,0,15
64,qm,blue,5238,5704,1504,48,48,9,36,6,24,6,3,0,9
65,qm,red,5674,4776,3668,64,64,15,49,10,24,15,0,0,15
65,qm,blue,6078,5231,3707,69,69,15,54,12,30,12,0,0,15
66,qm,red,2611,6594,6742,61,61,12,46,22,6,18,3,0,12
66,qm,blue,7495,6635,6085,58,58,15,43,4,21,18,0,0,15
67,qm,red,3655,7144,3658,50,50,9,41,8,15,18,0,0,9
67,qm,blue,3098,6592,7289,22,22,6,16,4,6,6,0,0,6
68,qm,red,5523,2145,5704,42,42,12,27,6,12,9,3,0,12
68,qm,blue,7665,5231,7197,49,49,15,34,10,18,6,0,0,15
69,qm,red,3568,1504,7056,58,58,15,43,10,21,12,0,0,15
69,qm,blue,5524,6742,6085,52,52,15,37,10,12,15,0,0,15
70,qm,red,7222,3668,6033,51,51,9,39,6,24,9,3,0,9
70,qm,blue,6592,6638,2611,46,46,15,31,16,3,12,0,0,15
71,qm,red,6594,6595,6591,54,54,15,29,14,0,15,10,0,15
71,qm,blue,7894,3655,5674,58,58,15,43,4,24,15,0,0,15
72,qm,red,894,5238,6635,52,52,15,37,4,24,9,0,0,15
72,qm,blue,3707,7144,7226,66,66,12,54,12,24,18,0,0,12
73,qm,red,4216,3098,6078,71,71,15,47,8,21,18,9,0,15
73,qm,blue,7202,2676,7495,43,43,15,28,4,12,12,0,0,15
74,qm,red,6067,7222,5231,52,52,9,43,4,24,15,0,0,9
74,qm,blue,4776,6085,3658,57,57,15,36,12,6,18,6,0,15
75,qm,red,7894,7289,2145,64,64,12,52,10,27,15,0,0,12
75,qm,blue,6592,5704,894,37,37,15,12,6,0,6,10,0,15
76,qm,red,6595,3707,3668,90,90,12,75,12,36,27,3,0,12
76,qm,blue,6078,7495,3568,62,62,15,37,10,21,6,10,0,15
77,qm,red,7144,6067,5674,52,52,15,34,4,21,9,3,0,15
77,qm,blue,7226,4216,2676,68,68,15,47,8,24,15,6,0,15
78,qm,red,6742,6638,7056,35,35,9,26,2,18,6,0,0,9
78,qm,blue,3098,4776,7202,64,64,12,52,16,27,9,0,0,12
79,qm,red,2611,6591,1504,86,86,15,59,26,12,21,12,0,15
79,qm,blue,6594,7197,5238,35,35,12,23,8,12,3,0,0,12
80,qm,red,5524,3655,6635,79,79,15,64,10,33,21,0,0,15
80,qm,blue,6033,7665,5523,36,36,12,24,0,18,6,0,0,12
1,qf,red,4776,3707,6085,85,85,9,76,16,33,27,0,0,9
1,qf,blue,5674,5524,894,37,37,15,22,4,15,3,0,0,15
2,qf,red,4776,3707,6085,91,91,15,76,16,42,18,0,0,15
2,qf,blue,5674,5524,894,60,60,15,45,12,21,12,0,0,15
1,qf,red,7056,7226,6078,69,69,15,54,12,30,12,0,0,15
1,qf,blue,7222,3668,6592,49,49,12,37,4,18,15,0,0,12
2,qf,red,7056,7226,6078,60,60,15,42,6,24,12,3,0,15
2,qf,blue,7222,3668,6592,67,67,12,55,10,27,18,0,0,12
3,qf,red,7056,7226,6078,60,60,15,45,6,27,12,0,0,15
3,qf,blue,7222,3668,6592,71,71,12,49,10,21,18,10,0,12
1,qf,red,2611,4216,6635,68,68,15,53,14,21,18,0,0,15
1,qf,blue,1504,7289,7144,46,46,15,31,4,15,12,0,0,15
2,qf,red,2611,4216,6635,69,69,15,48,12,15,21,6,0,15
2,qf,blue,1504,7289,7144,51,51,15,36,6,21,9,0,0,15
1,qf,red,3655,6591,7665,99,99,15,68,20,27,21,16,0,15
1,qf,blue,2145,6067,6742,68,68,15,53,8,27,18,0,0,15
2,qf,red,3655,6591,7665,50,50,9,41,14,15,12,0,0,9
2,qf,blue,2145,6067,6742,73,73,15,58,10,27,21,0,0,15
3,qf,red,3655,6591,7665,81,81,15,63,18,27,18,3,0,15
3,qf,blue,2145,6067,6742,64,64,15,49,10,27,12,0,0,15
1,sf,red,4776,3707,6085,83,83,15,68,14,36,18,0,0,15
1,sf,blue,7222,3668,6592,62,62,12,50,8,21,21,0,0,12
2,sf,red,4776,3707,6085,90,90,15,75,18,42,15,0,0,15
2,sf,blue,7222,3668,6592,69,69,12,47,8,21,18,10,0,12
1,sf,red,2611,4216,6635,49,49,15,34,10,15,9,0,0,15
1,sf,blue,3655,6591,7665,71,71,15,56,20,15,21,0,0,15
2,sf,red,2611,4216,6635,72,72,15,57,12,18,27,0,0,15
2,sf,blue,3655,6591,7665,71,71,15,56,20,15,21,0,0,15
3,sf,red,2611,4216,6635,77,77,15,62,8,27,27,0,0,15
3,sf,blue,3655,6591,7665,66,66,15,51,12,18,21,0,0,15
1,f,red,4776,3707,6085,80,80,15,65,14,33,18,0,0,15
1,f,blue,2611,4216,6635,63,63,15,45,6,21,18,3,0,15
2,f,red,4776,3707,6085,81,81,15,66,18,33,15,0,0,15
2,f,blue,2611,4216,6635,72,72,15,57,6,24,27,0,0,15
