match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3619,3175,5695,44,44,15,29,8,18,3,0,0,15
1,qm,blue,5641,5774,5660,55,55,9,37,4,15,18,9,0,9
2,qm,red,7174,6190,7784,43,43,12,31,4,9,18,0,0,12
2,qm,blue,5577,5156,1250,64,64,12,46,10,27,9,6,0,12
3,qm,red,7807,4380,5531,45,45,12,33,6,21,6,0,0,12
3,qm,blue,6116,6096,5662,32,32,12,17,2,9,6,3,0,12
4,qm,red,7220,5065,5217,27,27,12,15,6,0,9,0,0,12
4,qm,blue,5533,6057,7598,54,54,15,30,12,3,15,9,0,15
5,qm,red,2832,1506,5708,62,62,12,50,14,18,18,0,0,12
5,qm,blue,6152,1076,6861,62,62,12,37,10,18,9,13,0,12
6,qm,red,7692,7147,7856,16,16,6,10,4,0,6,0,0,6
6,qm,blue,5907,5225,4758,59,59,15,44,8,27,9,0,0,15
7,qm,red,6089,5915,1250,33,33,15,18,6,9,3,0,0,15
7,qm,blue,7553,548,4380,64,64,15,49,10,21,18,0,0,15
8,qm,red,6152,6116,5660,41,41,15,26,2,18,6,0,0,15
8,qm,blue,7598,6096,7807,24,24,9,15,12,0,3,0,0,9
9,qm,red,5533,5225,7174,46,46,12,34,4,21,9,0,0,12
9,qm,blue,2832,7856,5531,41,41,12,29,8,15,6,0,0,12
10,qm,red,3619,5774,5915,39,39,15,24,6,3,15,0,0,15
10,qm,blue,5065,7147,6089,41,41,15,13,4,3,6,13,0,15
11,qm,red,3175,7784,5641,58,58,15,43,4,21,18,0,0,15
11,qm,blue,5662,5577,1506,52,52,9,37,10,12,15,6,0,9
12,qm,red,6861,5156,548,58,58,12,33,6,21,6,13,0,12
12,qm,blue,7692,5217,4758,47,47,15,32,14,0,18,0,0,15
13,qm,red,5708,5907,6190,35,35,6,29,2,18,9,0,0,6
13,qm,blue,7220,6057,7553,70,70,15,52,10,24,18,3,0,15
14,qm,red,5533,6089,5695,38,38,15,17,8,0,9,6,0,15
14,qm,blue,7174,3175,1076,52,52,15,37,4,21,12,0,0,15
15,qm,red,7692,6152,5577,57,57,15,42,6,21,15,0,0,15
15,qm,blue,5217,7856,7784,31,31,12,19,10,0,9,0,0,12
16,qm,red,5774,7598,4758,36,36,15,21,12,0,9,0,0,15
16,qm,blue,1506,6116,7553,80,80,15,65,14,30,21,0,0,15
17,qm,red,5662,5660,6861,41,41,9,32,8,18,6,0,0,9
17,qm,blue,7220,5915,4380,48,48,15,33,12,15,6,0,0,15
18,qm,red,5695,6096,7147,31,31,9,22,16,0,6,0,0,9
18,qm,blue,6057,5156,2832,69,69,15,45,12,21,12,9,0,15
19,qm,red,1076,5907,5531,43,43,6,34,4,18,12,3,0,6
19,qm,blue,5708,3619,548,52,52,15,34,10,21,3,3,0,15
20,qm,red,5225,5641,5065,38,38,9,29,2,15,12,0,0,9
20,qm,blue,6190,7807,1250,56,56,15,38,8,21,9,3,0,15
21,qm,red,5774,5662,6057,55,55,12,43,10,21,12,0,0,12
21,qm,blue,7598,5915,7856,39,39,15,24,6,9,9,0,0,15
22,qm,red,5708,5533,5531,52,52,9,27,6,12,9,16,0,9
22,qm,blue,5577,7553,6089,51,51,15,36,6,21,9,0,0,15
23,qm,red,5660,2832,7692,25,25,12,13,4,6,3,0,0,12
23,qm,blue,6116,3175,1250,62,62,15,41,8,21,12,6,0,15
24,qm,red,4380,5065,7174,38,38,15,23,2,12,9,0,0,15
24,qm,blue,5695,1506,5907,69,69,9,60,12,30,18,0,0,9
25,qm,red,7784,7220,5156,47,47,12,35,20,3,12,0,0,12
25,qm,blue,6861,7807,5225,45,45,9,36,12,18,6,0,0,9
26,qm,red,6096,4758,548,55,55,15,40,16,15,9,0,0,15
26,qm,blue,6152,5641,3619,66,66,15,48,6,24,18,3,0,15
27,qm,red,1076,5217,7553,55,55,15,40,10,27,3,0,0,15
27,qm,blue,3175,6190,7147,50,50,15,35,8,18,9,0,0,15
28,qm,red,5531,1506,7598,75,75,12,53,20,15,18,10,0,12
28,qm,blue,6089,5708,5156,29,29,12,17,2,9,6,0,0,12
29,qm,red,5225,6152,2832,41,41,15,26,2,15,9,0,0,15
29,qm,blue,5907,3619,5662,51,51,9,42,6,27,9,0,0,9
30,qm,red,1076,7856,6190,42,42,12,30,6,21,3,0,0,12
