match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5534,5706,3537,50,50,15,35,8,24,3,0,0,15
1,qm,blue,4392,7244,4988,32,32,9,23,2,18,3,0,0,9
2,qm,red,857,4377,4827,28,28,9,19,4,6,9,0,0,9
2,qm,blue,6113,5878,7250,40,40,15,25,4,15,6,0,0,15
3,qm,red,5702,7150,3602,50,50,15,35,8,21,6,0,0,15
3,qm,blue,5709,4391,7713,58,58,15,40,16,18,6,3,0,15
4,qm,red,5072,6345,5989,33,33,6,21,6,12,3,6,0,6
4,qm,blue,6098,5282,6573,67,67,15,52,16,24,12,0,0,15
5,qm,red,4970,6569,7782,63,63,15,48,6,27,15,0,0,15
5,qm,blue,7816,4390,5314,35,35,15,20,8,6,6,0,0,15
6,qm,red,141,6558,5486,58,58,15,43,4,21,18,0,0,15
6,qm,blue,5714,2586,6088,43,43,12,31,4,9,18,0,0,12
7,qm,red,5234,4715,1596,47,47,15,32,2,18,12,0,0,15
7,qm,blue,7638,5547,5282,26,26,9,17,2,15,0,0,0,9
8,qm,red,7244,4377,5534,38,38,15,23,2,18,3,0,0,15
8,qm,blue,4391,7782,6573,68,68,12,56,8,27,21,0,0,12
9,qm,red,5706,857,4390,38,38,15,23,8,3,12,0,0,15
9,qm,blue,4970,5486,5714,41,41,15,23,2,9,12,3,0,15
10,qm,red,6558,7638,5234,55,55,9,46,10,21,15,0,0,9
10,qm,blue,5314,6345,4827,41,41,15,26,2,18,6,0,0,15
11,qm,red,141,7816,5547,44,44,15,29,8,18,3,0,0,15
11,qm,blue,4392,3537,5989,53,53,15,35,8,18,9,3,0,15
12,qm,red,6098,5072,6088,41,41,9,32,14,9,9,0,0,9
12,qm,blue,5702,4715,5878,35,35,9,26,2,18,6,0,0,9
13,qm,red,6113,1596,4988,48,48,12,36,12,15,9,0,0,12
13,qm,blue,7250,3602,5709,34,34,9,25,4,18,3,0,0,9
14,qm,red,7150,7713,5714,35,35,15,20,8,3,9,0,0,15
14,qm,blue,6569,2586,6573,54,54,12,42,6,18,18,0,0,12
15,qm,red,7782,7244,5282,52,52,15,37,4,24,9,0,0,15
15,qm,blue,4392,4715,857,51,51,12,39,18,9,12,0,0,12
16,qm,red,6113,4391,4827,74,74,15,56,8,30,18,3,0,15
16,qm,blue,6345,5706,141,57,57,15,42,6,24,12,0,0,15
17,qm,red,2586,4970,5878,45,45,12,33,6,12,15,0,0,12
17,qm,blue,6569,7250,5547,55,55,9,46,10,24,12,0,0,9
18,qm,red,6098,1596,7816,67,67,15,43,10,24,9,9,0,15
18,qm,blue,5486,5072,5534,31,31,9,9,6,0,3,13,0,9
19,qm,red,7713,7638,5314,46,46,15,31,10,12,9,0,0,15
19,qm,blue,6088,4988,3537,43,43,12,31,4,24,3,0,0,12
20,qm,red,4390,3602,5234,66,66,15,41,14,24,3,10,0,15
20,qm,blue,7150,4377,5989,36,36,15,21,6,6,9,0,0,15
21,qm,red,5709,6558,5547,48,48,15,33,12,9,12,0,0,15
21,qm,blue,5702,6098,7244,59,59,15,41,8,24,9,3,0,15
22,qm,red,2586,5706,6113,42,42,15,27,6,12,9,0,0,15
22,qm,blue,6088,7782,4715,52,52,15,37,4,21,12,0,0,15
