match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1684,5110,4376,52,52,12,37,10,18,9,3,0,12
1,qm,blue,3688,6121,3767,68,68,15,53,8,30,15,0,0,15
2,qm,red,6122,7855,7790,64,64,15,46,10,18,18,3,0,15
2,qm,blue,5504,4398,1322,13,13,9,4,4,0,0,0,0,9
3,qm,red,6599,6075,5525,24,24,12,12,0,6,6,0,0,12
3,qm,blue,7160,6600,6005,62,62,15,44,8,24,12,3,0,15
4,qm,red,6552,3618,5247,27,27,6,21,0,18,3,0,0,6
4,qm,blue,3302,7208,7171,45,45,15,30,6,18,6,0,0,15
5,qm,red,2246,5213,7808,36,36,12,24,6,9,9,0,0,12
5,qm,blue,6066,4983,5560,40,40,15,25,4,9,12,0,0,15
6,qm,red,5086,6561,7155,37,37,9,28,4,18,6,0,0,9
6,qm,blue,6087,1711,5183,36,36,6,30,0,18,12,0,0,6
7,qm,red,6097,1684,6112,60,60,9,51,12,21,18,0,0,9
7,qm,blue,7861,6074,7855,20,20,3,17,2,9,6,0,0,3
8,qm,red,6121,7171,7790,49,49,15,34,4,21,9,0,0,15
8,qm,blue,1322,4983,5110,60,60,15,35,8,15,12,10,0,15
9,qm,red,5247,5504,6066,39,39,15,11,2,0,9,13,0,15
9,qm,blue,6005,3688,1711,56,56,15,35,2,21,12,6,0,15
10,qm,red,4376,6074,6599,33,33,12,21,6,0,15,0,0,12
10,qm,blue,3302,6097,5525,46,46,12,34,4,21,9,0,0,12
11,qm,red,6075,5560,6552,49,49,12,27,0,18,9,10,0,12
11,qm,blue,5213,6087,5086,45,45,9,36,0,18,18,0,0,9
12,qm,red,6112,7808,7155,22,22,6,13,4,3,6,3,0,6
12,qm,blue,2246,6122,3618,61,61,15,46,4,24,18,0,0,15
13,qm,red,7208,4398,7160,41,41,15,26,2,18,6,0,0,15
13,qm,blue,3767,7861,5183,46,46,12,34,10,15,9,0,0,12
14,qm,red,6561,4983,6074,20,20,12,8,2,0,6,0,0,12
14,qm,blue,5504,1711,6600,39,39,9,20,2,9,9,10,0,9
15,qm,red,3302,7790,2246,42,42,12,30,0,15,15,0,0,12
15,qm,blue,1684,6121,6087,64,64,9,55,10,24,21,0,0,9
16,qm,red,4398,5247,5560,49,49,15,31,4,9,18,3,0,15
16,qm,blue,6075,7171,6097,29,29,15,14,2,9,3,0,0,15
17,qm,red,1322,6112,6552,52,52,12,37,10,21,6,3,0,12
17,qm,blue,5213,4376,5183,46,46,12,34,10,12,12,0,0,12
18,qm,red,7208,6122,7155,57,57,15,42,6,18,18,0,0,15
18,qm,blue,6066,6600,6599,46,46,15,31,10,9,12,0,0,15
19,qm,red,5525,6561,3688,47,47,15,32,2,21,9,0,0,15
19,qm,blue,7855,7160,5086,47,47,12,35,2,21,12,0,0,12
20,qm,red,3618,7808,7861,58,58,12,37,4,24,9,9,0,12
20,qm,blue,5110,3767,6005,45,45,9,36,6,18,12,0,0,9
21,qm,red,1711,1684,4983,65,65,9,56,8,30,18,0,0,9
21,qm,blue,6122,7171,5560,56,56,15,41,2,18,21,0,0,15
22,qm,red,6121,5504,6097,50,50,12,38,8,18,12,0,0,12
22,qm,blue,6112,6075,6561,35,35,12,23,2,21,0,0,0,12
23,qm,red,5183,3688,7155,46,46,15,31,4,18,9,0,0,15
23,qm,blue,4376,2246,6005,36,36,15,21,6,9,6,0,0,15
24,qm,red,7160,3618,5110,42,42,15,27,6,12,9,0,0,15
24,qm,blue,4398,6087,6552,39,39,9,30,0,12,18,0,0,9
25,qm,red,7790,5086,7808,45,45,12,33,12,9,12,0,0,12
25,qm,blue,7855,6599,7208,39,39,15,24,0,15,9,0,0,15
26,qm,red,3767,1322,5213,55,55,12,43,10,18,15,0,0,12
