match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3593,2359,1756,68,68,15,53,8,27,18,0,0,15
1,qm,blue,2333,1094,2451,79,79,15,61,10,30,21,3,0,15
2,qm,red,931,1987,2773,47,47,15,32,2,21,9,0,0,15
2,qm,blue,4959,938,5119,35,35,12,23,8,9,6,0,0,12
3,qm,red,6424,6886,1997,52,52,12,40,4,18,18,0,0,12
3,qm,blue,5918,3397,1939,51,51,12,39,6,24,9,0,0,12
4,qm,red,5006,7662,31,47,47,12,35,8,9,18,0,0,12
4,qm,blue,1785,5889,1806,52,52,12,40,10,24,6,0,0,12
5,qm,red,7141,5041,7729,32,32,12,17,8,0,9,3,0,12
5,qm,blue,3284,5454,2164,67,67,12,55,10,27,18,0,0,12
6,qm,red,6843,4455,3931,53,53,15,38,2,18,18,0,0,15
6,qm,blue,4522,5550,5437,75,75,9,46,10,18,18,20,0,9
7,qm,red,1094,931,5918,55,55,15,37,4,21,12,3,0,15
7,qm,blue,1997,2773,1756,67,67,15,52,10,24,18,0,0,15
8,qm,red,1939,5454,1806,52,52,15,37,4,21,12,0,0,15
8,qm,blue,1987,7729,5006,74,74,12,39,6,15,18,23,0,12
9,qm,red,2451,4959,7141,69,69,15,54,6,27,21,0,0,15
9,qm,blue,5550,2333,6843,40,40,12,25,10,3,12,3,0,12
10,qm,red,6886,3931,2359,36,36,15,21,0,6,15,0,0,15
10,qm,blue,3284,5889,7662,58,58,9,39,6,21,12,10,0,9
11,qm,red,4522,2164,4455,48,48,9,36,6,15,15,3,0,9
11,qm,blue,5119,1785,3397,71,71,12,31,4,21,6,28,0,12
12,qm,red,5437,938,3593,39,39,12,27,6,12,9,0,0,12
12,qm,blue,5041,31,6424,61,61,15,46,10,18,18,0,0,15
13,qm,red,5889,6843,7141,45,45,9,36,6,18,12,0,0,9
13,qm,blue,1756,5006,4959,65,65,12,53,14,18,21,0,0,12
14,qm,red,5454,931,4522,44,44,15,29,2,9,18,0,0,15
14,qm,blue,6886,1939,3284,65,65,9,56,8,27,21,0,0,9
15,qm,red,1806,31,1997,52,52,15,37,16,12,9,0,0,15
15,qm,blue,5119,6424,5550,43,43,9,34,4,18,12,0,0,9
16,qm,red,1785,7729,1094,54,54,12,42,6,24,12,0,0,12
16,qm,blue,2359,938,5918,48,48,9,30,6,15,9,9,0,9
17,qm,red,3593,2333,2164,43,43,15,28,4,18,6,0,0,15
17,qm,blue,2773,5437,4455,48,48,15,33,6,24,3,0,0,15
18,qm,red,5041,3397,1987,54,54,15,39,6,24,9,0,0,15
18,qm,blue,7662,3931,2451,66,66,12,51,6,27,18,3,0,12
19,qm,red,3284,6424,1785,75,75,9,66,12,33,21,0,0,9
19,qm,blue,6843,5454,4959,69,69,15,54,12,27,15,0,0,15
20,qm,red,5918,2164,2773,38,38,9,29,2,18,9,0,0,9
20,qm,blue,7141,4522,2359,49,49,6,37,4,18,15,6,0,6
21,qm,red,5437,6886,5119,39,39,12,27,6,18,3,0,0,12
21,qm,blue,1987,1806,2451,57,57,15,42,6,24,12,0,0,15
22,qm,red,2333,931,1939,55,55,15,40,10,21,9,0,0,15
22,qm,blue,3397,938,7662,33,33,12,18,0,9,9,3,0,12
23,qm,red,1997,1094,5006,47,47,12,35,2,18,15,0,0,12
23,qm,blue,3931,5041,3593,61,61,15,46,4,24,18,0,0,15
24,qm,red,4455,1756,5550,41,41,15,26,8,3,15,0,0,15
24,qm,blue,5889,31,7729,54,54,12,27,6,18,3,15,0,12
25,qm,red,2451,5918,5437,57,57,12,39,6,24,9,6,0,12
25,qm,blue,7141,1987,1785,52,52,9,43,4,21,18,0,0,9
26,qm,red,6886,1806,2333,55,55,12,43,10,24,9,0,0,12
26,qm,blue,2164,6424,931,62,62,12,50,8,24,18,0,0,12
27,qm,red,4522,6843,31,50,50,12,38,8,18,12,0,0,12
27,qm,blue,5454,7662,1997,45,45,12,33,6,21,6,0,0,12
28,qm,red,3931,5119,5889,76,76,12,52,10,24,18,12,0,12
28,qm,blue,2773,3593,7729,41,41,12,29,2,21,6,0,0,12
29,qm,red,5041,3284,2359,66,66,12,54,12,33,9,0,0,12
29,qm,blue,4959,5550,3397,46,46,12,34,10,18,6,0,0,12
30,qm,red,938,4455,5006,43,43,9,34,4,15,15,0,0,9
