match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1626,2590,1279,53,53,15,38,2,18,18,0,0,15
1,qm,blue,5113,708,5181,64,64,12,49,10,24,15,3,0,12
2,qm,red,365,103,4342,76,76,9,64,10,30,24,3,0,9
2,qm,blue,102,1807,3637,77,77,15,62,14,36,12,0,0,15
3,qm,red,6226,1647,1712,70,70,9,61,16,30,15,0,0,9
3,qm,blue,5404,5401,5895,90,90,15,75,18,33,24,0,0,15
4,qm,red,1640,6945,7587,57,57,15,42,12,21,9,0,0,15
4,qm,blue,75,41,4285,50,50,12,38,8,15,15,0,0,12
5,qm,red,222,2577,223,82,82,15,67,22,24,21,0,0,15
5,qm,blue,834,1923,2729,93,93,15,68,14,33,21,10,0,15
6,qm,red,56,303,4573,75,75,12,60,12,27,21,3,0,12
6,qm,blue,11,5992,5684,65,65,12,53,20,27,6,0,0,12
7,qm,red,1391,5407,2016,64,64,15,40,10,21,9,9,0,15
7,qm,blue,3340,2539,1676,63,63,15,48,12,21,15,0,0,15
8,qm,red,25,3974,7414,45,45,9,33,6,15,12,3,0,9
8,qm,blue,433,1257,4454,63,63,15,38,2,21,15,10,0,15
9,qm,red,272,1403,2607,64,64,12,52,16,24,12,0,0,12
9,qm,blue,225,2191,1495,82,82,12,70,16,39,15,0,0,12
10,qm,red,6943,5420,3314,30,30,9,18,6,3,9,3,0,9
10,qm,blue,747,4653,1218,72,72,15,57,12,24,21,0,0,15
11,qm,red,41,5992,5895,70,70,12,55,22,21,12,3,0,12
11,qm,blue,3637,2729,2577,80,80,15,65,14,30,21,0,0,15
12,qm,red,1647,7587,5404,72,72,15,57,12,27,18,0,0,15
12,qm,blue,5181,5684,223,59,59,15,44,8,21,15,0,0,15
13,qm,red,7414,4454,1676,82,82,15,57,18,30,9,10,0,15
13,qm,blue,222,708,75,63,63,12,48,12,27,9,3,0,12
14,qm,red,2607,1712,2016,89,89,15,74,20,42,12,0,0,15
14,qm,blue,303,834,103,109,109,15,94,22,48,24,0,0,15
15,qm,red,4573,1403,2590,79,79,15,61,10,30,21,3,0,15
15,qm,blue,6945,6943,1495,67,67,12,45,6,21,18,10,0,12
16,qm,red,5401,5113,1923,93,93,15,78,18,42,18,0,0,15
16,qm,blue,747,5420,4342,67,67,15,52,10,18,24,0,0,15
17,qm,red,1257,102,272,66,66,15,51,12,24,15,0,0,15
17,qm,blue,1218,5407,1626,61,61,9,52,10,21,21,0,0,9
18,qm,red,225,2539,365,90,90,15,75,18,36,21,0,0,15
18,qm,blue,3974,4285,4653,68,68,15,53,8,27,18,0,0,15
19,qm,red,6226,1807,25,68,68,12,56,14,21,21,0,0,12
19,qm,blue,11,3314,3340,56,56,12,44,14,21,9,0,0,12
20,qm,red,2191,1279,1391,53,53,12,41,2,21,18,0,0,12
20,qm,blue,433,1640,56,78,78,15,63,12,27,24,0,0,15
21,qm,red,4454,1495,708,60,60,12,48,6,21,21,0,0,12
21,qm,blue,1712,103,6945,76,76,9,64,16,30,18,3,0,9
22,qm,red,5404,1676,5684,56,56,12,44,8,15,21,0,0,12
22,qm,blue,1626,2607,1923,69,69,15,45,6,21,18,9,0,15
23,qm,red,1647,6943,2577,50,50,15,35,8,12,15,0,0,15
23,qm,blue,303,7587,2539,75,75,15,51,6,24,21,9,0,15
24,qm,red,3637,834,5113,77,77,15,62,14,30,18,0,0,15
24,qm,blue,4573,7414,5407,60,60,15,45,18,18,9,0,0,15
25,qm,red,1391,1218,4342,88,88,15,70,16,30,24,3,0,15
25,qm,blue,2016,3340,6226,65,65,15,50,8,27,15,0,0,15
26,qm,red,1807,3314,4653,72,72,12,57,12,30,15,3,0,12
26,qm,blue,2590,222,5401,61,61,15,46,10,33,3,0,0,15
27,qm,red,5895,25,433,72,72,15,57,12,36,9,0,0,15
27,qm,blue,5992,747,272,84,84,12,60,12,30,18,12,0,12
28,qm,red,1279,102,41,77,77,15,59,20,21,18,3,0,15
28,qm,blue,223,4285,1403,61,61,15,46,10,33,3,0,0,15
29,qm,red,365,56,5420,78,78,15,60,12,24,24,3,0,15
29,qm,blue,225,1640,1257,78,78,15,63,12,30,21,0,0,15
30,qm,red,75,2191,3974,66,66,12,54,12,27,15,0,0,12
30,qm,blue,5181,2729,11,66,66,6,60,18,24,18,0,0,6
31,qm,red,4454,4653,1626,57,57,15,42,6,21,15,0,0,15
31,qm,blue,1391,4573,2577,62,62,15,47,8,15,24,0,0,15
32,qm,red,6943,5684,25,70,70,15,55,16,30,9,0,0,15
32,qm,blue,3314,834,5895,80,80,15,56,14,27,15,9,0,15
33,qm,red,1279,433,103,82,82,15,67,16,33,18,0,0,15
33,qm,blue,222,5404,6945,84,84,15,69,12,36,21,0,0,15
34,qm,red,1403,5113,2539,96,96,12,84,18,42,24,0,0,12
34,qm,blue,1640,1923,303,106,106,15,91,22,48,21,0,0,15
35,qm,red,1807,5181,7414,76,76,12,64,16,30,18,0,0,12
35,qm,blue,1712,41,5420,44,44,12,32,8,15,9,0,0,12
36,qm,red,5401,3340,3637,71,71,15,46,16,24,6,10,0,15
36,qm,blue,1257,7587,2729,54,54,15,39,6,24,9,0,0,15
37,qm,red,102,225,6226,69,69,15,54,12,21,21,0,0,15
37,qm,blue,2016,1676,5992,65,65,15,44,8,21,15,6,0,15
38,qm,red,1495,11,747,72,72,15,54,12,27,15,3,0,15
38,qm,blue,365,4285,1647,61,61,15,46,10,15,21,0,0,15
39,qm,red,5407,223,272,92,92,15,77,20,39,18,0,0,15
39,qm,blue,2590,2607,75,85,85,15,70,16,36,18,0,0,15
40,qm,red,3974,708,1218,61,61,12,49,10,18,21,0,0,12
40,qm,blue,2191,56,4342,63,63,9,51,6,24,21,3,0,9
41,qm,red,103,1391,1807,101,101,12,89,20,45,24,0,0,12
41,qm,blue,7414,1626,5401,88,88,15,73,16,36,21,0,0,15
42,qm,red,1403,1257,834,73,73,15,58,10,30,18,0,0,15
42,qm,blue,102,3314,433,82,82,12,70,16,30,24,0,0,12
43,qm,red,4573,5420,6945,39,39,9,30,0,15,15,0,0,9
43,qm,blue,1647,5895,1676,86,86,15,68,20,36,12,3,0,15
44,qm,red,4454,223,1923,65,65,15,44,8,24,12,6,0,15
44,qm,blue,3340,1640,272,73,73,15,55,10,24,21,3,0,15
45,qm,red,5181,1495,4285,63,63,15,48,6,27,15,0,0,15
45,qm,blue,25,56,222,71,71,15,56,20,24,12,0,0,15
46,qm,red,7587,75,747,52,52,15,37,10,9,18,0,0,15
46,qm,blue,303,2016,1279,68,68,15,53,8,30,15,0,0,15
47,qm,red,3637,2607,1218,96,96,15,81,18,42,21,0,0,15
47,qm,blue,708,4653,41,50,50,6,44,8,18,18,0,0,6
48,qm,red,225,1712,5992,89,89,12,77,26,36,15,0,0,12
48,qm,blue,2191,5113,365,74,74,15,59,8,30,21,0,0,15
49,qm,red,4342,11,3974,69,69,12,57,12,27,18,0,0,12
49,qm,blue,5404,2577,2590,66,66,15,48,6,24,18,3,0,15
50,qm,red,5407,6943,2539,46,46,9,37,10,18,9,0,0,9
50,qm,blue,5684,2729,6226,85,85,12,73,16,36,21,0,0,12
51,qm,red,1923,6945,5181,62,62,12,50,20,24,6,0,0,12
51,qm,blue,2016,7414,102,66,66,15,51,12,24,15,0,0,15
52,qm,red,1807,272,5401,74,74,12,59,14,27,18,3,0,12
52,qm,blue,2607,747,4285,77,77,15,62,14,27,21,0,0,15
53,qm,red,4653,75,3340,53,53,12,38,2,18,18,3,0,12
53,qm,blue,5113,433,1647,70,70,15,52,10,27,15,3,0,15
54,qm,red,1640,1626,1712,70,70,15,55,16,21,18,0,0,15
54,qm,blue,3314,25,3637,88,88,15,73,16,39,18,0,0,15
55,qm,red,5404,1218,2729,75,75,15,60,12,27,21,0,0,15
55,qm,blue,365,4573,4454,59,59,15,44,2,18,24,0,0,15
