match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,587,4935,6502,55,55,15,40,10,21,9,0,0,15
1,qm,blue,5511,4828,5607,64,64,15,46,4,21,21,3,0,15
2,qm,red,4290,4534,2655,56,56,12,44,8,21,15,0,0,12
2,qm,blue,6500,2059,6729,59,59,6,53,8,27,18,0,0,6
3,qm,red,7763,7443,3229,46,46,9,37,16,9,12,0,0,9
3,qm,blue,3459,3506,7890,63,63,12,51,6,24,21,0,0,12
4,qm,red,2642,5190,1533,91,91,12,70,16,36,18,9,0,12
4,qm,blue,4795,4291,900,55,55,12,43,10,24,9,0,0,12
5,qm,red,4561,5762,7265,60,60,15,45,6,24,15,0,0,15
5,qm,blue,3196,2682,2640,62,62,12,50,8,24,18,0,0,12
6,qm,red,3737,5607,3229,47,47,15,32,8,15,9,0,0,15
6,qm,blue,7671,2059,587,53,53,9,41,8,24,9,3,0,9
7,qm,red,1533,3506,7265,61,61,12,49,16,27,6,0,0,12
7,qm,blue,900,4290,4561,65,65,15,38,14,18,6,12,0,15
8,qm,red,4795,4828,5190,83,83,15,65,14,30,21,3,0,15
8,qm,blue,7443,2640,3737,33,33,12,21,0,9,12,0,0,12
9,qm,red,6500,2642,3196,77,77,12,55,10,27,18,10,0,12
9,qm,blue,6502,7763,6729,56,56,15,41,14,18,9,0,0,15
10,qm,red,7890,7671,5762,51,51,12,39,6,21,12,0,0,12
10,qm,blue,4534,3459,4935,58,58,12,46,10,24,12,0,0,12
11,qm,red,2682,4291,5190,72,72,15,54,12,24,18,3,0,15
11,qm,blue,5511,7763,2655,79,79,15,64,16,27,21,0,0,15
12,qm,red,2640,7890,3459,57,57,9,45,6,18,21,3,0,9
12,qm,blue,900,7443,587,33,33,12,21,0,18,3,0,0,12
13,qm,red,5511,7265,4935,42,42,12,24,6,15,3,6,0,12
13,qm,blue,2655,4795,6500,48,48,15,33,6,21,6,0,0,15
14,qm,red,4534,5607,6502,80,80,12,65,20,36,9,3,0,12
