match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4640,354,5599,39,39,9,30,6,15,9,0,0,9
1,qm,blue,1880,743,6590,49,49,15,31,4,15,12,3,0,15
2,qm,red,1635,3419,7272,34,34,3,31,4,21,6,0,0,3
2,qm,blue,7004,4571,7522,59,59,12,47,14,27,6,0,0,12
3,qm,red,1155,640,1600,28,28,9,19,4,9,6,0,0,9
3,qm,blue,4263,7036,4122,32,32,9,14,2,12,0,9,0,9
4,qm,red,2869,6401,335,27,27,9,18,0,6,12,0,0,9
4,qm,blue,3004,3204,6435,3,3,3,0,0,0,0,0,0,3
5,qm,red,7458,2579,5298,46,46,15,28,4,24,0,3,0,15
5,qm,blue,3760,2265,694,36,36,6,24,12,0,12,6,0,6
6,qm,red,4528,333,7050,34,34,6,28,10,9,9,0,0,6
6,qm,blue,1660,334,5781,40,40,15,22,4,15,3,3,0,15
7,qm,red,395,6873,2344,30,30,9,21,6,6,9,0,0,9
7,qm,blue,4773,1796,4383,54,54,12,42,12,15,15,0,0,12
8,qm,red,6636,5202,6195,39,39,12,15,0,9,6,12,0,12
8,qm,blue,2895,4299,5806,30,30,15,9,0,6,3,6,0,15
9,qm,red,694,1230,7668,38,38,6,29,8,9,12,3,0,6
9,qm,blue,5421,4263,743,24,24,9,15,0,9,6,0,0,9
10,qm,red,3004,2869,1660,30,30,9,18,0,15,3,3,0,9
10,qm,blue,354,1880,7522,90,90,15,54,12,27,15,21,0,15
11,qm,red,2344,4122,6401,64,64,9,35,2,18,15,20,0,9
11,qm,blue,335,3419,4528,23,23,3,20,2,12,6,0,0,3
12,qm,red,4773,6590,7036,6,6,3,3,0,0,3,0,0,3
12,qm,blue,6195,2265,7004,49,49,9,27,0,15,12,13,0,9
13,qm,red,5806,1155,5202,38,38,15,20,2,15,3,3,0,15
13,qm,blue,5781,7668,7272,16,16,9,7,4,0,3,0,0,9
14,qm,red,1635,1230,3204,26,26,0,11,2,3,6,15,0,0
14,qm,blue,395,4299,4640,37,37,12,25,4,12,9,0,0,12
15,qm,red,4571,7458,1600,37,37,0,37,4,18,15,0,0,0
15,qm,blue,2579,7050,1796,76,76,12,64,16,27,21,0,0,12
16,qm,red,640,4383,5298,45,45,9,33,6,21,6,3,0,9
16,qm,blue,6636,6435,5599,27,27,3,18,0,12,6,6,0,3
17,qm,red,334,2895,333,51,51,12,39,18,15,6,0,0,12
17,qm,blue,5421,3760,6873,28,28,6,4,4,0,0,18,0,6
18,qm,red,4122,1155,1230,60,60,12,45,6,27,12,3,0,12
18,qm,blue,2344,3004,354,43,43,9,34,4,24,6,0,0,9
19,qm,red,5781,2869,395,40,40,15,25,4,12,9,0,0,15
19,qm,blue,6590,335,7458,30,30,9,21,6,12,3,0,0,9
20,qm,red,4383,6636,7668,35,35,15,20,2,12,6,0,0,15
20,qm,blue,6401,1660,1880,51,51,15,33,0,18,15,3,0,15
21,qm,red,1796,743,7522,93,93,12,63,18,27,18,18,0,12
21,qm,blue,7050,2895,6435,18,18,9,9,0,6,3,0,0,9
22,qm,red,694,333,2579,58,58,12,46,10,30,6,0,0,12
22,qm,blue,1635,5806,5599,42,42,9,33,0,18,15,0,0,9
23,qm,red,3760,7272,334,49,49,3,19,10,6,3,27,0,3
23,qm,blue,640,3204,4773,16,16,6,10,4,0,6,0,0,6
24,qm,red,1600,2265,5421,56,56,6,23,2,15,6,27,0,6
24,qm,blue,6873,7004,3419,50,50,12,38,8,24,6,0,0,12
25,qm,red,4640,4263,5202,57,57,9,16,4,3,9,32,0,9
25,qm,blue,4528,6195,5298,35,35,9,23,2,12,9,3,0,9
26,qm,red,4571,335,3004,32,32,9,23,2,18,3,0,0,9
26,qm,blue,7036,333,4299,42,42,9,33,12,15,6,0,0,9
27,qm,red,4383,1660,5806,49,49,15,34,10,24,0,0,0,15
27,qm,blue,2895,4122,7458,50,50,15,35,2,21,12,0,0,15
28,qm,red,1796,7272,2869,63,63,9,34,4,21,9,20,0,9
28,qm,blue,2265,5599,3419,45,45,12,30,6,15,9,3,0,12
29,qm,red,7668,354,2579,46,46,9,37,10,15,12,0,0,9
29,qm,blue,3204,4528,4640,19,19,6,13,10,0,3,0,0,6
30,qm,red,6636,4263,4571,63,63,12,41,8,24,9,10,0,12
30,qm,blue,5202,395,4773,18,18,9,9,0,3,6,0,0,9
31,qm,red,6435,5421,6195,19,19,3,16,4,6,6,0,0,3
31,qm,blue,3760,1635,1155,40,40,9,31,4,21,6,0,0,9
32,qm,red,7004,7050,334,57,57,12,29,2,15,12,16,0,12
32,qm,blue,1880,2344,694,69,69,15,44,8,18,18,10,0,15
33,qm,red,5298,7036,1600,77,77,6,31,4,15,12,40,0,6
33,qm,blue,6590,7522,1230,30,30,9,21,6,6,9,0,0,9
34,qm,red,6873,5781,4299,22,22,15,7,4,3,0,0,0,15
34,qm,blue,640,6401,743,42,42,15,18,0,6,12,9,0,15
35,qm,red,5421,7458,3204,48,48,15,30,12,9,9,3,0,15
35,qm,blue,4122,3004,6636,44,44,12,32,2,21,9,0,0,12
36,qm,red,6435,1155,333,68,68,9,47,14,24,9,12,0,9
36,qm,blue,4773,2579,1880,44,44,15,29,2,21,6,0,0,15
37,qm,red,5599,2895,7004,41,41,9,32,2,21,9,0,0,9
37,qm,blue,1230,395,335,94,94,9,15,0,9,6,70,0,9
38,qm,red,7272,6195,6401,37,37,15,12,0,3,9,10,0,15
38,qm,blue,334,1600,2869,53,53,12,15,0,9,6,26,0,12
39,qm,red,7522,5781,4640,47,47,9,38,8,24,6,0,0,9
39,qm,blue,2344,4299,3760,35,35,12,23,2,15,6,0,0,12
40,qm,red,640,1796,1660,52,52,12,40,10,21,9,0,0,12
40,qm,blue,5202,694,6590,33,33,15,18,6,6,6,0,0,15
41,qm,red,3419,7036,7668,42,42,12,27,6,15,6,3,0,12
41,qm,blue,354,5298,7050,53,53,12,41,8,24,9,0,0,12
42,qm,red,4383,743,6873,32,32,12,20,2,12,6,0,0,12
42,qm,blue,4263,1635,4528,38,38,9,26,8,0,18,3,0,9
43,qm,red,2265,6435,1230,27,27,9,18,0,12,6,0,0,9
43,qm,blue,5806,4571,5781,56,56,15,41,8,27,6,0,0,15
44,qm,red,1600,6636,2895,34,34,9,25,4,15,6,0,0,9
44,qm,blue,1155,2869,694,61,61,15,46,16,21,9,0,0,15
45,qm,red,4299,334,1880,41,41,9,32,2,18,12,0,0,9
45,qm,blue,4122,5298,1796,65,65,12,53,8,24,21,0,0,12
46,qm,red,743,1635,4773,25,25,6,19,4,3,12,0,0,6
46,qm,blue,7458,6401,7036,44,44,15,29,2,12,15,0,0,15
47,qm,red,7050,335,5806,39,39,9,30,0,18,12,0,0,9
47,qm,blue,6873,4640,640,50,50,9,6,0,0,6,35,0,9
48,qm,red,3204,6590,4263,25,25,9,16,4,9,3,0,0,9
48,qm,blue,2344,7522,3419,46,46,9,37,10,21,6,0,0,9
49,qm,red,2579,7004,5421,55,55,12,43,4,24,15,0,0,12
49,qm,blue,354,4383,5202,34,34,9,25,4,15,6,0,0,9
50,qm,red,6195,5599,3760,27,27,9,18,0,12,6,0,0,9
50,qm,blue,1660,7668,4571,55,55,15,40,10,24,6,0,0,15
51,qm,red,333,395,3004,60,60,6,38,8,24,6,16,0,6
51,qm,blue,2265,4528,7272,46,46,15,31,4,21,6,0,0,15
52,qm,red,5806,4640,7458,40,40,12,18,0,15,3,10,0,12
52,qm,blue,3419,334,1155,31,31,12,19,4,15,0,0,0,12
53,qm,red,7050,4773,6401,30,30,9,21,0,9,12,0,0,9
53,qm,blue,5298,5421,2895,29,29,15,14,8,3,3,0,0,15
54,qm,red,1660,5599,4299,50,50,15,29,2,18,9,6,0,15
54,qm,blue,1600,6435,4263,24,24,6,18,0,9,9,0,0,6
55,qm,red,4571,3760,6590,43,43,12,31,4,24,3,0,0,12
55,qm,blue,694,4383,3004,56,56,12,44,8,24,12,0,0,12
56,qm,red,335,2344,2265,33,33,3,30,0,18,12,0,0,3
56,qm,blue,7668,5202,1635,39,39,15,18,6,0,12,6,0,15
57,qm,red,7004,1796,354,77,77,12,65,14,39,12,0,0,12
