match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6330,2200,4907,63,63,9,51,12,18,21,3,0,9
1,qm,blue,6537,4777,5406,64,64,9,55,10,27,18,0,0,9
2,qm,red,2056,5921,7623,77,77,15,59,20,24,15,3,0,15
2,qm,blue,3543,2386,6070,47,47,15,32,8,21,3,0,0,15
3,qm,red,4618,4992,5032,67,67,12,55,16,33,6,0,0,12
3,qm,blue,6513,7022,6140,53,53,15,38,8,27,3,0,0,15
4,qm,red,6342,6854,6878,39,39,15,24,12,3,9,0,0,15
4,qm,blue,1075,7456,6323,56,56,15,41,8,15,18,0,0,15
5,qm,red,7509,5076,1241,54,54,9,45,12,21,12,0,0,9
5,qm,blue,6978,3161,4902,35,35,12,23,8,6,9,0,0,12
6,qm,red,7564,4992,6865,48,48,15,18,0,9,9,15,0,15
6,qm,blue,6009,6342,1325,39,39,15,24,0,12,12,0,0,15
7,qm,red,4618,7022,5406,72,72,15,57,12,27,18,0,0,15
7,qm,blue,6878,5076,6140,48,48,15,33,6,18,9,0,0,15
8,qm,red,6009,1241,5921,48,48,15,33,12,12,9,0,0,15
8,qm,blue,7509,6854,7564,40,40,15,25,16,0,9,0,0,15
9,qm,red,4777,1325,5032,77,77,12,44,8,18,18,21,0,12
9,qm,blue,2200,6070,7623,55,55,12,43,10,15,18,0,0,12
10,qm,red,3543,4902,6537,24,24,6,18,0,15,3,0,0,6
10,qm,blue,4907,7456,6513,52,52,9,40,10,12,18,3,0,9
11,qm,red,1075,6978,2386,61,61,9,52,10,21,21,0,0,9
11,qm,blue,6323,6330,3161,26,26,9,17,8,3,6,0,0,9
12,qm,red,2056,4618,6513,78,78,15,63,18,27,18,0,0,15
12,qm,blue,6865,6854,2200,50,50,9,41,8,18,15,0,0,9
13,qm,red,7509,5032,2386,76,76,15,38,8,15,15,23,0,15
13,qm,blue,5406,1325,6878,82,82,15,67,16,30,21,0,0,15
14,qm,red,5076,6070,5921,49,49,15,34,4,24,6,0,0,15
14,qm,blue,3161,4907,4992,58,58,12,40,4,18,18,6,0,12
15,qm,red,7623,6865,6978,48,48,9,39,18,9,12,0,0,9
15,qm,blue,6537,7456,7022,48,48,9,39,6,27,6,0,0,9
16,qm,red,3543,1075,2056,94,94,15,63,12,30,21,16,0,15
16,qm,blue,6330,7564,4902,34,34,12,12,0,6,6,10,0,12
17,qm,red,6009,4777,6140,51,51,12,39,6,21,12,0,0,12
17,qm,blue,6323,6342,1241,71,71,15,56,14,30,12,0,0,15
18,qm,red,6854,3161,6070,55,55,12,43,10,24,9,0,0,12
18,qm,blue,1325,6978,3543,75,75,12,63,12,36,15,0,0,12
19,qm,red,5032,6140,4907,59,59,9,47,8,24,15,3,0,9
19,qm,blue,6323,2056,7564,82,82,15,67,16,33,18,0,0,15
20,qm,red,6537,6342,7623,38,38,6,32,8,18,6,0,0,6
20,qm,blue,4902,5921,4618,57,57,15,36,6,21,9,6,0,15
21,qm,red,6330,6865,5076,43,43,9,34,4,12,18,0,0,9
21,qm,blue,4777,4992,2386,60,60,15,45,12,18,15,0,0,15
22,qm,red,1075,6513,2200,64,64,12,52,10,24,18,0,0,12
22,qm,blue,6878,7509,7022,36,36,9,27,6,3,18,0,0,9
23,qm,red,5406,1241,2386,92,92,15,77,20,33,24,0,0,15
23,qm,blue,7456,6009,3543,44,44,15,26,2,15,9,3,0,15
24,qm,red,6342,2056,4992,76,76,15,58,16,24,18,3,0,15
24,qm,blue,6323,2200,7509,75,75,15,60,12,27,21,0,0,15
25,qm,red,6009,3161,5076,69,69,15,45,12,21,12,9,0,15
25,qm,blue,5032,6513,7564,35,35,15,20,14,3,3,0,0,15
26,qm,red,7623,7456,4902,48,48,12,26,2,18,6,10,0,12
26,qm,blue,6140,5406,6865,64,64,15,39,6,15,18,10,0,15
27,qm,red,5921,7022,6854,54,54,15,36,0,18,18,3,0,15
27,qm,blue,6537,6330,1325,57,57,15,42,12,24,6,0,0,15
28,qm,red,1241,4777,6070,59,59,15,44,8,24,12,0,0,15
28,qm,blue,6878,1075,4618,56,56,15,41,8,12,21,0,0,15
29,qm,red,6865,4907,1325,74,74,15,59,14,27,18,0,0,15
29,qm,blue,6978,6140,7509,56,56,12,44,8,24,12,0,0,12
30,qm,red,6878,6323,6537,63,63,12,51,12,27,12,0,0,12
30,qm,blue,2056,2386,5076,86,86,15,68,14,33,21,3,0,15
