match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4951,6110,3756,40,40,12,28,4,15,9,0,0,12
1,qm,blue,3739,1360,6202,64,64,15,49,10,21,18,0,0,15
2,qm,red,7058,4976,4617,76,76,15,51,6,24,21,10,0,15
2,qm,blue,5821,4525,5288,54,54,15,39,6,24,9,0,0,15
3,qm,red,2609,2702,4595,39,39,9,30,18,3,9,0,0,9
3,qm,blue,6162,5596,5699,18,18,6,12,0,6,6,0,0,6
4,qm,red,4814,4940,7722,58,58,15,43,10,27,6,0,0,15
4,qm,blue,5689,6331,6481,26,26,9,17,2,12,3,0,0,9
5,qm,red,6339,6725,7659,33,33,9,24,6,18,0,0,0,9
5,qm,blue,6856,5483,6378,65,65,6,49,16,27,6,10,0,6
6,qm,red,6881,6992,5408,47,47,15,26,8,15,3,6,0,15
6,qm,blue,781,5870,5024,42,42,9,33,6,21,6,0,0,9
7,qm,red,5834,6130,6202,32,32,9,23,2,12,9,0,0,9
7,qm,blue,6052,7475,4595,41,41,9,29,2,18,9,3,0,9
8,qm,red,5821,6110,5699,46,46,12,34,4,21,9,0,0,12
8,qm,blue,7722,6378,5596,54,54,12,42,12,18,12,0,0,12
9,qm,red,6881,1360,4525,41,41,12,29,8,12,9,0,0,12
9,qm,blue,6481,5870,4951,41,41,15,26,2,15,9,0,0,15
10,qm,red,4976,6052,6339,44,44,12,32,2,12,18,0,0,12
10,qm,blue,2702,7659,6331,73,73,12,58,16,27,15,3,0,12
11,qm,red,781,5408,5834,73,73,15,45,6,18,21,13,0,15
11,qm,blue,5483,7475,4940,23,23,6,7,4,0,3,10,0,6
12,qm,red,6856,6992,5288,24,24,12,12,0,9,3,0,0,12
12,qm,blue,7058,3739,6162,71,71,15,43,10,21,12,13,0,15
13,qm,red,2609,5689,4617,45,45,6,29,8,12,9,10,0,6
13,qm,blue,6130,3756,6725,49,49,15,31,4,18,9,3,0,15
14,qm,red,6481,5024,6339,51,51,15,36,6,21,9,0,0,15
14,qm,blue,4814,4595,4976,75,75,12,63,12,33,18,0,0,12
15,qm,red,1360,6331,5821,44,44,9,32,8,18,6,3,0,9
15,qm,blue,2702,4525,6052,61,61,12,43,10,18,15,6,0,12
16,qm,red,3756,3739,7475,43,43,15,25,4,12,9,3,0,15
16,qm,blue,6130,4617,6881,57,57,15,32,2,21,9,10,0,15
17,qm,red,7058,6856,4814,69,69,15,54,12,30,12,0,0,15
17,qm,blue,6992,5699,4940,53,53,15,38,2,18,18,0,0,15
18,qm,red,7659,6378,4951,78,78,12,56,20,27,9,10,0,12
18,qm,blue,6162,5288,781,21,21,12,9,0,6,3,0,0,12
19,qm,red,6725,5483,5870,57,57,15,42,12,24,6,0,0,15
19,qm,blue,6202,5024,6110,60,60,15,35,8,24,3,10,0,15
20,qm,red,5834,5596,2609,63,63,6,47,8,18,21,10,0,6
20,qm,blue,7722,5408,5689,64,64,15,49,4,24,21,0,0,15
21,qm,red,6992,3739,4595,66,66,15,51,6,27,18,0,0,15
21,qm,blue,6331,7058,3756,53,53,15,38,8,21,9,0,0,15
22,qm,red,4617,1360,6378,58,58,12,46,16,21,9,0,0,12
22,qm,blue,4814,5870,2702,50,50,15,35,8,15,12,0,0,15
23,qm,red,6856,5821,6881,34,34,12,22,4,15,3,0,0,12
23,qm,blue,5596,6110,5288,44,44,12,32,8,18,6,0,0,12
24,qm,red,4525,5689,6725,35,35,15,20,2,15,3,0,0,15
24,qm,blue,4951,5699,6339,45,45,15,27,0,18,9,3,0,15
25,qm,red,6130,2609,781,47,47,15,32,2,15,15,0,0,15
25,qm,blue,5483,4976,6202,74,74,15,59,14,27,18,0,0,15
26,qm,red,7722,6162,7659,43,43,12,28,10,15,3,3,0,12
26,qm,blue,7475,5408,6481,47,47,12,35,8,21,6,0,0,12
27,qm,red,4940,5024,3739,54,54,15,39,6,15,18,0,0,15
27,qm,blue,5834,6052,6725,44,44,15,29,2,18,9,0,0,15
28,qm,red,4595,6202,7058,40,40,12,28,4,15,9,0,0,12
28,qm,blue,6881,4814,6378,47,47,12,35,14,18,3,0,0,12
29,qm,red,5699,6331,5483,42,42,12,30,6,15,9,0,0,12
29,qm,blue,5870,5821,4617,49,49,15,31,4,18,9,3,0,15
30,qm,red,1360,4951,5024,49,49,12,34,10,18,6,3,0,12
30,qm,blue,7722,2609,3756,48,48,9,39,12,18,9,0,0,9
31,qm,red,5408,6162,4525,45,45,12,33,12,12,9,0,0,12
31,qm,blue,4940,7659,6110,55,55,9,46,10,18,18,0,0,9
32,qm,red,6130,5689,2702,64,64,12,49,16,18,15,3,0,12
32,qm,blue,5834,6339,6856,37,37,15,22,4,12,6,0,0,15
33,qm,red,4976,6992,7475,31,31,9,22,10,6,6,0,0,9
33,qm,blue,6052,5288,6481,42,42,15,27,0,18,9,0,0,15
34,qm,red,5596,4595,6331,33,33,12,21,0,15,6,0,0,12
34,qm,blue,781,4617,4951,45,45,15,30,6,18,6,0,0,15
35,qm,red,5483,7722,5821,54,54,12,36,6,21,9,6,0,12
35,qm,blue,5024,2609,6881,74,74,15,56,14,21,21,3,0,15
36,qm,red,6725,4940,6202,63,63,15,48,6,24,18,0,0,15
36,qm,blue,6992,2702,1360,52,52,12,40,10,18,12,0,0,12
