match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4512,2907,2910,94,94,15,79,28,36,15,0,0,15
1,qm,blue,3574,3024,2412,57,57,12,45,12,24,9,0,0,12
2,qm,red,948,4488,4469,77,77,15,53,8,24,21,9,0,15
2,qm,blue,492,5468,1318,73,73,9,54,18,21,15,10,0,9
3,qm,red,2915,4911,5827,86,86,9,77,20,39,18,0,0,9
3,qm,blue,3826,3711,7034,55,55,15,40,4,18,18,0,0,15
4,qm,red,3786,6845,2733,60,60,15,45,12,24,9,0,0,15
4,qm,blue,2976,4980,3674,98,98,15,83,26,39,18,0,0,15
5,qm,red,6443,2990,5085,86,86,9,77,14,36,27,0,0,9
5,qm,blue,4579,4125,4110,52,52,15,37,16,12,9,0,0,15
6,qm,red,4060,6445,2980,53,53,9,44,14,27,3,0,0,9
6,qm,blue,3636,4309,1983,74,74,15,59,26,24,9,0,0,15
7,qm,red,1540,997,4061,74,74,15,59,14,30,15,0,0,15
7,qm,blue,2046,4513,2147,82,82,15,58,16,27,15,9,0,15
8,qm,red,7776,1425,3663,77,77,15,62,14,30,18,0,0,15
8,qm,blue,5588,4692,2471,43,43,15,28,4,15,9,0,0,15
9,qm,red,2097,2521,3223,82,82,12,70,16,33,21,0,0,12
9,qm,blue,4057,5937,2557,62,62,6,56,20,21,15,0,0,6
10,qm,red,5803,2522,2930,74,74,15,59,14,27,18,0,0,15
10,qm,blue,1899,3588,2928,50,50,15,35,8,21,6,0,0,15
11,qm,red,2990,4131,360,67,67,12,52,10,21,21,3,0,12
11,qm,blue,2898,4043,4488,80,80,15,53,14,21,18,12,0,15
12,qm,red,3786,5085,2046,62,62,15,47,14,24,9,0,0,15
12,qm,blue,3636,4110,2915,56,56,15,41,14,21,6,0,0,15
13,qm,red,3574,7034,1318,56,56,12,41,8,15,18,3,0,12
13,qm,blue,4125,3711,1540,124,124,15,64,10,30,24,45,0,15
14,qm,red,1425,4469,3024,55,55,15,40,4,21,15,0,0,15
14,qm,blue,4060,7776,2147,66,66,15,51,12,27,12,0,0,15
15,qm,red,2907,948,4692,68,68,15,53,8,24,21,0,0,15
15,qm,blue,5588,2928,2557,77,77,15,62,20,21,21,0,0,15
16,qm,red,4513,5937,2733,51,51,15,36,6,18,12,0,0,15
16,qm,blue,4579,2910,5468,93,93,15,69,24,30,15,9,0,15
17,qm,red,3588,4512,2097,64,64,15,49,16,21,12,0,0,15
17,qm,blue,997,4911,3663,83,83,15,65,20,30,15,3,0,15
18,qm,red,3826,2930,2898,64,64,15,46,10,21,15,3,0,15
18,qm,blue,2980,4309,6443,63,63,12,45,12,15,18,6,0,12
19,qm,red,2521,1899,6445,49,49,9,37,10,12,15,3,0,9
19,qm,blue,3223,6845,5827,63,63,15,48,12,21,15,0,0,15
20,qm,red,1983,2522,2976,79,79,12,64,22,27,15,3,0,12
20,qm,blue,4043,4061,5803,96,96,15,45,12,27,6,36,0,15
21,qm,red,4131,2412,3674,65,65,15,47,8,24,15,3,0,15
21,qm,blue,4057,360,492,65,65,12,44,20,15,9,9,0,12
22,qm,red,4110,2471,3711,49,49,12,37,4,18,15,0,0,12
