match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6431,2095,5095,39,39,15,24,0,18,6,0,0,15
1,qm,blue,5570,5440,3360,48,48,9,39,6,15,18,0,0,9
2,qm,red,3996,3986,4952,87,87,12,75,18,42,15,0,0,12
2,qm,blue,6622,5439,5952,15,15,9,6,0,3,3,0,0,9
3,qm,red,5528,7251,3550,69,69,15,54,12,24,18,0,0,15
3,qm,blue,3533,4613,5659,33,33,9,24,6,6,12,0,0,9
4,qm,red,4942,3510,296,25,25,6,19,4,9,6,0,0,6
4,qm,blue,3386,5179,3975,46,46,9,37,10,21,6,0,0,9
5,qm,red,4955,3988,3985,44,44,9,35,8,27,0,0,0,9
5,qm,blue,2626,5910,4950,44,44,12,32,8,15,9,0,0,12
6,qm,red,2234,3117,7590,23,23,9,14,2,0,12,0,0,9
6,qm,blue,5618,5800,3550,52,52,15,37,4,12,21,0,0,15
7,qm,red,3975,3360,4955,40,40,12,25,4,6,15,3,0,12
7,qm,blue,7251,3386,296,61,61,12,49,10,21,18,0,0,12
8,qm,red,5659,3996,3988,60,60,15,45,6,24,15,0,0,15
8,qm,blue,6431,5618,5179,47,47,12,35,8,12,15,0,0,12
9,qm,red,5528,6622,7590,37,37,6,31,4,9,18,0,0,6
9,qm,blue,3985,5095,3510,43,43,6,28,4,21,3,9,0,6
10,qm,red,5440,2234,4613,70,70,6,64,16,30,18,0,0,6
10,qm,blue,5800,5952,2626,29,29,6,23,2,18,3,0,0,6
11,qm,red,3986,5910,5439,72,72,12,60,18,24,18,0,0,12
11,qm,blue,2095,4952,4942,26,26,6,20,2,6,12,0,0,6
12,qm,red,4950,3117,5952,44,44,9,35,8,12,15,0,0,9
12,qm,blue,3533,5570,2626,28,28,6,22,4,9,9,0,0,6
13,qm,red,7590,3386,5659,63,63,15,48,6,24,18,0,0,15
13,qm,blue,5528,2234,3996,33,33,12,21,6,9,6,0,0,12
14,qm,red,3360,7251,3117,71,71,15,56,8,27,21,0,0,15
14,qm,blue,4955,4613,3986,67,67,9,49,22,15,12,9,0,9
15,qm,red,5179,2095,296,40,40,6,34,4,15,15,0,0,6
15,qm,blue,5800,3985,4952,59,59,12,47,8,24,15,0,0,12
16,qm,red,3510,3975,5570,9,9,3,6,0,3,3,0,0,3
16,qm,blue,5618,5440,3988,57,57,12,42,6,21,15,3,0,12
17,qm,red,5095,6622,3533,33,33,6,24,0,18,6,3,0,6
17,qm,blue,5439,4942,6431,50,50,12,38,8,21,9,0,0,12
18,qm,red,4950,3996,3360,57,57,12,45,12,15,18,0,0,12
18,qm,blue,3510,3550,5910,46,46,12,34,22,3,9,0,0,12
19,qm,red,3988,3533,2234,49,49,9,40,4,24,12,0,0,9
19,qm,blue,3386,2095,6622,67,67,12,52,10,24,18,3,0,12
20,qm,red,5910,5570,7590,43,43,9,21,12,3,6,13,0,9
20,qm,blue,5439,3117,4613,68,68,9,59,20,18,21,0,0,9
21,qm,red,3985,2626,4942,35,35,9,26,2,21,3,0,0,9
21,qm,blue,4955,3550,5659,61,61,15,46,10,24,12,0,0,15
22,qm,red,5095,296,5800,37,37,9,28,4,15,9,0,0,9
22,qm,blue,5440,7251,3986,76,76,15,58,16,21,21,3,0,15
23,qm,red,4950,5618,3975,65,65,12,53,8,27,18,0,0,12
23,qm,blue,4952,5528,6431,49,49,15,34,4,18,12,0,0,15
24,qm,red,5952,5095,3360,34,34,12,22,4,9,9,0,0,12
24,qm,blue,5439,3985,5179,53,53,9,35,2,18,15,9,0,9
25,qm,red,5440,3510,4950,22,22,6,16,4,0,12,0,0,6
25,qm,blue,3550,3986,3386,67,67,9,58,22,24,12,0,0,9
26,qm,red,2234,5952,5179,52,52,12,40,4,21,15,0,0,12
26,qm,blue,5528,5910,4942,77,77,12,55,16,21,18,10,0,12
27,qm,red,3988,5570,3117,20,20,3,17,2,9,6,0,0,3
