match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2826,5914,7596,76,76,15,61,10,33,18,0,0,15
1,qm,blue,7629,5903,1986,69,69,6,63,12,30,21,0,0,6
2,qm,red,1306,3090,6317,40,40,12,28,4,21,3,0,0,12
2,qm,blue,2531,6381,5003,23,23,9,14,8,0,6,0,0,9
3,qm,red,4786,6421,6630,53,53,15,38,2,21,15,0,0,15
3,qm,blue,3061,2667,5339,38,38,15,23,8,3,12,0,0,15
4,qm,red,167,967,171,76,76,15,55,16,33,6,6,0,15
4,qm,blue,2194,6420,6359,52,52,12,40,10,12,18,0,0,12
5,qm,red,7432,4655,4011,59,59,12,44,14,24,6,3,0,12
5,qm,blue,648,5019,4296,44,44,15,23,2,15,6,6,0,15
6,qm,red,6166,3352,4054,21,21,6,16,10,0,6,0,-1,6
6,qm,blue,2338,269,2977,48,48,9,39,12,21,6,0,0,9
7,qm,red,7048,3692,93,55,55,15,40,4,18,18,0,0,15
7,qm,blue,5442,5976,4239,59,59,12,47,8,18,21,0,0,12
8,qm,red,2081,3723,3928,44,44,12,32,8,9,15,0,0,12
8,qm,blue,7021,111,1091,95,95,12,64,16,30,18,19,0,12
9,qm,red,4818,6412,1625,50,50,12,35,8,21,6,3,0,12
9,qm,blue,2481,4021,4624,67,67,15,52,28,21,3,0,0,15
10,qm,red,4296,2826,5339,78,78,15,60,12,30,18,3,0,15
10,qm,blue,5914,3061,648,66,66,15,51,18,18,15,0,0,15
11,qm,red,5003,967,4011,56,56,15,41,8,21,12,0,0,15
11,qm,blue,4786,167,2977,51,51,12,30,6,21,3,9,0,12
12,qm,red,5019,1986,3090,71,71,9,50,8,21,21,12,0,9
12,qm,blue,6317,4054,93,20,20,12,8,2,3,3,0,0,12
13,qm,red,4239,7432,6166,40,40,12,28,4,21,3,0,0,12
13,qm,blue,2338,7629,171,52,52,9,40,10,21,9,3,0,9
14,qm,red,4624,1306,2081,41,41,9,29,8,15,6,3,0,9
14,qm,blue,7048,6630,2667,45,45,15,30,0,18,12,0,0,15
15,qm,red,3692,4021,6381,45,45,6,33,6,18,9,6,0,6
15,qm,blue,3723,7596,6420,36,36,15,21,0,15,6,0,0,15
16,qm,red,269,7021,4818,75,75,6,59,8,30,21,10,0,6
16,qm,blue,6421,4655,5903,81,81,12,69,12,33,24,0,0,12
17,qm,red,111,6359,5976,57,57,9,42,6,21,15,6,0,9
