match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6334,1719,5546,78,78,15,63,18,24,21,0,0,15
1,qm,blue,4456,1610,1413,75,75,15,60,12,24,24,0,0,15
2,qm,red,539,2068,422,53,53,15,38,8,18,12,0,0,15
2,qm,blue,1599,1086,977,63,63,15,42,18,9,15,6,0,15
3,qm,red,4472,2914,836,52,52,9,43,10,15,18,0,0,9
3,qm,blue,5338,3748,2106,52,52,12,40,10,9,21,0,0,12
4,qm,red,1418,619,3939,65,65,12,53,20,18,15,0,0,12
4,qm,blue,346,686,4242,63,63,15,48,6,21,21,0,0,15
5,qm,red,4638,3359,339,61,61,15,36,6,18,12,10,0,15
5,qm,blue,6802,1727,2912,61,61,15,46,10,27,9,0,0,15
6,qm,red,2363,1731,5830,59,59,12,47,8,21,18,0,0,12
6,qm,blue,4541,540,4099,59,59,15,44,8,24,12,0,0,15
7,qm,red,2537,3793,449,70,70,9,61,10,30,21,0,0,9
7,qm,blue,2199,1111,5587,61,61,12,46,10,18,18,3,0,12
8,qm,red,7770,1123,1629,53,53,12,41,8,21,12,0,0,12
8,qm,blue,6543,384,401,74,74,12,59,20,18,21,3,0,12
9,qm,red,888,1885,614,69,69,15,54,12,27,15,0,0,15
9,qm,blue,2998,6882,3274,89,89,15,54,12,21,21,20,0,15
10,qm,red,1719,2534,2849,68,68,12,56,8,27,21,0,0,12
10,qm,blue,1262,3359,612,70,70,15,55,16,18,21,0,0,15
11,qm,red,1599,539,4638,42,42,9,33,6,9,18,0,0,9
11,qm,blue,4541,5338,4456,65,65,9,56,14,21,21,0,0,9
12,qm,red,540,6334,3793,82,82,15,67,16,33,18,0,0,15
12,qm,blue,977,836,619,94,94,15,79,22,36,21,0,0,15
13,qm,red,1418,686,422,70,70,12,58,16,33,9,0,0,12
13,qm,blue,5830,401,1123,54,54,12,42,12,12,18,0,0,12
14,qm,red,5587,6882,339,52,52,15,37,16,12,9,0,0,15
14,qm,blue,346,3274,1111,51,51,12,39,12,18,9,0,0,12
15,qm,red,2849,2199,1885,90,90,15,75,18,45,12,0,0,15
15,qm,blue,384,1413,4099,67,67,15,52,10,24,18,0,0,15
16,qm,red,4242,2998,1086,59,59,15,44,14,18,12,0,0,15
16,qm,blue,2912,2914,5546,65,65,15,50,8,21,21,0,0,15
17,qm,red,1731,6543,1629,67,67,9,58,16,21,21,0,0,9
17,qm,blue,3939,2106,888,55,55,12,43,4,18,21,0,0,12
18,qm,red,2363,2537,6802,75,75,15,60,12,27,21,0,0,15
18,qm,blue,4472,7770,612,56,56,9,37,4,18,15,10,0,9
19,qm,red,614,1727,2534,94,94,15,79,22,33,24,0,0,15
19,qm,blue,3748,1610,449,95,95,15,80,20,39,21,0,0,15
20,qm,red,6334,6882,1262,74,74,15,59,14,24,21,0,0,15
20,qm,blue,2068,686,3793,51,51,15,33,6,12,15,3,0,15
21,qm,red,2199,977,1418,111,111,12,99,24,51,24,0,0,12
21,qm,blue,3359,1719,1086,69,69,15,54,6,27,21,0,0,15
