match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3236,2370,558,90,90,15,75,24,33,18,0,0,15
1,qm,blue,4761,88,2523,71,71,9,59,14,27,18,3,0,9
2,qm,red,7869,716,5735,63,63,15,48,12,21,15,0,0,15
2,qm,blue,95,3958,7127,76,76,15,58,22,18,18,3,0,15
3,qm,red,1768,173,5687,96,96,12,84,24,42,18,0,0,12
3,qm,blue,166,1474,4311,75,75,15,60,24,24,12,0,0,15
4,qm,red,6329,176,4905,86,86,9,77,20,39,18,0,0,9
4,qm,blue,177,125,7416,83,83,12,71,20,33,18,0,0,12
5,qm,red,1922,1073,6691,65,65,15,50,14,18,18,0,0,15
5,qm,blue,238,172,181,76,76,12,64,16,30,18,0,0,12
6,qm,red,58,228,133,85,85,15,60,12,27,21,10,0,15
6,qm,blue,1735,509,4909,64,64,15,46,10,18,18,3,0,15
7,qm,red,1071,237,230,99,99,15,81,18,42,21,3,0,15
7,qm,blue,3654,501,2168,66,66,15,45,6,21,18,6,0,15
8,qm,red,195,5813,1721,54,54,9,42,12,27,3,3,0,9
8,qm,blue,178,69,7407,73,73,12,40,10,18,12,21,0,12
9,qm,red,2877,7438,5422,71,71,9,59,20,27,12,3,0,9
9,qm,blue,78,1519,1277,92,92,15,77,20,39,18,0,0,15
10,qm,red,3555,1058,3467,91,91,15,73,16,33,24,3,0,15
10,qm,blue,4041,1153,2067,79,79,15,64,16,30,18,0,0,15
11,qm,red,6691,3146,5962,38,38,9,29,8,6,15,0,0,9
11,qm,blue,1729,319,3958,61,61,12,49,22,12,15,0,0,12
12,qm,red,133,1735,125,87,87,12,72,18,33,21,3,0,12
12,qm,blue,177,1922,5687,86,86,12,74,26,27,21,0,0,12
13,qm,red,95,3236,58,77,77,15,56,14,30,12,6,0,15
13,qm,blue,1071,181,1073,86,86,15,68,20,30,18,3,0,15
14,qm,red,4311,195,238,80,80,9,71,20,30,21,0,0,9
14,qm,blue,2877,716,4761,51,51,12,30,18,6,6,9,0,12
15,qm,red,7407,501,2067,72,72,12,60,12,27,21,0,0,12
15,qm,blue,7127,5735,7438,52,52,6,46,10,27,9,0,0,6
16,qm,red,228,176,237,93,93,9,74,20,36,18,10,0,9
16,qm,blue,1721,3467,166,55,55,15,40,16,18,6,0,0,15
17,qm,red,7416,69,1768,60,60,12,48,18,15,15,0,0,12
17,qm,blue,3654,3146,2370,73,73,15,58,16,24,18,0,0,15
18,qm,red,173,4041,5962,51,51,15,36,12,9,15,0,0,15
