match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,6814,114,5089,114,114,5,5,Exited,None,None,0,0,0,0,76,6,0,0,3,0,0,0,0,70,Hang,Hang,Park,IsLevel,33,0,0,0
1,qm,blue,867,1661,7415,22,22,10,10,Exited,None,Exited,0,0,0,0,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,1,2,0
2,qm,red,8129,6934,2465,60,60,5,5,None,Exited,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,45,4,0,0
2,qm,blue,580,973,691,130,130,21,5,None,Exited,None,16,0,0,4,97,57,2,5,20,0,1,0,0,40,None,Hang,None,IsLevel,12,0,3,0
3,qm,red,2659,2102,5818,144,144,47,15,Exited,Exited,Exited,32,0,0,8,82,37,0,5,11,0,1,0,0,45,Park,Hang,None,IsLevel,15,6,0,0
3,qm,blue,8060,5285,7137,35,35,12,0,None,None,None,12,0,0,3,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,18,0,1,0
4,qm,red,3501,3309,3328,27,27,9,5,Exited,None,None,4,2,0,0,18,8,0,2,1,0,0,0,0,10,Park,Park,None,IsLevel,0,1,0,0
4,qm,blue,299,589,3863,129,129,15,5,None,Exited,None,10,0,1,1,111,21,0,1,9,0,1,0,0,90,Hang,Hang,Hang,IsLevel,3,0,0,0
5,qm,red,207,1159,4711,62,62,22,10,None,Exited,Exited,12,0,0,3,37,7,0,1,2,0,0,0,0,30,None,Hang,Park,NotLevel,3,1,1,0
5,qm,blue,696,359,3257,104,104,29,15,Exited,Exited,Exited,14,0,1,2,57,22,0,2,8,0,1,0,0,35,Park,Park,Hang,NotLevel,18,1,0,0
