match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,166,1153,1027,40,40,26,10,None,Exited,Exited,16,0,0,4,14,4,0,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
1,qm,blue,3623,181,6723,67,67,10,10,None,Exited,Exited,0,0,0,0,57,7,0,1,2,0,0,0,0,50,Park,Park,Hang,IsLevel,0,0,0,0
2,qm,red,2877,2370,2064,97,97,13,5,None,Exited,None,8,0,0,2,69,24,0,2,9,0,1,0,0,45,Park,Hang,None,IsLevel,15,0,0,0
2,qm,blue,2067,5491,1350,66,66,24,10,Exited,Exited,None,14,1,0,3,42,32,3,1,13,0,1,0,0,10,Park,None,Park,IsLevel,0,0,1,0
3,qm,red,2262,173,5746,66,66,18,10,Exited,None,Exited,8,0,0,2,12,2,2,0,0,0,0,0,0,10,Park,None,Park,NotLevel,36,0,0,0
3,qm,blue,7760,3555,5347,35,35,15,15,Exited,Exited,Exited,0,0,0,0,20,10,2,0,4,0,0,0,0,10,Park,None,Park,NotLevel,0,2,2,0
4,qm,red,1100,3719,1740,59,59,19,5,None,None,Exited,14,0,1,2,40,10,0,0,5,0,0,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
4,qm,blue,157,7153,2170,68,68,11,5,None,None,Exited,6,0,1,0,57,27,0,5,6,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
5,qm,red,1735,348,5112,50,50,37,15,Exited,Exited,Exited,22,0,1,4,13,3,3,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,2,0,0
5,qm,blue,2590,1991,4987,79,79,17,5,None,Exited,None,12,0,0,3,56,11,0,1,4,0,0,0,0,45,Hang,Park,None,IsLevel,6,0,0,0
6,qm,red,8013,316,61,103,103,14,10,Exited,None,Exited,4,0,0,1,71,6,2,0,2,0,0,0,0,65,None,Hang,Hang,IsLevel,18,0,0,0
6,qm,blue,6328,3182,190,55,55,22,10,Exited,Exited,None,12,0,2,0,33,28,0,2,11,0,1,0,0,5,None,None,Park,NotLevel,0,1,1,0
