match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4749,6932,1261,36,36,21,15,Exited,Exited,Exited,6,3,0,0,15,10,10,0,0,0,1,0,0,5,Park,None,None,IsLevel,0,1,0,0
1,qm,blue,5293,5109,6910,40,40,32,10,Exited,None,Exited,22,0,3,1,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,3,0,0,0
2,qm,red,3344,7104,6919,73,73,13,5,None,None,Exited,8,0,0,2,60,20,0,2,7,0,1,0,0,40,None,None,Hang,IsLevel,0,0,0,0
2,qm,blue,3494,7060,832,20,20,15,15,Exited,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
3,qm,red,1225,6887,7538,20,20,15,15,Exited,Exited,Exited,0,0,0,0,5,5,5,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,1,0
3,qm,blue,1648,3196,5608,32,32,5,5,None,Exited,None,0,0,0,0,12,12,0,0,6,0,0,0,0,0,None,None,None,IsLevel,15,0,0,0
4,qm,red,6829,4509,4701,25,25,5,5,Exited,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,15,0,0,0
4,qm,blue,1414,4468,8083,73,73,22,10,Exited,None,Exited,12,0,0,3,51,6,0,0,3,0,0,0,0,45,Park,None,Hang,IsLevel,0,0,1,0
5,qm,red,7427,5132,1746,16,16,0,0,None,None,None,0,0,0,0,13,8,0,2,1,0,0,0,0,5,None,None,Park,IsLevel,3,0,0,0
5,qm,blue,4188,5651,5727,104,104,35,15,Exited,Exited,Exited,20,0,0,5,69,19,0,3,5,0,1,0,0,50,Hang,Park,Park,IsLevel,0,1,0,0
6,qm,red,4189,1795,4749,21,21,10,10,Exited,None,Exited,0,0,0,0,11,1,1,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
6,qm,blue,1683,6919,6139,62,62,22,10,Exited,Exited,None,12,0,0,3,40,10,0,0,5,0,0,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
7,qm,red,5293,1261,1648,56,56,14,10,Exited,Exited,None,4,2,0,0,42,17,17,0,0,0,1,0,0,25,None,Hang,None,NotLevel,0,0,1,0
7,qm,blue,7104,6932,4509,58,58,27,15,Exited,Exited,Exited,12,0,0,3,16,6,0,0,3,0,0,0,0,10,Park,None,Park,NotLevel,15,0,0,0
8,qm,red,7060,6829,4189,14,14,5,5,None,None,Exited,0,0,0,0,9,4,4,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
8,qm,blue,1225,3344,5651,58,58,10,10,Exited,None,Exited,0,0,0,0,48,18,4,2,4,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
9,qm,red,1414,1746,4188,127,127,36,10,Exited,None,Exited,26,0,1,5,91,51,0,11,9,0,1,0,0,40,None,None,Hang,IsLevel,0,0,0,0
9,qm,blue,3494,8083,5727,95,95,35,15,Exited,Exited,Exited,20,0,0,5,60,10,0,0,5,0,1,0,0,50,Park,Park,Hang,IsLevel,0,0,0,0
10,qm,red,1795,3196,6139,15,15,5,5,None,Exited,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
10,qm,blue,5608,5109,4701,18,18,11,5,None,Exited,None,6,0,1,0,7,2,0,0,1,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
11,qm,red,4468,832,5132,36,36,26,10,None,Exited,Exited,16,0,2,1,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,1,0
11,qm,blue,6887,1683,7427,35,35,10,10,Exited,Exited,None,0,0,0,0,10,5,2,1,0,0,0,0,0,5,None,Park,None,IsLevel,15,0,0,0
12,qm,red,4749,7538,6139,45,45,15,15,Exited,Exited,Exited,0,0,0,0,15,5,3,0,1,0,0,0,0,10,Park,None,Park,IsLevel,15,0,0,0
12,qm,blue,7104,6910,1795,25,25,13,5,Exited,None,None,8,0,0,2,12,2,0,0,1,0,0,0,0,10,Park,None,Park,NotLevel,0,0,1,0
13,qm,red,4509,6887,832,48,48,15,15,Exited,Exited,Exited,0,0,0,0,18,3,3,0,0,0,0,0,0,15,Park,Park,Park,NotLevel,15,0,0,0
13,qm,blue,8083,1261,1746,111,111,26,10,Exited,Exited,None,16,2,0,3,85,30,11,3,5,0,1,0,0,55,Hang,Hang,Park,NotLevel,0,0,1,0
14,qm,red,6919,5727,6910,118,118,27,15,Exited,Exited,Exited,12,0,0,3,61,11,0,1,4,0,0,0,0,50,Hang,Park,Park,IsLevel,30,0,0,0
14,qm,blue,5651,5109,1683,63,63,21,15,Exited,Exited,Exited,6,0,1,0,42,32,0,6,7,0,1,0,0,10,None,Park,Park,IsLevel,0,0,2,0
15,qm,red,1225,5293,6932,29,29,14,10,Exited,Exited,None,4,0,0,1,15,5,5,0,0,0,0,0,0,10,Park,Park,None,NotLevel,0,0,0,0
15,qm,blue,1414,7427,4701,30,30,0,0,None,None,None,0,0,0,0,30,0,0,0,0,0,0,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
16,qm,red,5608,7538,4189,25,25,12,10,None,Exited,Exited,2,1,0,0,13,3,3,0,0,0,0,0,0,10,None,Park,Park,NotLevel,0,0,0,0
