match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,5747,1577,5038,37,37,19,15,Exited,Exited,Exited,4,0,0,1,18,8,0,0,4,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
1,qm,blue,2212,4590,2230,25,25,15,15,Exited,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,NotLevel,0,0,0,0
2,qm,red,7079,7845,2096,50,50,22,10,None,Exited,Exited,12,0,0,3,25,10,0,0,5,0,0,0,0,15,Park,Park,Park,NotLevel,3,0,1,0
2,qm,blue,1574,3034,6230,73,73,5,5,None,None,Exited,0,0,0,0,53,8,0,0,4,0,0,0,0,45,Hang,None,Park,IsLevel,15,1,0,0
3,qm,red,7177,7554,1943,48,48,14,10,None,Exited,Exited,4,2,0,0,19,4,0,0,2,0,0,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
3,qm,blue,7112,6738,6736,22,22,10,10,Exited,Exited,None,0,0,0,0,12,2,2,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,1,0
4,qm,red,5135,5990,6740,61,61,16,10,Exited,Exited,None,6,0,1,0,45,40,0,4,14,0,1,0,0,5,None,Park,None,NotLevel,0,0,0,0
4,qm,blue,3211,5715,4319,47,47,28,10,Exited,Exited,None,18,0,3,0,19,14,0,2,4,0,1,0,0,5,Park,None,None,IsLevel,0,0,0,0
5,qm,red,4661,4586,8333,63,63,27,15,Exited,Exited,Exited,12,0,0,3,18,8,0,0,4,0,0,0,0,10,None,Park,Park,IsLevel,18,0,0,0
5,qm,blue,3083,5554,8223,74,74,36,10,None,Exited,Exited,26,0,1,5,38,28,0,2,11,0,1,0,0,10,Park,Park,None,NotLevel,0,1,1,0
6,qm,red,6230,7554,1580,26,26,14,10,Exited,Exited,None,4,0,0,1,9,4,0,0,2,0,0,0,0,5,Park,None,None,IsLevel,3,1,0,0
6,qm,blue,5135,1937,2212,31,31,21,5,Exited,None,None,16,0,2,1,7,2,0,0,1,0,0,0,0,5,None,Park,None,IsLevel,3,1,0,0
7,qm,red,4319,6740,4586,44,44,9,5,None,None,Exited,4,0,0,1,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,30,2,0,0
7,qm,blue,2096,4661,1577,136,136,39,15,Exited,Exited,Exited,24,0,0,6,91,26,0,2,10,0,1,0,0,65,Hang,None,Hang,IsLevel,6,0,2,0
8,qm,red,3083,5715,7079,28,28,16,10,Exited,Exited,None,6,0,1,0,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,1,0,0
