match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,6093,3322,6081,62,62,19,15,Exited,Exited,Exited,4,0,0,1,43,18,4,2,4,0,1,0,0,25,None,None,Hang,NotLevel,0,0,0,0
1,qm,blue,6548,7894,2337,73,73,33,15,Exited,Exited,Exited,18,0,3,0,40,10,0,0,5,0,0,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
2,qm,red,5561,245,494,56,56,27,15,Exited,Exited,Exited,12,0,0,3,14,9,0,1,3,0,0,0,0,5,None,Park,None,NotLevel,15,0,1,0
2,qm,blue,5509,5150,5641,30,30,5,5,None,None,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,IsLevel,15,0,1,0
3,qm,red,5067,5260,5713,88,88,11,5,None,Exited,None,6,3,0,0,53,18,18,0,0,0,1,0,0,35,Park,Hang,Park,NotLevel,24,0,0,0
3,qm,blue,3568,5538,2145,69,69,10,10,Exited,None,Exited,0,0,0,0,59,9,9,0,0,0,1,0,0,50,Park,Park,Hang,IsLevel,0,3,1,0
4,qm,red,6610,5697,6102,27,27,22,10,Exited,Exited,None,12,0,0,3,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
4,qm,blue,7491,8385,5084,61,61,15,15,Exited,Exited,Exited,0,0,0,0,46,11,0,1,4,0,0,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
5,qm,red,4994,7784,1322,10,10,5,5,None,None,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,NotLevel,0,3,0,0
5,qm,blue,27,6091,7166,101,101,28,10,Exited,Exited,None,18,0,1,3,64,19,0,3,5,0,1,0,0,45,Hang,None,Park,IsLevel,9,0,0,0
6,qm,red,7056,3535,5527,54,54,10,10,Exited,Exited,None,0,0,0,0,14,4,0,0,2,0,0,0,0,10,Park,Park,None,NotLevel,30,1,1,0
6,qm,blue,8368,5215,4998,46,46,10,10,Exited,None,Exited,0,0,0,0,18,8,8,0,0,0,0,0,0,10,Park,None,Park,IsLevel,18,0,2,0
7,qm,red,5612,1506,7894,55,55,26,10,Exited,Exited,None,16,0,0,4,29,24,0,2,9,0,1,0,0,5,None,None,Park,IsLevel,0,0,0,0
7,qm,blue,5238,3542,5538,71,71,23,15,Exited,Exited,Exited,8,0,0,2,48,3,3,0,0,0,0,0,0,45,Hang,None,Park,IsLevel,0,0,0,0
8,qm,red,245,3322,5084,82,82,17,5,None,Exited,None,12,0,2,0,62,32,0,2,13,0,1,0,0,30,Hang,Park,None,NotLevel,3,1,0,0
8,qm,blue,8385,5697,5561,61,61,23,15,Exited,Exited,Exited,8,0,0,2,35,20,0,0,10,0,1,0,0,15,Park,Park,Park,NotLevel,3,1,0,0
9,qm,red,5713,6548,6610,22,22,10,10,None,Exited,Exited,0,0,0,0,12,2,0,0,1,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
9,qm,blue,5150,7166,2145,27,27,5,5,None,None,Exited,0,0,0,0,22,7,3,0,2,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
10,qm,red,6081,4998,5641,73,73,35,15,Exited,Exited,Exited,20,0,0,5,38,23,2,3,6,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
10,qm,blue,5612,6091,5260,35,35,10,10,None,Exited,Exited,0,0,0,0,25,0,0,0,0,0,0,0,0,25,None,None,Hang,NotLevel,0,0,0,0
11,qm,red,4994,27,5509,111,111,29,15,Exited,Exited,Exited,14,0,1,2,82,17,0,1,7,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,1,0
11,qm,blue,2337,7491,8368,121,121,62,10,Exited,Exited,None,52,0,8,1,44,14,4,0,5,0,1,0,0,30,Hang,None,Park,NotLevel,15,0,0,0
12,qm,red,1506,3535,3542,127,127,27,15,Exited,Exited,Exited,12,0,0,3,100,35,0,3,13,0,1,0,0,65,Hang,Hang,None,IsLevel,0,1,0,0
12,qm,blue,1322,494,5067,66,66,18,10,None,Exited,Exited,8,0,0,2,45,15,0,1,6,0,1,0,0,30,None,Park,Hang,NotLevel,3,0,0,0
13,qm,red,6102,5238,6093,99,99,10,10,None,Exited,Exited,0,0,0,0,41,11,7,0,2,0,1,0,0,30,None,Hang,Park,NotLevel,48,3,1,0
13,qm,blue,5215,7784,5527,50,50,10,10,Exited,None,Exited,0,0,0,0,16,1,1,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,24,1,3,0
14,qm,red,2337,3568,5713,116,116,35,5,Exited,None,None,30,0,5,0,69,19,3,0,8,0,1,0,0,50,Hang,Park,Park,IsLevel,12,0,0,0
14,qm,blue,7056,245,6610,58,58,15,15,Exited,Exited,Exited,0,0,0,0,43,13,0,1,5,0,0,0,0,30,Park,Hang,None,NotLevel,0,4,0,0
15,qm,red,1506,5150,6091,82,82,14,10,Exited,None,Exited,4,0,0,1,62,17,1,2,5,0,1,0,0,45,Hang,Park,None,IsLevel,6,0,1,0
15,qm,blue,5084,7894,3535,104,104,10,10,Exited,None,Exited,0,0,0,0,79,9,0,3,0,0,0,0,0,70,Hang,Park,Hang,IsLevel,15,2,0,0
16,qm,red,6102,1322,6081,50,50,17,5,None,None,Exited,12,0,0,3,33,3,0,1,0,0,0,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
16,qm,blue,5067,27,4998,63,63,31,15,Exited,Exited,Exited,16,0,0,4,32,27,0,1,12,0,1,0,0,5,None,None,Park,IsLevel,0,0,0,0
17,qm,red,7166,7491,7784,53,53,5,5,None,Exited,None,0,0,0,0,48,18,0,0,9,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
17,qm,blue,5612,3568,3322,103,103,43,15,Exited,Exited,Exited,28,0,2,4,60,45,4,3,16,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
18,qm,red,8368,6548,5238,71,71,14,10,None,Exited,Exited,4,2,0,0,57,12,12,0,0,0,1,0,0,45,None,Park,Hang,IsLevel,0,6,0,0
18,qm,blue,5260,8385,5641,73,73,27,15,Exited,Exited,Exited,12,0,0,3,28,18,18,0,0,0,1,0,0,10,Park,None,Park,IsLevel,18,0,0,0
19,qm,red,3542,494,7056,68,68,39,15,Exited,Exited,Exited,24,0,0,6,29,19,0,3,5,0,1,0,0,10,None,Park,Park,NotLevel,0,0,0,0
19,qm,blue,5697,4994,5527,51,51,15,15,Exited,Exited,Exited,0,0,0,0,36,1,1,0,0,0,0,0,0,35,Park,Hang,Park,NotLevel,0,0,0,0
20,qm,red,5215,6093,5538,60,60,15,15,Exited,Exited,Exited,0,0,0,0,30,15,5,0,5,0,1,0,0,15,Park,Park,Park,IsLevel,15,1,0,0
20,qm,blue,5509,5561,2145,89,89,22,10,None,Exited,Exited,12,0,0,3,64,14,12,0,1,0,1,0,0,50,Park,Hang,Park,IsLevel,3,0,1,0
21,qm,red,4998,1322,6548,40,40,10,10,Exited,None,Exited,0,0,0,0,30,15,13,0,1,0,1,0,0,15,Park,Park,Park,NotLevel,0,1,0,0
21,qm,blue,5238,7894,3568,63,63,16,10,Exited,None,Exited,6,3,0,0,44,9,9,0,0,0,1,0,0,35,Hang,Park,Park,NotLevel,3,0,0,0
22,qm,red,3322,5641,5527,104,104,37,15,Exited,Exited,Exited,22,0,1,4,67,37,1,6,9,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
22,qm,blue,245,5067,5150,39,39,10,10,Exited,Exited,None,0,0,0,0,29,4,0,0,2,0,0,0,0,25,None,Hang,None,NotLevel,0,0,0,0
23,qm,red,5084,7784,8368,61,61,10,10,Exited,None,Exited,0,0,0,0,48,18,14,0,2,0,1,0,0,30,Park,Hang,None,NotLevel,3,0,0,0
23,qm,blue,1506,6081,5697,125,125,39,15,Exited,Exited,Exited,24,0,0,6,86,31,6,3,8,0,1,0,0,55,Hang,Park,Hang,NotLevel,0,1,0,0
24,qm,red,6091,2145,6093,59,59,15,15,Exited,Exited,Exited,0,0,0,0,29,14,12,0,1,0,1,0,0,15,Park,Park,Park,IsLevel,15,1,0,0
24,qm,blue,3542,7491,4994,118,118,35,15,Exited,Exited,Exited,20,3,1,2,80,25,0,1,11,0,1,0,0,55,Park,Hang,Hang,NotLevel,3,0,1,0
25,qm,red,8385,5215,6610,59,59,19,15,Exited,Exited,Exited,4,0,0,1,22,7,0,1,2,0,0,0,0,15,Park,Park,Park,IsLevel,18,1,0,0
25,qm,blue,5538,6102,5260,69,69,21,15,Exited,Exited,Exited,6,3,0,0,45,15,15,0,0,0,1,0,0,30,Park,None,Hang,NotLevel,3,1,1,0
26,qm,red,494,3535,2337,117,117,35,15,Exited,Exited,Exited,20,0,2,2,82,12,0,2,3,0,1,0,0,70,Park,Hang,Hang,IsLevel,0,0,0,0
26,qm,blue,27,5713,7056,104,104,43,15,Exited,Exited,Exited,28,0,2,4,61,11,0,1,4,0,1,0,0,50,Hang,Park,Park,IsLevel,0,0,0,0
27,qm,red,5084,5509,5612,52,52,22,10,Exited,None,Exited,12,0,0,3,30,20,0,0,10,0,1,0,0,10,Park,None,Park,NotLevel,0,0,0,0
27,qm,blue,6548,7166,5561,60,60,28,10,Exited,None,Exited,18,3,0,3,32,7,7,0,0,0,1,0,0,25,None,None,Hang,NotLevel,0,0,0,0
28,qm,red,5238,1322,5150,54,54,17,5,Exited,None,None,12,3,1,0,34,4,4,0,0,0,0,0,0,30,Hang,Park,None,NotLevel,3,0,1,0
28,qm,blue,8368,3568,6093,59,59,15,15,Exited,Exited,Exited,0,0,0,0,29,14,12,0,1,0,1,0,0,15,Park,Park,Park,IsLevel,15,1,0,0
29,qm,red,3535,245,7491,116,116,27,15,Exited,Exited,Exited,12,0,0,3,89,24,0,2,9,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,0,0
29,qm,blue,5538,4994,3322,136,136,33,15,Exited,Exited,Exited,18,2,1,2,103,38,0,4,13,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
30,qm,red,3542,5561,5067,99,99,39,15,Exited,Exited,Exited,24,0,0,6,60,10,0,0,5,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
30,qm,blue,4998,7784,7056,59,59,18,10,Exited,None,Exited,8,0,0,2,41,11,0,1,4,0,0,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
31,qm,red,6091,5527,6081,109,109,33,15,Exited,Exited,Exited,18,3,0,3,61,11,1,0,5,0,1,0,0,50,Park,Park,Hang,IsLevel,15,0,0,0
31,qm,blue,7166,5713,8385,20,20,10,10,None,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,NotLevel,0,0,1,0
32,qm,red,2145,5612,494,78,78,35,15,Exited,Exited,Exited,20,0,0,5,40,25,10,1,6,0,1,0,0,15,Park,Park,Park,NotLevel,3,2,0,0
32,qm,blue,2337,6102,1506,132,132,51,15,Exited,Exited,Exited,36,0,6,0,75,45,0,3,18,0,1,0,0,30,Hang,None,Park,NotLevel,6,1,0,0
33,qm,red,5509,5215,5697,71,71,27,15,Exited,Exited,Exited,12,0,0,3,44,14,0,0,7,0,1,0,0,30,Park,None,Hang,NotLevel,0,1,1,0
33,qm,blue,5260,6610,27,165,165,45,15,Exited,Exited,Exited,30,2,3,2,102,37,15,0,11,0,1,0,0,65,Hang,None,Hang,IsLevel,18,0,0,0
34,qm,red,5641,8368,245,92,92,19,15,Exited,Exited,Exited,4,0,0,1,43,18,12,0,3,0,1,0,0,25,None,None,Hang,NotLevel,30,0,0,0
34,qm,blue,7894,4998,7166,37,37,17,5,None,Exited,None,12,0,0,3,20,5,0,1,1,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,2,0
35,qm,red,7784,6102,3542,90,90,19,15,Exited,Exited,Exited,4,0,0,1,71,26,3,1,10,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,1,0
35,qm,blue,5538,5713,5150,46,46,10,10,Exited,Exited,None,0,0,0,0,21,11,11,0,0,0,1,0,0,10,Park,Park,None,IsLevel,15,0,0,0
36,qm,red,5067,2337,5697,112,112,49,15,Exited,Exited,Exited,34,0,3,4,63,18,0,0,9,0,1,0,0,45,None,Hang,Park,IsLevel,0,0,0,0
36,qm,blue,3568,6548,5215,47,47,21,15,Exited,Exited,Exited,6,3,0,0,26,11,11,0,0,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
37,qm,red,5527,8385,5509,51,51,21,15,Exited,Exited,Exited,6,3,0,0,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
37,qm,blue,6093,5612,3535,89,89,29,15,Exited,Exited,Exited,14,0,1,2,60,15,0,1,6,0,1,0,0,45,None,Park,Hang,IsLevel,0,0,1,0
38,qm,red,6081,5561,4994,107,107,39,15,Exited,Exited,Exited,24,0,0,6,68,13,2,1,4,0,1,0,0,55,Park,Hang,Hang,NotLevel,0,1,0,0
38,qm,blue,6610,494,6091,55,55,27,15,Exited,Exited,Exited,12,0,0,3,25,10,0,2,2,0,0,0,0,15,Park,Park,Park,NotLevel,3,0,0,0
39,qm,red,5641,7056,5084,141,141,35,15,Exited,Exited,Exited,20,0,0,5,106,41,0,3,16,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
39,qm,blue,7491,1506,5238,106,106,35,15,Exited,Exited,Exited,20,0,0,5,71,36,2,0,17,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
40,qm,red,7894,5260,2145,82,82,16,10,None,Exited,Exited,6,3,0,0,63,13,13,0,0,0,1,0,0,50,Park,Hang,Park,IsLevel,3,1,4,0
40,qm,blue,1322,3322,27,145,145,50,10,None,Exited,Exited,40,0,4,4,32,32,0,2,13,0,1,0,0,0,None,None,None,IsLevel,63,1,0,0
41,qm,red,6548,6091,3535,86,86,33,15,Exited,Exited,Exited,18,0,3,0,53,18,4,4,1,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,1,0
41,qm,blue,6102,5612,245,91,91,18,10,Exited,None,Exited,8,0,0,2,58,23,3,2,7,0,1,0,0,35,Park,Park,Hang,NotLevel,15,0,0,0
42,qm,red,4998,5150,3568,66,66,14,10,Exited,None,Exited,4,0,0,1,22,7,7,0,0,0,0,0,0,15,Park,Park,Park,NotLevel,30,0,1,0
42,qm,blue,5215,7056,1506,94,94,31,15,Exited,Exited,Exited,16,0,0,4,48,43,0,1,20,0,1,0,0,5,Park,None,None,IsLevel,15,0,2,0
43,qm,red,3322,5067,7894,125,125,28,10,Exited,Exited,None,18,0,3,0,79,49,0,5,17,0,1,0,0,30,Hang,Park,None,NotLevel,18,1,0,0
43,qm,blue,494,8368,4994,89,89,15,15,Exited,Exited,Exited,0,0,0,0,71,21,15,2,0,0,1,0,0,50,Hang,None,Hang,NotLevel,3,1,1,0
44,qm,red,5260,5527,3542,97,97,23,15,Exited,Exited,Exited,8,0,0,2,74,29,15,0,7,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
44,qm,blue,6081,5538,7491,76,76,37,15,Exited,Exited,Exited,22,0,1,4,39,9,0,1,3,0,1,0,0,30,Hang,None,Park,NotLevel,0,0,0,0
45,qm,red,5561,5641,7784,52,52,31,15,Exited,Exited,Exited,16,0,0,4,15,5,0,1,1,0,0,0,0,10,Park,None,Park,IsLevel,6,0,1,0
45,qm,blue,8385,2145,2337,160,160,39,5,None,None,Exited,34,0,5,1,106,41,8,5,9,0,1,0,0,65,None,Hang,Hang,IsLevel,15,2,0,0
46,qm,red,27,5697,5238,138,138,51,15,Exited,Exited,Exited,36,2,2,5,87,17,1,2,5,0,1,0,0,70,Hang,Park,Hang,IsLevel,0,0,0,0
46,qm,blue,7166,6610,6093,64,64,29,15,Exited,Exited,Exited,14,0,1,2,35,25,0,3,8,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
47,qm,red,1322,5509,5538,48,48,14,10,None,Exited,Exited,4,0,0,1,19,9,6,1,0,0,0,0,0,10,None,Park,Park,IsLevel,15,0,0,0
47,qm,blue,5713,5084,4998,87,87,26,10,Exited,Exited,None,16,0,0,4,61,11,0,1,4,0,1,0,0,50,Park,Hang,Park,IsLevel,0,0,1,0
48,qm,red,7491,5215,5067,72,72,18,10,Exited,Exited,None,8,0,0,2,48,18,0,2,6,0,1,0,0,30,Hang,Park,None,NotLevel,6,0,1,0
48,qm,blue,6102,494,5641,72,72,27,15,Exited,Exited,Exited,12,0,0,3,30,15,0,1,6,0,1,0,0,15,Park,Park,Park,IsLevel,15,2,0,0
49,qm,red,5238,6081,7784,78,78,29,15,Exited,Exited,Exited,14,3,0,2,49,14,2,0,6,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
49,qm,blue,3322,3535,5561,160,160,57,15,Exited,Exited,Exited,42,0,5,3,103,38,0,6,10,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,0,0
50,qm,red,6610,5509,7894,60,60,18,10,Exited,Exited,None,8,0,0,2,24,14,0,0,7,0,1,0,0,10,Park,Park,None,IsLevel,18,0,0,0
50,qm,blue,5527,2145,1506,86,86,27,15,Exited,Exited,Exited,12,0,0,3,59,49,10,3,15,0,1,0,0,10,None,Park,Park,IsLevel,0,1,1,0
51,qm,red,6091,5713,8368,60,60,15,15,Exited,Exited,Exited,0,0,0,0,30,15,15,0,0,0,1,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
51,qm,blue,6093,5084,6548,90,90,25,15,Exited,Exited,Exited,10,0,1,1,65,15,13,0,1,0,1,0,0,50,Park,Hang,Park,IsLevel,0,0,1,0
52,qm,red,1322,7166,5260,50,50,10,10,None,Exited,Exited,0,0,0,0,40,0,0,0,0,0,0,0,0,40,None,None,Hang,IsLevel,0,0,2,0
