match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,3875,7226,7188,91,91,15,15,Exited,Exited,Exited,0,0,0,0,34,24,0,2,9,0,1,0,0,10,None,Park,Park,IsLevel,42,0,0,0
1,qm,blue,6567,7788,7789,16,16,5,5,None,Exited,None,0,0,0,0,11,1,1,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,4,2,0
2,qm,red,8380,5114,3641,75,75,43,15,Exited,Exited,Exited,28,0,0,7,32,22,0,0,11,0,1,0,0,10,Park,None,Park,NotLevel,0,1,2,0
2,qm,blue,3539,5860,5502,90,90,27,15,Exited,Exited,Exited,12,0,0,3,30,5,1,0,2,0,0,0,0,25,None,None,Hang,NotLevel,33,0,0,0
3,qm,red,8398,6616,4961,14,14,5,5,None,None,Exited,0,0,0,0,9,4,0,0,2,0,0,0,0,5,None,Park,None,NotLevel,0,0,0,0
3,qm,blue,6033,7196,217,15,15,15,15,Exited,Exited,Exited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
4,qm,red,5424,1718,5555,48,48,27,15,Exited,Exited,Exited,12,0,0,3,21,11,0,1,4,0,0,0,0,10,Park,Park,None,NotLevel,0,0,1,0
4,qm,blue,3175,135,2834,42,42,22,10,Exited,Exited,None,12,0,0,3,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,15,0,0,0
5,qm,red,302,7762,3302,42,42,10,10,Exited,Exited,None,0,0,0,0,29,4,2,0,1,0,0,0,0,25,Hang,None,None,NotLevel,3,0,0,0
5,qm,blue,5436,4827,4680,76,76,31,15,Exited,Exited,Exited,16,2,2,0,45,35,9,0,13,0,1,0,0,10,Park,Park,None,IsLevel,0,1,0,0
6,qm,red,772,6077,6190,79,79,27,15,Exited,Exited,Exited,12,0,2,0,37,7,0,1,2,0,0,0,0,30,Hang,Park,None,NotLevel,15,4,1,0
