match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,8179,4854,5197,14,14,5,5,Exited,None,None,0,0,0,0,9,4,0,0,2,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
1,qm,blue,5577,6013,3538,79,79,18,10,None,Exited,Exited,8,0,0,2,61,51,0,5,18,0,1,0,0,10,None,Park,Park,NotLevel,0,0,0,0
2,qm,red,6120,5498,240,45,45,15,5,None,None,Exited,10,0,1,1,12,2,0,0,1,0,0,0,0,10,None,Park,Park,NotLevel,18,0,0,0
2,qm,blue,7191,7856,548,58,58,22,10,None,Exited,Exited,12,0,0,3,36,6,0,0,3,0,0,0,0,30,Park,None,Hang,NotLevel,0,1,1,0
3,qm,red,5531,33,7145,60,60,9,5,None,None,Exited,4,0,0,1,21,16,0,0,8,0,1,0,0,5,Park,None,None,IsLevel,30,1,1,0
3,qm,blue,4840,835,4768,52,52,27,15,Exited,Exited,Exited,12,0,0,3,7,2,0,0,1,0,0,0,0,5,None,None,Park,IsLevel,18,0,2,0
4,qm,red,4130,94,5532,71,71,21,5,Exited,None,None,16,0,0,4,50,0,0,0,0,0,0,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
4,qm,blue,2591,5090,5695,30,30,15,15,Exited,Exited,Exited,0,0,0,0,15,5,5,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
5,qm,red,573,4758,8280,101,101,18,10,Exited,Exited,None,8,0,0,2,38,8,2,2,0,0,0,0,0,30,Hang,Park,None,NotLevel,45,0,1,0
5,qm,blue,247,1481,3096,64,64,22,10,Exited,None,Exited,12,0,0,3,27,17,3,0,7,0,1,0,0,10,Park,None,Park,IsLevel,15,0,3,0
6,qm,red,5214,3414,6742,99,99,15,15,Exited,Exited,Exited,0,0,0,0,15,5,5,0,0,0,0,0,0,10,Park,None,Park,NotLevel,69,0,0,0
6,qm,blue,7232,7716,7865,15,15,5,5,Exited,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,3,4,0
7,qm,red,5577,4130,5756,77,77,27,15,Exited,Exited,Exited,12,0,0,3,47,2,0,0,1,0,0,0,0,45,None,Hang,Park,IsLevel,3,0,0,0
7,qm,blue,3538,7692,835,53,53,23,15,Exited,Exited,Exited,8,0,0,2,30,25,0,5,5,0,1,0,0,5,None,None,Park,NotLevel,0,1,0,0
8,qm,red,5532,6120,7856,42,42,5,5,None,None,Exited,0,0,0,0,31,16,0,0,8,0,0,0,0,15,Park,Park,Park,IsLevel,6,0,0,0
8,qm,blue,573,4854,3096,46,46,27,15,Exited,Exited,Exited,12,0,0,3,19,9,5,0,2,0,1,0,0,10,Park,Park,None,IsLevel,0,2,0,0
9,qm,red,6013,8280,5214,44,44,10,10,Exited,None,Exited,0,0,0,0,19,4,4,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,15,0,2,0
9,qm,blue,3414,4768,5090,95,95,27,15,Exited,Exited,Exited,12,0,0,3,38,8,4,0,2,0,1,0,0,30,Park,Hang,None,NotLevel,30,0,1,0
10,qm,red,240,2591,7716,20,20,10,10,Exited,Exited,None,0,0,0,0,10,5,0,1,1,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
10,qm,blue,5756,5498,4840,25,25,15,15,Exited,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
11,qm,red,5695,1481,6742,159,159,19,15,Exited,Exited,Exited,4,0,0,1,80,15,3,0,6,0,1,0,0,65,None,Hang,Hang,IsLevel,60,0,0,0
