match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,3618,5086,4398,103,103,37,15,Exited,Exited,Exited,22,0,1,4,66,21,0,3,6,0,1,0,0,45,Park,Hang,None,IsLevel,0,0,4,0
1,qm,blue,5560,5504,5562,89,89,5,5,Exited,None,None,0,0,0,0,24,9,9,0,0,0,1,0,0,15,Park,Park,Park,IsLevel,60,0,0,0
2,qm,red,5314,7790,7808,16,16,0,0,None,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,6,0,0,0
2,qm,blue,7160,5183,5110,45,45,28,10,Exited,None,Exited,18,3,0,3,17,12,5,1,2,0,1,0,0,5,Park,None,None,IsLevel,0,2,0,0
3,qm,red,1596,5247,1918,135,135,26,10,None,Exited,Exited,16,0,2,1,94,29,2,1,12,0,1,0,0,65,Hang,None,Hang,IsLevel,15,2,0,0
3,qm,blue,7155,6121,6122,68,68,15,15,Exited,Exited,Exited,0,0,0,0,47,2,0,0,1,0,0,0,0,45,None,Hang,Park,IsLevel,6,0,1,0
4,qm,red,4377,7244,7208,94,94,33,15,Exited,Exited,Exited,18,0,1,3,61,11,4,1,2,0,1,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
4,qm,blue,3572,8041,8328,41,41,14,10,Exited,Exited,None,4,0,0,1,27,17,11,0,3,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
5,qm,red,1711,6561,7602,47,47,22,10,Exited,None,Exited,12,0,0,3,22,17,3,0,7,0,1,0,0,5,Park,None,None,IsLevel,3,1,0,0
5,qm,blue,5525,6097,3767,45,45,24,10,None,Exited,Exited,14,0,1,2,18,13,0,1,5,0,1,0,0,5,None,Park,None,IsLevel,3,1,0,0
6,qm,red,6074,3357,6087,122,122,21,15,Exited,Exited,Exited,6,3,0,0,92,27,13,0,7,0,1,0,0,65,None,Hang,Hang,IsLevel,9,0,0,0
6,qm,blue,6599,7855,8400,7,7,5,5,None,None,Exited,0,0,0,0,2,2,2,0,0,0,0,0,0,0,None,None,None,IsLevel,0,3,0,0
7,qm,red,3688,5247,4983,86,86,18,10,Exited,Exited,None,8,0,0,2,65,20,0,4,4,0,1,0,0,45,Hang,None,Park,IsLevel,3,0,0,0
7,qm,blue,4376,7808,4398,26,26,10,10,None,Exited,Exited,0,0,0,0,16,6,0,0,3,0,0,0,0,10,Park,Park,None,NotLevel,0,1,0,0
8,qm,red,6561,3572,3767,122,122,26,10,None,Exited,Exited,16,0,0,4,81,31,8,1,10,0,1,0,0,50,None,Hang,Hang,NotLevel,15,0,0,0
8,qm,blue,5314,8328,5562,10,10,0,0,None,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,1,0
9,qm,red,7155,5183,1918,92,92,18,10,Exited,None,Exited,8,0,0,2,74,44,0,2,19,0,1,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
9,qm,blue,7208,8041,7602,74,74,14,10,None,Exited,Exited,4,2,0,0,60,15,15,0,0,0,1,0,0,45,Park,None,Hang,IsLevel,0,0,0,0
10,qm,red,6097,6074,5504,56,56,27,15,Exited,Exited,Exited,12,0,0,3,29,19,3,0,8,0,1,0,0,10,Park,None,Park,NotLevel,0,0,0,0
10,qm,blue,4983,8400,5525,26,26,10,10,Exited,Exited,None,0,0,0,0,16,1,1,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
11,qm,red,7244,7855,5110,68,68,28,10,Exited,None,Exited,18,3,0,3,40,10,1,1,3,0,1,0,0,30,Hang,None,Park,NotLevel,0,0,1,0
11,qm,blue,3357,6122,3618,117,117,27,15,Exited,Exited,Exited,12,0,0,3,75,30,0,0,15,0,1,0,0,45,Hang,Park,None,IsLevel,15,0,0,0
12,qm,red,5086,6087,7790,101,101,28,10,Exited,Exited,None,18,3,0,3,73,23,13,0,5,0,1,0,0,50,Hang,Hang,None,NotLevel,0,2,1,0
12,qm,blue,4376,6121,4377,103,103,22,10,None,Exited,Exited,12,0,0,3,60,10,0,0,5,0,0,0,0,50,Park,Hang,Park,IsLevel,21,0,0,0
13,qm,red,7160,1711,5560,108,108,35,15,Exited,Exited,Exited,20,0,0,5,73,23,5,0,9,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
13,qm,blue,6599,1596,3688,55,55,17,5,None,None,Exited,12,0,0,3,38,8,0,0,4,0,0,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
