match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,1847,6843,4499,77,77,36,10,None,Exited,Exited,26,3,0,5,41,26,0,2,10,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
1,qm,blue,4522,2353,3928,114,114,31,15,Exited,Exited,Exited,16,0,0,4,83,33,0,1,15,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
2,qm,red,6420,1994,1939,32,32,10,10,Exited,Exited,None,0,0,0,0,7,2,2,0,0,0,0,0,0,5,None,Park,None,IsLevel,15,0,0,0
2,qm,blue,1108,1775,1986,137,137,15,15,Exited,Exited,Exited,0,0,0,0,122,57,1,10,13,0,1,0,0,65,Hang,None,Hang,IsLevel,0,0,1,0
3,qm,red,5119,3284,1769,147,147,47,15,Exited,Exited,Exited,32,0,0,8,100,35,0,1,16,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
3,qm,blue,7064,1810,1710,48,48,14,10,None,Exited,Exited,4,0,0,1,34,4,0,0,2,0,0,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
4,qm,red,1764,1982,2001,45,45,17,15,Exited,Exited,Exited,2,1,0,0,13,8,5,1,0,0,0,0,0,5,None,Park,None,IsLevel,15,0,0,0
4,qm,blue,5801,4959,525,115,115,41,15,Exited,Exited,Exited,26,0,1,5,74,39,0,1,18,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,1,0
5,qm,red,2723,5141,5918,51,51,22,10,Exited,Exited,None,12,0,2,0,29,19,0,3,5,0,1,0,0,10,Park,Park,None,IsLevel,0,0,1,0
5,qm,blue,2457,6805,1785,31,31,4,0,None,None,None,4,0,0,1,12,7,1,0,3,0,0,0,0,5,Park,None,None,IsLevel,15,0,0,0
6,qm,red,2357,1806,5268,26,26,5,5,Exited,None,None,0,0,0,0,3,3,1,0,1,0,0,0,0,0,None,None,None,IsLevel,18,0,1,0
6,qm,blue,1777,6886,1987,170,170,45,15,Exited,Exited,Exited,30,0,3,3,110,40,0,6,11,0,1,0,0,70,Park,Hang,Hang,IsLevel,15,1,1,0
7,qm,red,1775,2001,525,66,66,18,10,Exited,None,Exited,8,0,0,2,48,13,0,1,5,0,0,0,0,35,Park,Park,Hang,NotLevel,0,0,1,0
7,qm,blue,1710,5801,6420,84,84,31,15,Exited,Exited,Exited,16,0,0,4,38,8,0,0,4,0,0,0,0,30,Hang,Park,None,NotLevel,15,0,0,0
8,qm,red,1769,1785,1764,82,82,22,10,Exited,None,Exited,12,0,0,3,60,10,0,0,5,0,0,0,0,50,Hang,Park,Park,IsLevel,0,0,0,0
8,qm,blue,1810,3928,1986,91,91,30,10,None,Exited,Exited,20,0,2,2,61,36,4,4,10,0,1,0,0,25,Hang,None,None,NotLevel,0,0,0,0
9,qm,red,4499,1982,2353,66,66,29,15,Exited,Exited,Exited,14,3,0,2,37,27,7,0,10,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
9,qm,blue,5268,6805,1777,21,21,9,5,None,None,Exited,4,0,0,1,12,2,0,0,1,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
10,qm,red,1939,7064,1806,78,78,15,15,Exited,Exited,Exited,0,0,0,0,18,13,1,0,6,0,0,0,0,5,None,None,Park,IsLevel,45,0,0,0
10,qm,blue,1847,4522,2357,58,58,18,10,None,Exited,Exited,8,0,0,2,40,0,0,0,0,0,0,0,0,40,None,Hang,None,IsLevel,0,0,3,0
11,qm,red,3284,1987,2457,121,121,27,15,Exited,Exited,Exited,12,0,0,3,64,19,0,1,8,0,1,0,0,45,Hang,Park,None,IsLevel,30,1,0,0
