match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4584,6676,4010,25,25,10,10,Exited,None,Exited,0,0,0,0,12,2,0,0,1,0,0,0,0,10,Park,Park,None,IsLevel,3,0,0,0
1,qm,blue,5716,2283,6605,29,29,15,15,Exited,Exited,Exited,0,0,0,0,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,0,1,0,0
2,qm,red,6666,6106,5887,40,40,10,10,Exited,None,Exited,0,0,0,0,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
2,qm,blue,3510,6702,6156,19,19,5,5,None,Exited,None,0,0,0,0,14,4,0,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,0,1,0
3,qm,red,7102,5133,3354,45,45,22,10,None,Exited,Exited,12,0,0,3,23,8,0,0,4,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
3,qm,blue,5344,3522,7740,11,11,4,0,None,None,None,4,0,0,1,7,2,0,0,1,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
4,qm,red,5959,7421,3472,39,39,22,10,Exited,Exited,None,12,0,0,3,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,3,0,1,0
4,qm,blue,4731,6010,5696,43,43,16,10,Exited,None,Exited,6,3,0,0,12,2,2,0,0,0,0,0,0,10,Park,Park,None,IsLevel,15,1,0,0
5,qm,red,4782,7546,7725,47,47,14,10,None,Exited,Exited,4,0,0,1,30,0,0,0,0,0,0,0,0,30,Hang,Park,None,NotLevel,3,1,1,0
5,qm,blue,3933,5874,6965,81,81,22,10,Exited,Exited,None,12,0,0,3,41,1,1,0,0,0,0,0,0,40,Hang,None,None,IsLevel,18,1,0,0
6,qm,red,3478,6348,6017,135,135,14,10,Exited,Exited,None,4,0,0,1,97,32,10,2,8,0,1,0,0,65,Hang,Hang,None,IsLevel,24,0,0,0
6,qm,blue,3794,6652,7299,25,25,15,15,Exited,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,8,0,0
7,qm,red,8293,6832,4723,35,35,21,15,Exited,Exited,Exited,6,3,0,0,14,4,4,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,1,1,0
7,qm,blue,6170,5948,4635,66,66,10,10,None,Exited,Exited,0,0,0,0,38,23,0,1,10,0,1,0,0,15,Park,Park,Park,IsLevel,18,0,0,0
8,qm,red,3158,6605,6676,23,23,10,10,Exited,Exited,None,0,0,0,0,13,3,3,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,1,0
8,qm,blue,5696,4775,6666,39,39,15,15,Exited,Exited,Exited,0,0,0,0,9,4,4,0,0,0,0,0,0,5,None,Park,None,IsLevel,15,0,0,0
9,qm,red,5959,3794,6965,52,52,27,15,Exited,Exited,Exited,12,0,0,3,25,0,0,0,0,0,0,0,0,25,None,Hang,None,NotLevel,0,0,1,0
