match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7671,4816,6908,28,28,15,15,Exited,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,3,0,0,0
1,qm,blue,435,6565,5511,81,81,17,5,None,None,Exited,12,0,0,3,64,14,0,0,7,0,1,0,0,50,Park,Park,Hang,IsLevel,0,1,0,0
2,qm,red,5607,4291,3459,80,80,28,10,None,Exited,Exited,18,0,3,0,52,7,0,1,2,0,0,0,0,45,None,Park,Hang,IsLevel,0,1,0,0
2,qm,blue,6496,8090,2059,38,38,15,15,Exited,Exited,Exited,0,0,0,0,20,5,5,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,3,0,0,0
3,qm,red,3229,2642,5190,48,48,30,10,Exited,None,Exited,20,0,0,5,18,8,0,0,4,0,1,0,0,10,None,Park,Park,NotLevel,0,1,0,0
3,qm,blue,4828,5160,6240,66,66,9,5,Exited,None,None,4,0,0,1,54,14,10,0,2,0,1,0,0,40,None,Hang,None,IsLevel,3,0,0,0
4,qm,red,6500,4561,7763,30,30,10,10,None,Exited,Exited,0,0,0,0,20,10,0,0,5,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
4,qm,blue,5518,7265,5762,20,20,10,10,Exited,Exited,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
5,qm,red,7463,6004,7890,32,32,12,0,None,None,None,12,0,0,3,20,5,1,0,2,0,0,0,0,15,Park,Park,Park,IsLevel,0,5,2,0
5,qm,blue,5919,6502,3229,129,129,38,10,None,Exited,Exited,28,0,0,7,46,36,0,4,12,0,1,0,0,10,Park,None,Park,IsLevel,45,0,0,0
6,qm,red,5160,6500,5511,140,140,21,5,None,None,Exited,16,0,2,1,92,27,11,0,8,0,1,0,0,65,Hang,None,Hang,IsLevel,27,0,1,0
6,qm,blue,5190,5762,6240,47,47,9,5,Exited,None,None,4,0,0,1,23,18,0,2,6,0,1,0,0,5,Park,None,None,IsLevel,15,4,1,0
7,qm,red,6502,7265,8090,15,15,5,5,None,None,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
7,qm,blue,6908,2642,6565,37,37,10,10,Exited,Exited,None,0,0,0,0,27,17,0,1,7,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
8,qm,red,6496,5518,4816,49,49,10,10,Exited,None,Exited,0,0,0,0,36,6,6,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,3,0,0,0
8,qm,blue,4561,4828,7890,45,45,26,10,Exited,Exited,None,16,0,0,4,19,4,0,0,2,0,0,0,0,15,Park,Park,Park,NotLevel,0,1,0,0
9,qm,red,435,7763,7463,19,19,5,5,None,Exited,None,0,0,0,0,14,4,4,0,0,0,0,0,0,10,None,Park,Park,NotLevel,0,0,1,0
9,qm,blue,6004,5607,2059,55,55,10,10,Exited,None,Exited,0,0,0,0,30,0,0,0,0,0,0,0,0,30,Park,None,Hang,NotLevel,15,0,0,0
10,qm,red,3229,7671,3459,62,62,22,10,None,Exited,Exited,12,0,0,3,40,0,0,0,0,0,0,0,0,40,None,None,Hang,IsLevel,0,0,0,0
10,qm,blue,5919,7265,4291,10,10,5,5,None,None,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
11,qm,red,7763,4816,6496,54,54,15,15,Exited,Exited,Exited,0,0,0,0,24,9,9,0,0,0,1,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
11,qm,blue,435,6240,6502,73,73,18,10,None,Exited,Exited,8,0,0,2,55,25,0,3,8,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,1,0
12,qm,red,6908,5762,4291,20,20,10,10,Exited,None,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
12,qm,blue,3459,4828,5190,107,107,43,15,Exited,Exited,Exited,28,0,0,7,64,14,0,0,7,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
13,qm,red,7671,5919,8090,26,26,10,10,Exited,None,Exited,0,0,0,0,16,6,4,0,1,0,0,0,0,10,Park,Park,None,IsLevel,0,1,0,0
13,qm,blue,7890,5518,5511,95,95,34,10,Exited,None,Exited,24,0,2,3,58,13,0,3,2,0,1,0,0,45,Park,None,Hang,IsLevel,3,0,0,0
14,qm,red,2059,7463,6565,49,49,19,5,Exited,None,None,14,0,1,2,15,5,0,1,1,0,0,0,0,10,Park,None,Park,NotLevel,15,0,4,0
14,qm,blue,5607,5160,2642,87,87,16,10,None,Exited,Exited,6,3,0,0,11,6,2,0,2,0,0,0,0,5,None,Park,None,IsLevel,60,0,1,0
