match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,3042,8002,4607,162,162,46,10,Exited,Exited,None,36,0,4,3,116,51,0,1,24,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
1,qm,blue,3082,7048,5998,44,44,5,5,Exited,None,None,0,0,0,0,39,4,0,0,2,0,0,0,0,35,Park,Hang,Park,NotLevel,0,0,0,0
2,qm,red,3313,5913,4663,90,90,34,10,None,Exited,Exited,24,0,2,3,56,21,0,1,9,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
2,qm,blue,2239,3299,3871,77,77,27,15,Exited,Exited,Exited,12,0,0,3,50,15,6,1,3,0,1,0,0,35,Park,Hang,Park,NotLevel,0,0,0,0
3,qm,red,2500,2227,5658,47,47,5,5,None,None,Exited,0,0,0,0,42,7,7,0,0,0,0,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
3,qm,blue,2450,3297,876,50,50,22,10,Exited,None,Exited,12,0,0,3,28,18,0,0,9,0,1,0,0,10,None,Park,Park,NotLevel,0,0,0,0
4,qm,red,3300,3007,3206,92,92,29,15,Exited,Exited,Exited,14,0,1,2,54,24,0,2,9,0,1,0,0,30,None,Park,Hang,NotLevel,9,0,2,0
4,qm,blue,1619,4648,3926,147,147,53,15,Exited,Exited,Exited,38,0,5,2,64,54,0,6,18,0,1,0,0,10,Park,None,Park,NotLevel,30,3,0,0
5,qm,red,5172,4536,877,107,107,34,10,Exited,Exited,None,24,0,0,6,58,53,5,6,15,0,1,0,0,5,None,None,Park,IsLevel,15,0,2,0
5,qm,blue,4239,2549,3750,141,141,35,15,Exited,Exited,Exited,20,0,0,5,76,46,0,2,20,0,1,0,0,30,Park,None,Hang,NotLevel,30,0,1,0
6,qm,red,3277,7532,4506,41,41,14,0,None,None,None,14,0,1,2,12,2,2,0,0,0,0,0,0,10,None,Park,Park,IsLevel,15,2,0,0
6,qm,blue,7858,7028,4360,66,66,39,15,Exited,Exited,Exited,24,0,2,3,21,11,0,1,4,0,1,0,0,10,None,Park,Park,IsLevel,6,0,1,0
7,qm,red,2977,2847,8188,112,112,20,10,None,Exited,Exited,10,0,1,1,77,42,0,4,15,0,1,0,0,35,Park,Hang,Park,NotLevel,15,0,0,0
7,qm,blue,4539,8255,4593,146,146,41,15,Exited,Exited,Exited,26,0,1,5,105,35,0,3,13,0,1,0,0,70,Hang,Park,Hang,IsLevel,0,0,1,0
8,qm,red,8298,7257,2472,58,58,21,5,None,None,Exited,16,0,2,1,37,7,1,0,3,0,0,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
8,qm,blue,6707,7677,5638,56,56,11,5,Exited,None,None,6,0,1,0,45,15,1,0,7,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
9,qm,red,2883,1792,3130,152,152,27,15,Exited,Exited,Exited,12,0,0,3,110,50,10,0,20,10,1,1,0,50,Hang,None,Hang,NotLevel,15,0,0,0
9,qm,blue,2129,5653,2654,91,91,33,15,Exited,Exited,Exited,18,2,1,2,58,23,6,1,7,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,1,0
10,qm,red,3298,4198,3293,96,96,4,0,None,None,None,4,0,0,1,77,32,0,4,10,0,1,0,0,45,None,Park,Hang,IsLevel,15,0,0,0
10,qm,blue,7578,5929,6175,37,37,10,10,Exited,None,Exited,0,0,0,0,27,2,0,0,1,0,0,0,0,25,None,Hang,None,NotLevel,0,0,1,0
11,qm,red,4239,4360,4506,37,37,25,15,Exited,Exited,Exited,10,0,1,1,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
11,qm,blue,3206,2239,3297,112,112,41,15,Exited,Exited,Exited,26,0,1,5,71,36,0,4,12,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
