match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7822,319,5265,79,79,5,5,None,Exited,None,0,0,0,0,74,24,0,0,12,0,1,0,0,50,Park,Hang,Park,IsLevel,0,0,0,0
1,qm,blue,133,1831,4905,131,131,30,10,Exited,None,Exited,20,0,0,5,101,36,0,2,15,0,1,0,0,65,Hang,None,Hang,IsLevel,0,0,0,0
2,qm,red,7913,151,131,37,37,9,5,Exited,None,None,4,2,0,0,13,13,0,1,5,0,0,0,0,0,None,None,None,NotLevel,15,3,0,0
2,qm,blue,467,1729,8421,24,24,5,5,None,Exited,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,NotLevel,9,0,1,0
3,qm,red,4929,1519,8046,132,132,40,10,Exited,Exited,None,30,0,1,6,62,32,0,2,13,0,1,0,0,30,Park,Hang,None,NotLevel,30,1,0,0
3,qm,blue,6691,5633,1307,18,18,10,10,Exited,Exited,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,NotLevel,3,0,2,0
4,qm,red,6763,7126,1058,10,10,5,5,None,None,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,1,0
4,qm,blue,4761,663,6933,82,82,23,5,None,None,Exited,18,3,0,3,44,9,9,0,0,0,1,0,0,35,Hang,Park,Park,NotLevel,15,0,0,0
5,qm,red,501,811,6153,69,69,26,10,Exited,Exited,None,16,0,0,4,43,28,0,2,11,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
5,qm,blue,5902,7133,4909,28,28,10,10,Exited,None,Exited,0,0,0,0,18,13,0,1,5,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
6,qm,red,6690,1512,1247,65,65,15,15,Exited,Exited,Exited,0,0,0,0,17,2,0,0,1,0,0,0,0,15,Park,Park,Park,IsLevel,33,0,0,0
6,qm,blue,6161,3597,7416,39,39,27,15,Exited,Exited,Exited,12,0,0,3,12,2,0,0,1,0,0,0,0,10,Park,Park,None,NotLevel,0,1,2,0
7,qm,red,1517,95,1831,68,68,18,10,Exited,Exited,None,8,0,0,2,50,40,0,0,20,0,1,0,0,10,Park,Park,None,NotLevel,0,0,1,0
7,qm,blue,5687,1058,3566,100,100,24,10,Exited,Exited,None,14,0,1,2,61,46,0,4,17,0,1,0,0,15,Park,Park,Park,NotLevel,15,0,0,0
8,qm,red,4905,811,6933,102,102,33,15,Exited,Exited,Exited,18,3,0,3,66,36,12,0,12,0,1,0,0,30,Hang,None,Park,NotLevel,3,0,0,0
8,qm,blue,8421,131,6153,42,42,5,5,None,None,Exited,0,0,0,0,37,27,0,1,12,0,1,0,0,10,Park,None,Park,IsLevel,0,1,0,0
9,qm,red,7913,1247,5265,49,49,19,15,Exited,Exited,Exited,4,2,0,0,24,14,14,0,0,0,1,0,0,10,Park,Park,None,NotLevel,6,0,0,0
9,qm,blue,4909,4929,6763,74,74,22,10,Exited,Exited,None,12,0,0,3,52,22,0,0,11,0,1,0,0,30,Hang,Park,None,NotLevel,0,2,0,0
10,qm,red,1729,7126,663,48,48,5,5,Exited,None,None,0,0,0,0,43,3,0,1,0,0,0,0,0,40,None,None,Hang,IsLevel,0,0,0,0
10,qm,blue,3566,8046,7416,99,99,42,10,Exited,Exited,None,32,0,2,5,57,27,0,3,9,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
