match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,3777,3201,3173,50,50,5,5,Exited,None,None,0,0,0,0,30,20,0,2,7,0,1,0,0,10,Park,Park,None,NotLevel,15,0,2,0
1,qm,blue,4085,6181,3504,108,108,47,15,Exited,Exited,Exited,32,0,0,8,31,21,2,1,8,0,1,0,0,10,Park,Park,None,NotLevel,30,0,1,0
2,qm,red,5492,706,1317,68,68,15,15,Exited,Exited,Exited,0,0,0,0,50,35,14,1,9,0,1,0,0,15,Park,Park,Park,IsLevel,3,0,0,0
2,qm,blue,6834,279,1038,62,62,10,10,None,Exited,Exited,0,0,0,0,52,17,7,0,5,0,1,0,0,35,Park,Hang,Park,NotLevel,0,1,0,0
3,qm,red,117,677,5413,121,121,43,15,Exited,Exited,Exited,28,0,2,4,48,18,0,2,6,0,1,0,0,30,Park,None,Hang,NotLevel,30,0,3,0
3,qm,blue,7434,2603,4284,74,74,17,5,None,None,Exited,12,0,0,3,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,45,0,2,0
4,qm,red,4027,4611,4283,66,66,31,15,Exited,Exited,Exited,16,0,0,4,35,25,3,2,8,0,1,0,0,10,Park,Park,None,NotLevel,0,0,1,0
4,qm,blue,4028,6032,1787,79,79,29,15,Exited,Exited,Exited,14,3,0,2,35,25,3,0,11,0,1,0,0,10,None,Park,Park,NotLevel,15,0,0,0
5,qm,red,2081,3193,1511,121,121,27,15,Exited,Exited,Exited,12,0,0,3,91,36,0,2,15,0,1,0,0,55,Hang,Park,Hang,NotLevel,3,0,0,0
5,qm,blue,3324,4467,329,99,99,33,15,Exited,Exited,Exited,18,0,1,3,66,36,0,0,18,0,1,0,0,30,Hang,Park,None,NotLevel,0,1,0,0
6,qm,red,695,1014,3814,97,97,40,10,Exited,None,Exited,30,0,1,6,57,22,0,0,11,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
6,qm,blue,7486,2783,2252,134,134,37,15,Exited,Exited,Exited,22,0,1,4,97,47,0,1,22,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
7,qm,red,3266,340,4145,96,96,31,15,Exited,Exited,Exited,16,0,0,4,62,32,0,0,16,0,1,0,0,30,Hang,None,Park,NotLevel,3,0,2,0
7,qm,blue,4269,4521,5811,66,66,24,10,None,Exited,Exited,14,0,1,2,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,30,1,0,0
8,qm,red,6936,6927,8027,84,84,25,15,Exited,Exited,Exited,10,0,1,1,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,45,0,3,0
8,qm,blue,8289,128,5667,134,134,37,15,Exited,Exited,Exited,22,3,2,1,52,12,8,0,2,0,1,0,0,40,None,Hang,None,IsLevel,45,0,3,0
9,qm,red,325,554,1736,143,143,30,10,None,Exited,Exited,20,2,0,4,113,43,5,6,10,0,1,0,0,70,Park,Hang,Hang,IsLevel,0,0,1,0
9,qm,blue,3138,1507,7460,110,110,14,10,None,Exited,Exited,4,0,0,1,81,51,0,3,21,0,1,0,0,30,None,Park,Hang,NotLevel,15,0,0,0
10,qm,red,379,4930,1559,69,69,19,15,Exited,Exited,Exited,4,0,0,1,50,40,1,1,18,0,1,0,0,10,None,Park,Park,NotLevel,0,1,1,0
10,qm,blue,144,7515,4991,101,101,27,15,Exited,Exited,Exited,12,0,0,3,56,26,2,4,6,0,1,0,0,30,None,Park,Hang,NotLevel,18,0,0,0
11,qm,red,3193,706,6181,74,74,45,15,Exited,Exited,Exited,30,0,3,3,29,19,0,1,8,0,1,0,0,10,Park,Park,None,IsLevel,0,1,1,0
11,qm,blue,7434,7486,2081,42,42,10,10,None,Exited,Exited,0,0,0,0,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,18,0,0,0
12,qm,red,4085,340,1787,121,121,15,15,Exited,Exited,Exited,0,0,0,0,106,76,0,2,35,0,1,0,0,30,Hang,None,Park,NotLevel,0,0,0,0
12,qm,blue,2603,1014,1511,84,84,34,10,Exited,None,Exited,24,0,0,6,50,20,0,0,10,0,1,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
13,qm,red,5811,6032,279,33,33,15,15,Exited,Exited,Exited,0,0,0,0,18,8,4,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,1,1,0
13,qm,blue,4028,4284,128,104,104,29,15,Exited,Exited,Exited,14,3,0,2,57,12,12,0,0,0,1,0,0,45,Park,None,Hang,IsLevel,18,0,0,0
14,qm,red,3138,1317,329,76,76,27,15,Exited,Exited,Exited,12,0,0,3,34,24,14,0,5,0,1,0,0,10,Park,Park,None,IsLevel,15,0,0,0
14,qm,blue,3814,3777,677,86,86,31,15,Exited,Exited,Exited,16,2,0,3,55,0,0,0,0,0,0,0,0,55,Hang,Hang,Park,NotLevel,0,0,1,0
15,qm,red,7515,3504,325,30,30,13,5,None,Exited,None,8,0,0,2,17,7,2,1,1,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
15,qm,blue,4991,1038,6936,55,55,15,15,Exited,Exited,Exited,0,0,0,0,40,35,0,7,7,0,1,0,0,5,Park,None,None,IsLevel,0,0,0,0
