match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,6867,3739,5885,54,54,22,10,Exited,None,Exited,12,0,0,3,32,2,0,0,1,0,0,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
1,qm,blue,1374,6110,4946,94,94,10,10,None,Exited,Exited,0,0,0,0,84,19,0,3,5,0,0,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
2,qm,red,610,4907,3161,129,129,49,5,Exited,None,None,44,0,2,8,80,15,0,3,3,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,0,0
2,qm,blue,7721,6141,7800,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
3,qm,red,6987,2994,2200,60,60,13,5,None,None,Exited,8,0,0,2,47,17,0,3,4,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
3,qm,blue,7480,8072,907,80,80,22,10,Exited,None,Exited,12,0,0,3,58,33,0,5,9,0,1,0,0,25,None,Hang,None,NotLevel,0,0,0,0
4,qm,red,8081,2609,188,161,161,37,15,Exited,Exited,Exited,22,2,3,0,124,34,12,2,8,0,1,0,0,90,Hang,Hang,Hang,IsLevel,0,0,0,0
4,qm,blue,6140,8089,5036,20,20,5,5,None,Exited,None,0,0,0,0,15,5,5,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
5,qm,red,4976,7564,7603,68,68,22,10,Exited,None,Exited,12,0,0,3,46,11,1,0,5,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
5,qm,blue,6135,4476,7614,93,93,20,10,Exited,Exited,None,10,0,1,1,73,28,3,1,11,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
6,qm,red,4039,6875,6323,96,96,24,10,Exited,Exited,None,14,0,1,2,57,17,4,3,2,0,1,0,0,40,Hang,None,None,IsLevel,15,0,0,0
6,qm,blue,7902,6514,7735,23,23,10,10,Exited,Exited,None,0,0,0,0,13,8,4,0,2,0,0,0,0,5,None,None,Park,IsLevel,0,0,1,0
7,qm,red,6987,7721,3161,25,25,0,0,None,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,15,0,0,0
7,qm,blue,8072,5036,5885,90,90,28,10,None,Exited,Exited,18,0,1,3,62,12,0,0,6,0,1,0,0,50,Park,Park,Hang,IsLevel,0,0,1,0
8,qm,red,7800,7564,3739,10,10,0,0,None,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,1,0,0
8,qm,blue,7614,2200,6141,101,101,25,5,None,Exited,None,20,0,0,5,73,33,9,0,12,0,1,0,0,40,None,Hang,None,IsLevel,3,0,0,0
9,qm,red,4976,1374,4907,36,36,31,5,None,None,Exited,26,0,1,5,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,5,0,0
9,qm,blue,2609,7902,8089,79,79,18,10,Exited,Exited,None,8,4,0,0,46,31,29,0,1,0,1,0,0,15,Park,Park,Park,NotLevel,15,0,0,0
10,qm,red,6110,7735,7603,91,91,27,15,Exited,Exited,Exited,12,0,0,3,64,9,4,1,1,0,1,0,0,55,Hang,Park,Hang,NotLevel,0,0,2,0
10,qm,blue,4946,8081,907,128,128,15,15,Exited,Exited,Exited,0,0,0,0,83,18,0,2,6,0,0,0,0,65,Hang,Hang,None,IsLevel,30,0,0,0
11,qm,red,610,6323,7480,138,138,40,10,Exited,None,Exited,30,0,1,6,80,30,0,0,15,0,1,0,0,50,Hang,Park,Park,IsLevel,18,1,0,0
11,qm,blue,4476,6514,4039,99,99,29,15,Exited,Exited,Exited,14,0,1,2,67,17,0,3,4,0,1,0,0,50,Park,Park,Hang,IsLevel,3,1,1,0
12,qm,red,188,2994,6875,125,125,50,10,Exited,None,Exited,40,0,2,7,75,30,0,4,9,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
12,qm,blue,6140,6135,6867,32,32,27,15,Exited,Exited,Exited,12,0,2,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,NotLevel,0,0,0,0
13,qm,red,7564,5885,8081,106,106,27,15,Exited,Exited,Exited,12,0,0,3,79,14,6,0,4,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
