match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,3024,5468,6465,21,21,5,5,Exited,None,None,0,0,0,0,13,3,3,0,0,0,0,0,0,10,None,Park,Park,IsLevel,3,0,1,0
1,qm,blue,5085,3711,5450,79,79,22,10,None,Exited,Exited,12,0,0,3,42,2,0,0,1,0,0,0,0,40,None,Hang,None,IsLevel,15,1,0,0
2,qm,red,2471,7448,1571,40,40,36,10,Exited,Exited,None,26,3,0,5,4,4,0,0,2,0,1,0,0,0,None,None,None,IsLevel,0,0,1,0
2,qm,blue,6696,1540,2898,84,84,0,0,None,None,None,0,0,0,0,69,39,0,5,12,0,1,0,0,30,Park,Hang,None,NotLevel,15,0,0,0
3,qm,red,2811,2550,6343,24,24,10,10,Exited,None,Exited,0,0,0,0,14,4,0,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
3,qm,blue,6845,847,1425,87,87,33,15,Exited,Exited,Exited,18,3,0,3,54,4,0,0,2,0,0,0,0,50,Park,Park,Hang,IsLevel,0,0,0,0
4,qm,red,3674,360,3636,74,74,25,15,Exited,Exited,Exited,10,0,1,1,49,39,0,5,12,0,1,0,0,10,Park,None,Park,IsLevel,0,0,0,0
4,qm,blue,753,2915,5803,20,20,10,10,Exited,Exited,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
5,qm,red,1510,5977,2521,75,75,26,10,Exited,None,Exited,16,2,0,3,49,4,0,0,2,0,0,0,0,45,Hang,None,Park,IsLevel,0,0,1,0
5,qm,blue,3223,4127,4488,93,93,10,10,Exited,None,Exited,0,0,0,0,68,23,0,1,10,0,1,0,0,45,Park,None,Hang,IsLevel,15,0,0,0
6,qm,red,3812,2411,6831,64,64,14,10,None,Exited,Exited,4,2,0,0,20,10,10,0,0,0,1,0,0,10,Park,None,Park,NotLevel,30,0,1,0
6,qm,blue,1432,2990,5295,85,85,15,15,Exited,Exited,Exited,0,0,0,0,55,25,1,2,9,0,1,0,0,30,Park,Hang,None,NotLevel,15,0,2,0
