match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,1811,3974,816,27,27,14,10,Exited,Exited,None,4,2,0,0,13,3,3,0,0,0,0,0,0,10,Park,Park,None,NotLevel,0,0,1,0
1,qm,blue,5895,4575,7414,77,77,24,10,None,Exited,Exited,14,0,1,2,38,28,0,2,11,0,1,0,0,10,Park,Park,None,IsLevel,15,0,0,0
2,qm,red,1218,365,3314,180,180,55,15,Exited,Exited,Exited,40,0,2,7,125,35,0,3,13,0,1,0,0,90,Hang,Hang,Hang,IsLevel,0,0,0,0
2,qm,blue,1089,1403,5113,81,81,18,10,Exited,Exited,None,8,0,0,2,63,53,0,9,13,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
3,qm,red,1712,103,2458,69,69,15,15,Exited,Exited,Exited,0,0,0,0,39,29,0,1,13,0,1,0,0,10,None,Park,Park,IsLevel,15,0,0,0
3,qm,blue,7110,1640,708,73,73,35,15,Exited,Exited,Exited,20,3,1,2,38,28,3,1,11,0,1,0,0,10,Park,Park,None,IsLevel,0,0,1,0
4,qm,red,2729,2559,2234,42,42,5,5,None,None,Exited,0,0,0,0,22,12,0,0,6,0,0,0,0,10,Park,Park,None,NotLevel,15,0,1,0
4,qm,blue,709,2539,2495,53,53,14,10,Exited,None,Exited,4,0,0,1,24,14,0,0,7,0,0,0,0,10,Park,None,Park,NotLevel,15,0,1,0
5,qm,red,423,6808,2095,47,47,5,5,None,None,Exited,0,0,0,0,27,2,0,0,1,0,0,0,0,25,Hang,None,None,NotLevel,15,0,0,0
5,qm,blue,1647,1168,484,100,100,37,15,Exited,Exited,Exited,22,3,0,4,63,8,6,0,1,0,1,0,0,55,Park,Hang,Hang,NotLevel,0,0,1,0
