match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,108,2614,343,149,149,17,5,None,Exited,None,12,0,0,3,105,40,0,2,17,0,1,0,0,65,None,Hang,Hang,IsLevel,27,0,0,0
1,qm,blue,4451,6167,4073,83,83,39,15,Exited,Exited,Exited,24,0,0,6,44,34,3,3,11,0,1,0,0,10,Park,Park,None,IsLevel,0,9,0,0
2,qm,red,5410,6222,5022,8,8,0,0,None,None,None,0,0,0,0,8,3,1,0,1,0,0,0,0,5,None,None,Park,NotLevel,0,0,0,0
2,qm,blue,4533,3489,1319,65,65,21,15,Exited,Exited,Exited,6,3,0,0,44,9,9,0,0,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
3,qm,red,1051,5943,4748,29,29,19,5,Exited,None,None,14,0,1,2,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
3,qm,blue,6961,3490,1293,79,79,15,15,Exited,Exited,Exited,0,0,0,0,64,19,5,0,7,0,1,0,0,45,Park,Hang,None,IsLevel,0,0,0,0
4,qm,red,342,1287,4075,95,95,35,15,Exited,Exited,Exited,20,0,0,5,60,10,0,0,5,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
4,qm,blue,4471,281,3492,58,58,27,15,Exited,Exited,Exited,12,0,0,3,31,16,0,0,8,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
5,qm,red,5842,7085,4050,68,68,26,10,None,Exited,Exited,16,0,2,1,42,12,0,0,6,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,1,0
5,qm,blue,1539,283,1758,72,72,22,10,None,Exited,Exited,12,0,0,3,35,25,0,1,11,0,1,0,0,10,None,Park,Park,IsLevel,15,0,0,0
6,qm,red,6366,3653,846,74,74,19,5,Exited,None,None,14,0,1,2,55,5,0,1,1,0,0,0,0,50,Park,Hang,Park,IsLevel,0,0,0,0
6,qm,blue,6693,4764,8137,4,4,0,0,None,None,None,0,0,0,0,4,4,4,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
7,qm,red,3976,4243,1553,22,22,10,10,Exited,Exited,None,0,0,0,0,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,0,1,0
7,qm,blue,4965,6626,3824,104,104,21,15,Exited,Exited,Exited,6,0,1,0,68,23,0,3,7,0,1,0,0,45,Park,None,Hang,IsLevel,15,0,0,0
8,qm,red,5130,3140,4582,58,58,10,10,Exited,Exited,None,0,0,0,0,18,8,8,0,0,0,0,0,0,10,Park,Park,None,IsLevel,30,0,0,0
8,qm,blue,4847,4083,2815,35,35,20,10,None,Exited,Exited,10,0,1,1,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,2,0
9,qm,red,1708,4020,694,119,119,48,10,Exited,Exited,None,38,0,3,5,71,31,0,7,5,0,1,0,0,40,None,Hang,None,IsLevel,0,0,0,0
9,qm,blue,3651,7431,4267,41,41,22,10,None,Exited,Exited,12,0,0,3,19,4,0,0,2,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
10,qm,red,1369,5063,4074,83,83,8,0,None,None,None,8,0,0,2,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,60,0,0,0
10,qm,blue,744,1398,5472,45,45,18,10,Exited,None,Exited,8,0,0,2,27,12,0,0,6,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,4,0
11,qm,red,6222,2187,5777,47,47,13,5,None,None,Exited,8,0,0,2,34,4,2,0,1,0,0,0,0,30,Hang,Park,None,NotLevel,0,0,1,0
11,qm,blue,1287,1539,2183,85,85,18,10,Exited,None,Exited,8,0,0,2,52,22,0,0,11,0,1,0,0,30,None,Hang,Park,NotLevel,15,0,0,0
12,qm,red,281,6366,5943,52,52,22,10,Exited,Exited,None,12,0,0,3,30,25,0,5,5,0,1,0,0,5,None,None,Park,IsLevel,0,0,0,0
12,qm,blue,343,1553,5842,65,65,19,5,None,None,Exited,14,0,1,2,46,16,0,0,8,0,1,0,0,30,Hang,None,Park,NotLevel,0,0,0,0
13,qm,red,4847,4075,3490,101,101,24,10,None,Exited,Exited,14,0,1,2,77,12,0,0,6,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
13,qm,blue,342,4965,7085,94,94,15,15,Exited,Exited,Exited,0,0,0,0,79,24,3,1,9,0,1,0,0,55,Hang,Park,Hang,NotLevel,0,0,0,0
14,qm,red,6693,4471,4083,56,56,5,5,None,None,Exited,0,0,0,0,45,0,0,0,0,0,0,0,0,45,None,Park,Hang,IsLevel,6,9,0,0
14,qm,blue,4748,4451,4020,151,151,54,10,None,Exited,Exited,44,0,0,11,70,40,0,2,17,0,1,0,0,30,None,Park,Hang,NotLevel,27,2,0,0
15,qm,red,7431,744,5063,92,92,22,10,Exited,Exited,None,12,0,2,0,64,19,0,1,8,0,1,0,0,45,Hang,Park,None,IsLevel,6,0,1,0
15,qm,blue,4243,5410,5130,43,43,15,15,Exited,Exited,Exited,0,0,0,0,13,3,0,1,0,0,0,0,0,10,Park,Park,None,IsLevel,15,2,0,0
