match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,1477,7872,3240,40,40,22,10,Exited,Exited,None,12,0,2,0,18,13,3,0,5,0,1,0,0,5,None,None,Park,IsLevel,0,0,0,0
1,qm,blue,4610,2613,5986,25,25,13,5,Exited,None,None,8,0,0,2,12,12,0,0,6,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
2,qm,red,8114,4641,624,36,36,31,15,Exited,Exited,Exited,16,0,0,4,5,0,0,0,0,0,0,0,0,5,None,Park,None,NotLevel,0,2,0,0
2,qm,blue,3743,8088,7138,21,21,7,5,Exited,None,None,2,1,0,0,8,3,3,0,0,0,0,0,0,5,None,None,Park,IsLevel,6,0,0,0
3,qm,red,5503,3545,3676,59,59,10,10,Exited,None,Exited,0,0,0,0,34,24,1,5,4,0,1,0,0,10,Park,None,Park,IsLevel,15,0,0,0
3,qm,blue,8053,6664,6357,22,22,11,5,Exited,None,None,6,3,0,0,11,1,1,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
4,qm,red,2789,6155,1817,50,50,26,10,Exited,None,Exited,16,0,2,1,24,14,5,1,3,0,1,0,0,10,Park,None,Park,IsLevel,0,0,0,0
4,qm,blue,3834,7621,5866,32,32,10,10,Exited,None,Exited,0,0,0,0,22,7,3,0,2,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
5,qm,red,7837,5572,5829,26,26,24,10,None,Exited,Exited,14,0,1,2,2,2,0,0,1,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
5,qm,blue,4734,3847,5411,63,63,22,10,None,Exited,Exited,12,0,0,3,41,6,0,0,3,0,0,0,0,35,Park,Hang,Park,NotLevel,0,0,0,0
6,qm,red,6315,4610,5866,65,65,10,10,None,Exited,Exited,0,0,0,0,55,25,0,1,11,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
6,qm,blue,2881,3240,5503,25,25,10,10,Exited,None,Exited,0,0,0,0,15,5,1,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
7,qm,red,3545,5572,8088,29,29,17,5,None,Exited,None,12,0,0,3,12,2,2,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,1,0
7,qm,blue,1817,3676,4641,90,90,36,10,Exited,None,Exited,26,0,1,5,39,24,0,2,9,0,1,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
8,qm,red,5411,624,7138,69,69,24,10,None,Exited,Exited,14,0,1,2,42,12,0,0,6,0,1,0,0,30,Park,Hang,None,NotLevel,3,0,0,0
8,qm,blue,5986,6155,3743,44,44,10,10,None,Exited,Exited,0,0,0,0,34,9,5,0,2,0,0,0,0,25,None,None,Hang,NotLevel,0,1,0,0
9,qm,red,6315,7872,2613,15,15,5,5,None,Exited,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
9,qm,blue,6664,5829,3834,24,24,10,10,None,Exited,Exited,0,0,0,0,14,9,3,0,3,0,0,0,0,5,None,None,Park,NotLevel,0,0,0,0
10,qm,red,4734,6357,8114,54,54,22,10,None,Exited,Exited,12,0,0,3,17,7,3,0,2,0,0,0,0,10,Park,Park,None,NotLevel,15,0,0,0
10,qm,blue,2789,2881,7621,49,49,5,5,Exited,None,None,0,0,0,0,44,4,0,0,2,0,0,0,0,40,None,Hang,None,IsLevel,0,0,1,0
11,qm,red,8053,1477,3743,49,49,10,10,Exited,None,Exited,0,0,0,0,39,29,4,1,11,0,1,0,0,10,Park,None,Park,NotLevel,0,0,0,0
11,qm,blue,7837,3847,5866,121,121,22,10,None,Exited,Exited,12,0,0,3,99,49,0,9,11,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
12,qm,red,6155,5503,5829,48,48,10,10,Exited,None,Exited,0,0,0,0,8,3,1,0,1,0,0,0,0,5,None,Park,None,IsLevel,30,16,0,0
12,qm,blue,2789,3676,5986,116,116,24,10,Exited,Exited,None,14,0,1,2,44,34,8,0,13,0,1,0,0,10,Park,Park,None,IsLevel,48,0,2,0
13,qm,red,5411,3834,7872,40,40,10,10,None,Exited,Exited,0,0,0,0,15,5,3,0,1,0,0,0,0,10,Park,None,Park,NotLevel,15,0,0,0
13,qm,blue,8088,8053,2881,27,27,7,5,None,None,Exited,2,1,0,0,20,10,4,0,3,0,0,0,0,10,None,Park,Park,IsLevel,0,0,1,0
14,qm,red,3545,6357,1817,57,57,22,10,None,Exited,Exited,12,0,2,0,20,10,0,0,5,0,0,0,0,10,Park,Park,None,IsLevel,15,0,0,0
14,qm,blue,2613,4641,7837,16,16,10,10,None,Exited,Exited,0,0,0,0,6,6,0,0,3,0,0,0,0,0,None,None,None,IsLevel,0,0,1,0
15,qm,red,5572,8114,3847,151,151,39,15,Exited,Exited,Exited,24,0,0,6,103,38,0,4,13,0,1,0,0,65,Hang,None,Hang,IsLevel,9,0,0,0
15,qm,blue,3240,4734,6315,27,27,0,0,None,None,None,0,0,0,0,27,12,10,0,1,0,1,0,0,15,Park,Park,Park,IsLevel,0,3,0,0
16,qm,red,6664,7138,7621,21,21,11,5,None,Exited,None,6,3,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,7,0,0
16,qm,blue,624,1477,4610,147,147,34,10,Exited,Exited,None,24,0,0,6,92,27,0,1,12,0,1,0,0,65,Hang,None,Hang,IsLevel,21,0,0,0
17,qm,red,3240,3743,2613,51,51,7,5,None,Exited,None,2,1,0,0,44,9,9,0,0,0,1,0,0,35,Park,Hang,Park,NotLevel,0,0,2,0
17,qm,blue,5866,5503,5572,91,91,15,15,Exited,Exited,Exited,0,0,0,0,46,6,0,0,3,0,0,0,0,40,None,None,Hang,IsLevel,30,0,0,0
18,qm,red,3545,624,3834,95,95,26,10,None,Exited,Exited,16,0,2,1,69,19,0,3,5,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,1,0
18,qm,blue,1817,5411,5829,64,64,36,10,Exited,None,Exited,26,0,1,5,13,8,0,0,4,0,1,0,0,5,None,Park,None,IsLevel,15,0,0,0
19,qm,red,7621,6315,5986,32,32,0,0,None,None,None,0,0,0,0,2,2,0,0,1,0,0,0,0,0,None,None,None,IsLevel,30,0,0,0
19,qm,blue,7837,7872,8053,37,37,19,15,Exited,Exited,Exited,4,2,0,0,18,8,6,0,1,0,1,0,0,10,None,Park,Park,IsLevel,0,0,2,0
20,qm,red,2881,4641,3847,157,157,31,15,Exited,Exited,Exited,16,0,2,1,126,61,0,5,23,0,1,0,0,65,Hang,None,Hang,IsLevel,0,2,0,0
20,qm,blue,4610,6155,4734,87,87,29,15,Exited,Exited,Exited,14,3,0,2,52,12,0,0,6,0,1,0,0,40,Hang,None,None,IsLevel,6,0,0,0
21,qm,red,3676,8088,6664,53,53,22,10,Exited,Exited,None,12,0,0,3,31,26,4,0,11,0,1,0,0,5,Park,None,None,IsLevel,0,0,0,0
21,qm,blue,8114,1477,2789,93,93,43,15,Exited,Exited,Exited,28,0,2,4,50,35,4,1,14,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
22,qm,red,6357,2613,5829,56,56,22,10,Exited,None,Exited,12,0,0,3,19,14,0,0,7,0,1,0,0,5,Park,None,None,IsLevel,15,3,0,0
22,qm,blue,5866,7138,7872,75,75,27,15,Exited,Exited,Exited,12,0,0,3,39,4,0,0,2,0,0,0,0,35,Hang,Park,Park,NotLevel,9,0,1,0
23,qm,red,4641,5572,4610,140,140,23,15,Exited,Exited,Exited,8,0,0,2,72,22,0,0,11,0,1,0,0,50,None,Hang,Hang,NotLevel,45,0,1,0
23,qm,blue,5986,7837,5411,89,89,10,10,Exited,Exited,None,0,0,0,0,64,24,0,0,12,0,1,0,0,40,None,None,Hang,IsLevel,15,0,3,0
24,qm,red,5503,8053,6315,34,34,18,10,Exited,Exited,None,8,0,0,2,16,6,6,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,1,0
24,qm,blue,624,1817,4734,78,78,39,15,Exited,Exited,Exited,24,0,2,3,24,19,0,1,8,0,1,0,0,5,Park,None,None,IsLevel,15,0,0,0
25,qm,red,7621,3676,3847,81,81,24,10,Exited,None,Exited,14,0,1,2,42,12,0,2,3,0,0,0,0,30,None,Park,Hang,NotLevel,15,0,2,0
25,qm,blue,6155,3834,8088,60,60,12,10,Exited,Exited,None,2,1,0,0,18,3,3,0,0,0,0,0,0,15,Park,Park,Park,NotLevel,30,0,1,0
26,qm,red,8114,3240,7138,60,60,27,15,Exited,Exited,Exited,12,0,0,3,18,13,8,1,1,0,1,0,0,5,Park,None,None,IsLevel,15,0,1,0
26,qm,blue,6664,1477,3545,87,87,19,5,None,Exited,None,14,0,1,2,53,8,0,0,4,0,0,0,0,45,None,Hang,Park,IsLevel,15,0,1,0
