match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4717,2714,6526,145,145,9,5,None,Exited,None,4,0,0,1,61,21,0,5,3,0,1,0,0,40,None,Hang,None,IsLevel,75,0,0,0
1,qm,blue,1296,8055,6901,18,18,5,5,None,None,Exited,0,0,0,0,13,3,0,1,0,0,0,0,0,10,Park,None,Park,IsLevel,0,0,5,0
2,qm,red,2468,5052,7534,170,170,36,10,Exited,None,Exited,26,0,1,5,44,34,0,0,17,0,1,0,0,10,Park,None,Park,NotLevel,90,0,0,0
2,qm,blue,6768,5242,7319,59,59,14,10,None,Exited,Exited,4,0,0,1,45,0,0,0,0,0,0,0,0,45,Hang,None,Park,IsLevel,0,0,6,0
3,qm,red,3037,4206,2805,30,30,10,10,None,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,15,2,0,0
3,qm,blue,6377,5212,5892,66,66,26,10,Exited,None,Exited,16,0,0,4,34,24,0,0,12,0,1,0,0,10,Park,None,Park,IsLevel,6,0,1,0
4,qm,red,6646,2969,2687,115,115,17,15,Exited,Exited,Exited,2,1,0,0,56,16,14,0,1,0,1,0,0,40,None,None,Hang,IsLevel,42,0,0,0
4,qm,blue,8177,7125,7708,45,45,15,15,Exited,Exited,Exited,0,0,0,0,30,5,1,0,2,0,0,0,0,25,Hang,None,None,NotLevel,0,4,2,0
5,qm,red,6321,5417,4295,81,81,19,5,None,Exited,None,14,0,1,2,32,7,0,1,2,0,0,0,0,25,None,Hang,None,NotLevel,30,0,0,0
5,qm,blue,3310,2582,3005,53,53,31,15,Exited,Exited,Exited,16,0,2,1,22,17,0,1,7,0,1,0,0,5,None,Park,None,NotLevel,0,0,2,0
6,qm,red,2969,8177,7319,47,47,15,15,Exited,Exited,Exited,0,0,0,0,17,7,5,0,1,0,0,0,0,10,None,Park,Park,IsLevel,15,0,1,0
6,qm,blue,5212,6646,3037,25,25,5,5,Exited,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,15,0,1,0
7,qm,red,2468,2714,6526,226,226,48,10,Exited,Exited,None,38,0,1,8,88,23,0,1,10,0,1,0,0,65,Hang,Hang,None,IsLevel,90,0,0,0
7,qm,blue,7534,5892,2687,96,96,37,15,Exited,Exited,Exited,22,3,2,1,59,29,6,1,10,0,1,0,0,30,Park,None,Hang,NotLevel,0,0,6,0
8,qm,red,5242,7125,5052,21,21,5,5,None,Exited,None,0,0,0,0,16,6,0,2,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
8,qm,blue,6321,3005,6901,31,31,19,15,Exited,Exited,Exited,4,0,0,1,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
9,qm,red,5417,1296,7708,70,70,20,10,Exited,Exited,None,10,0,1,1,50,20,0,2,7,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,1,0
9,qm,blue,4717,4206,6377,73,73,22,10,None,Exited,Exited,12,0,0,3,36,26,0,0,13,0,1,0,0,10,Park,Park,None,IsLevel,15,0,0,0
10,qm,red,3310,2805,8055,50,50,26,10,Exited,Exited,None,16,0,2,1,15,10,0,2,2,0,0,0,0,5,Park,None,None,IsLevel,9,0,0,0
10,qm,blue,2582,6768,4295,71,71,28,10,Exited,None,Exited,18,0,1,3,43,13,0,1,5,0,1,0,0,30,Park,Hang,None,NotLevel,0,3,0,0
11,qm,red,2687,6321,4206,99,99,16,10,Exited,None,Exited,6,3,0,0,56,16,16,0,0,0,1,0,0,40,Hang,None,None,IsLevel,27,1,0,0
