match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4505,6882,2421,34,34,10,10,Exited,None,Exited,0,0,0,0,24,19,0,1,8,0,1,0,0,5,Park,None,None,IsLevel,0,0,1,0
1,qm,blue,8326,2849,3373,22,22,0,0,None,None,None,0,0,0,0,7,2,2,0,0,0,0,0,0,5,None,Park,None,IsLevel,15,0,0,0
2,qm,red,1895,1418,1123,57,57,26,10,Exited,Exited,None,16,0,0,4,31,16,0,0,8,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
2,qm,blue,6504,3274,836,92,92,39,5,None,None,Exited,34,0,5,1,53,13,0,1,5,0,1,0,0,40,None,None,Hang,IsLevel,0,0,0,0
3,qm,red,4472,339,612,100,100,22,10,Exited,Exited,None,12,0,0,3,60,20,0,2,7,0,1,0,0,40,Hang,None,None,IsLevel,18,0,0,0
3,qm,blue,2900,1111,1727,43,43,15,15,Exited,Exited,Exited,0,0,0,0,28,18,0,0,9,0,1,0,0,10,None,Park,Park,NotLevel,0,1,1,0
4,qm,red,1915,4099,2363,82,82,18,10,None,Exited,Exited,8,0,0,2,64,34,0,2,14,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
4,qm,blue,5546,2988,539,86,86,24,10,Exited,None,Exited,14,0,1,2,62,12,9,1,0,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
5,qm,red,1719,2819,8230,10,10,5,5,Exited,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,NotLevel,0,0,1,0
5,qm,blue,5243,614,1731,54,54,14,10,None,Exited,Exited,4,0,0,1,25,0,0,0,0,0,0,0,0,25,None,Hang,None,NotLevel,15,0,0,0
6,qm,red,116,2186,623,77,77,19,5,None,Exited,None,14,1,0,3,58,8,6,0,1,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
6,qm,blue,686,620,2199,68,68,5,5,None,Exited,None,0,0,0,0,63,18,2,2,5,0,1,0,0,45,None,Park,Hang,IsLevel,0,0,0,0
7,qm,red,611,1111,339,88,88,15,15,Exited,Exited,Exited,0,0,0,0,73,8,0,0,4,0,0,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
7,qm,blue,3650,2900,2988,10,10,10,10,Exited,Exited,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
8,qm,red,614,8230,1418,71,71,30,10,Exited,None,Exited,20,0,0,5,41,11,3,0,4,0,1,0,0,30,Hang,None,Park,NotLevel,0,0,1,0
8,qm,blue,4099,4472,6882,128,128,27,15,Exited,Exited,Exited,12,0,0,3,86,16,0,2,5,0,1,0,0,70,Hang,Hang,Park,IsLevel,15,0,0,0
9,qm,red,2186,1727,6504,123,123,25,15,Exited,Exited,Exited,10,1,0,2,83,48,18,0,15,0,1,0,0,35,Hang,Park,Park,NotLevel,15,0,0,0
9,qm,blue,2819,116,8326,11,11,0,0,None,None,None,0,0,0,0,11,1,1,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
10,qm,red,2849,620,1895,116,116,25,15,Exited,Exited,Exited,10,3,0,1,76,6,6,0,0,0,1,0,0,70,Hang,Park,Hang,IsLevel,15,0,1,0
10,qm,blue,1719,611,612,63,63,15,15,Exited,Exited,Exited,0,0,0,0,33,18,18,0,0,0,1,0,0,15,Park,Park,Park,NotLevel,15,0,1,0
