match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4131,4683,2412,22,22,7,5,Exited,None,None,2,1,0,0,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
1,qm,blue,1318,4089,8059,69,69,13,5,None,Exited,None,8,0,0,2,56,6,0,0,3,0,0,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
2,qm,red,4205,4180,2910,91,91,24,10,None,Exited,Exited,14,0,1,2,67,27,0,5,6,0,1,0,0,40,None,None,Hang,IsLevel,0,1,0,0
2,qm,blue,3826,2928,7118,45,45,17,5,Exited,None,None,12,0,0,3,25,15,0,1,6,0,1,0,0,10,Park,Park,None,IsLevel,3,0,0,0
3,qm,red,4918,4173,4513,65,65,33,15,Exited,Exited,Exited,18,0,1,3,17,7,7,0,0,0,1,0,0,10,Park,None,Park,NotLevel,15,0,0,0
3,qm,blue,4512,1294,4309,12,12,5,5,Exited,None,None,0,0,0,0,7,2,0,0,1,0,0,0,0,5,Park,None,None,IsLevel,0,0,1,0
4,qm,red,2522,5588,8032,98,98,41,15,Exited,Exited,Exited,26,0,1,5,57,12,0,0,6,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,4,0
4,qm,blue,1778,2903,7627,84,84,24,10,Exited,None,Exited,14,0,1,2,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,60,0,0,0
5,qm,red,4915,492,949,64,64,25,15,Exited,Exited,Exited,10,0,1,1,39,9,9,0,0,0,1,0,0,30,Park,Hang,None,NotLevel,0,1,0,0
5,qm,blue,4682,3070,8248,16,16,7,5,None,Exited,None,2,1,0,0,6,1,1,0,0,0,0,0,0,5,None,Park,None,IsLevel,3,0,0,0
6,qm,red,2930,4681,4911,132,132,38,10,None,Exited,Exited,28,0,4,1,76,11,0,1,4,0,1,0,0,65,Hang,None,Hang,IsLevel,18,0,1,0
6,qm,blue,1899,3268,7461,69,69,22,10,Exited,Exited,None,12,0,2,0,32,2,0,0,1,0,0,0,0,30,Hang,None,Park,NotLevel,15,1,1,0
7,qm,red,2976,4131,4089,125,125,47,15,Exited,Exited,Exited,32,1,3,3,57,22,0,4,5,0,1,0,0,35,Park,Park,Hang,NotLevel,21,0,1,0
7,qm,blue,4309,1778,2910,127,127,22,10,Exited,None,Exited,12,0,0,3,90,45,0,3,18,0,1,0,0,45,Park,None,Hang,IsLevel,15,2,1,0
8,qm,red,8248,1294,4918,29,29,13,5,None,None,Exited,8,0,0,2,16,6,0,0,3,0,0,0,0,10,None,Park,Park,IsLevel,0,0,1,0
8,qm,blue,4180,5588,4682,32,32,10,10,Exited,Exited,None,0,0,0,0,7,2,0,0,1,0,0,0,0,5,Park,None,None,IsLevel,15,0,0,0
9,qm,red,2930,3268,3826,113,113,39,15,Exited,Exited,Exited,24,0,0,6,74,39,0,7,9,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
9,qm,blue,8032,1318,4512,64,64,5,5,None,None,Exited,0,0,0,0,59,29,0,5,7,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
10,qm,red,1899,4915,8059,65,65,24,10,Exited,Exited,None,14,0,1,2,41,11,0,1,4,0,0,0,0,30,Park,Hang,None,NotLevel,0,1,1,0
10,qm,blue,7461,2412,4513,53,53,9,5,None,None,Exited,4,0,0,1,26,16,0,0,8,0,1,0,0,10,None,Park,Park,NotLevel,18,0,0,0
11,qm,red,2928,4681,4205,41,41,24,10,Exited,None,Exited,14,0,1,2,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,3,0,0,0
11,qm,blue,2522,2976,3070,91,91,43,15,Exited,Exited,Exited,28,0,2,4,48,18,0,0,9,0,1,0,0,30,Hang,None,Park,NotLevel,0,1,0,0
12,qm,red,492,7118,7627,57,57,15,15,Exited,Exited,Exited,0,0,0,0,42,7,1,0,3,0,0,0,0,35,Hang,Park,Park,NotLevel,0,0,1,0
12,qm,blue,4911,2903,4173,59,59,14,10,Exited,Exited,None,4,0,0,1,30,0,0,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,15,0,0,0
13,qm,red,4683,4512,7461,59,59,5,5,None,Exited,None,0,0,0,0,54,39,2,3,14,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
13,qm,blue,949,4309,4180,57,57,25,15,Exited,Exited,Exited,10,0,1,1,32,22,0,0,11,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
14,qm,red,4682,2928,8059,10,10,5,5,None,Exited,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,1,0
14,qm,blue,2930,5588,4089,84,84,14,10,None,Exited,Exited,4,0,0,1,55,10,0,0,5,0,0,0,0,45,None,Park,Hang,IsLevel,15,0,0,0
15,qm,red,2522,4918,2903,44,44,10,10,Exited,Exited,None,0,0,0,0,34,4,0,0,2,0,0,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
15,qm,blue,2910,1318,3070,186,186,40,10,Exited,None,Exited,30,1,0,7,146,56,0,8,16,0,1,0,0,90,Hang,Hang,Hang,IsLevel,0,0,0,0
16,qm,red,7118,1899,1294,86,86,26,10,Exited,Exited,None,16,0,0,4,54,24,0,2,9,0,1,0,0,30,None,Hang,Park,NotLevel,6,0,0,0
16,qm,blue,8248,949,4683,33,33,9,5,None,Exited,None,4,0,0,1,24,14,4,0,5,0,1,0,0,10,Park,Park,None,IsLevel,0,2,0,0
17,qm,red,1778,2976,2412,61,61,12,0,None,None,None,12,0,0,3,46,41,0,3,16,0,1,0,0,5,None,Park,None,IsLevel,3,2,0,0
17,qm,blue,4513,3826,492,107,107,30,10,None,Exited,Exited,20,0,0,5,71,21,0,1,9,0,1,0,0,50,Park,Hang,Park,IsLevel,6,1,0,0
18,qm,red,4915,3268,4681,77,77,24,10,None,Exited,Exited,14,0,1,2,50,0,0,0,0,0,0,0,0,50,Hang,None,Hang,NotLevel,3,0,1,0
18,qm,blue,4173,4131,4205,89,89,19,15,Exited,Exited,Exited,4,2,0,0,55,10,3,1,2,0,0,0,0,45,None,Hang,Park,IsLevel,15,1,0,0
19,qm,red,949,4911,8032,57,57,35,15,Exited,Exited,Exited,20,0,2,2,22,12,6,0,3,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
19,qm,blue,7627,2928,4918,30,30,18,10,Exited,None,Exited,8,0,0,2,12,2,0,0,1,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
20,qm,red,2903,4180,1899,39,39,19,15,Exited,Exited,Exited,4,0,0,1,20,10,0,0,5,0,0,0,0,10,None,Park,Park,NotLevel,0,4,0,0
20,qm,blue,2412,492,2910,146,146,53,15,Exited,Exited,Exited,38,0,1,8,81,51,0,1,24,0,1,0,0,30,None,Park,Hang,NotLevel,12,0,0,0
