match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7767,6586,5454,49,49,27,15,Exited,Exited,Exited,12,0,0,3,22,12,0,0,6,0,1,0,0,10,None,Park,Park,NotLevel,0,0,1,0
1,qm,blue,7846,5006,2080,54,54,0,0,None,None,None,0,0,0,0,39,29,0,5,7,0,1,0,0,10,None,Park,Park,IsLevel,15,0,0,0
2,qm,red,1421,7467,7910,68,68,17,5,Exited,None,None,12,0,0,3,51,6,0,0,3,0,0,0,0,45,Hang,None,Park,IsLevel,0,0,1,0
2,qm,blue,5965,537,5437,76,76,27,5,Exited,None,None,22,0,1,4,34,19,3,2,5,0,1,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
3,qm,red,7798,5729,4265,52,52,17,5,None,None,Exited,12,0,0,3,17,2,0,0,1,0,0,0,0,15,Park,Park,Park,IsLevel,18,0,0,0
3,qm,blue,7908,7868,4087,77,77,22,10,Exited,None,Exited,12,0,0,3,55,30,0,4,9,0,1,0,0,25,None,None,Hang,NotLevel,0,1,1,0
4,qm,red,2393,3966,3593,123,123,39,15,Exited,Exited,Exited,24,0,0,6,66,51,0,3,21,0,1,0,0,15,Park,Park,Park,IsLevel,18,0,0,0
4,qm,blue,6840,5568,7702,20,20,15,15,Exited,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,NotLevel,0,1,1,0
5,qm,red,3250,4336,6055,139,139,31,15,Exited,Exited,Exited,16,0,2,1,105,15,0,1,6,0,1,0,0,90,Hang,Hang,Hang,IsLevel,3,0,0,0
5,qm,blue,4330,5889,6855,15,15,5,5,None,None,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,NotLevel,0,1,0,0
