match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,8331,7135,8082,39,39,0,0,None,None,None,0,0,0,0,39,9,5,0,2,0,0,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
1,qm,blue,8312,5118,4627,49,49,21,15,Exited,Exited,Exited,6,0,1,0,28,13,0,1,5,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
2,qm,red,5015,7498,216,200,200,51,15,Exited,Exited,Exited,36,0,2,6,119,29,0,3,10,0,1,0,0,90,Hang,Hang,Hang,IsLevel,30,0,0,0
2,qm,blue,7287,6719,8278,43,43,18,10,None,Exited,Exited,8,0,0,2,25,10,0,0,5,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,2,0
3,qm,red,7796,7173,7688,28,28,15,15,Exited,Exited,Exited,0,0,0,0,13,8,8,0,0,0,0,0,0,5,Park,None,None,NotLevel,0,0,1,0
3,qm,blue,288,6486,6364,59,59,25,5,Exited,None,None,20,2,2,1,19,9,7,0,1,0,1,0,0,10,Park,None,Park,IsLevel,15,0,0,0
4,qm,red,7787,6390,244,163,163,22,10,Exited,Exited,None,12,0,0,3,81,11,6,1,1,0,1,0,0,70,Park,Hang,Hang,IsLevel,60,0,0,0
4,qm,blue,7781,6918,3598,78,78,22,10,Exited,None,Exited,12,0,0,3,56,11,0,1,4,0,0,0,0,45,None,Park,Hang,IsLevel,0,0,4,0
5,qm,red,7169,7167,4270,100,100,5,5,None,Exited,None,0,0,0,0,80,35,0,5,10,0,1,0,0,45,None,Park,Hang,IsLevel,15,0,0,0
5,qm,blue,3008,6458,8322,9,9,4,0,None,None,None,4,0,0,1,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,1,0
6,qm,red,8330,7190,7158,77,77,10,10,None,Exited,Exited,0,0,0,0,67,17,11,0,3,0,1,0,0,50,Park,Hang,Park,IsLevel,0,0,0,0
6,qm,blue,8338,8318,8339,40,40,10,10,None,Exited,Exited,0,0,0,0,30,0,0,0,0,0,0,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
7,qm,red,4334,3256,6351,74,74,16,10,Exited,None,Exited,6,0,1,0,58,28,0,0,14,0,1,0,0,30,Park,None,Hang,NotLevel,0,3,0,0
7,qm,blue,6485,7498,7170,141,141,26,10,None,Exited,Exited,16,0,0,4,106,41,0,1,19,0,1,0,0,65,Hang,Hang,None,IsLevel,9,0,0,0
8,qm,red,6918,7688,6486,20,20,5,5,None,Exited,None,0,0,0,0,15,10,10,0,0,0,1,0,0,5,Park,None,None,IsLevel,0,4,0,0
8,qm,blue,6364,8331,8322,54,54,19,5,Exited,None,None,14,0,1,2,23,13,13,0,0,0,1,0,0,10,Park,Park,None,IsLevel,12,0,0,0
