match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,3647,5107,4276,126,126,41,15,Exited,Exited,Exited,26,0,3,2,52,42,0,6,12,0,1,0,0,10,Park,None,Park,NotLevel,33,0,1,0
1,qm,blue,3859,5496,5199,63,63,20,10,None,Exited,Exited,10,0,1,1,28,18,0,2,6,0,1,0,0,10,Park,Park,None,IsLevel,15,1,2,0
2,qm,red,7706,5526,2437,49,49,14,10,Exited,Exited,None,4,0,0,1,35,5,3,0,1,0,0,0,0,30,None,Park,Hang,NotLevel,0,3,0,0
2,qm,blue,4419,4984,8006,77,77,10,10,Exited,Exited,None,0,0,0,0,58,13,13,0,0,0,1,0,0,45,Hang,Park,None,IsLevel,9,0,0,0
3,qm,red,5025,3749,1159,71,71,15,15,Exited,Exited,Exited,0,0,0,0,56,11,0,1,4,0,0,0,0,45,None,Park,Hang,IsLevel,0,1,0,0
3,qm,blue,2658,399,5805,86,86,29,15,Exited,Exited,Exited,14,0,1,2,54,9,1,0,4,0,0,0,0,45,Hang,None,Park,IsLevel,3,0,0,0
4,qm,red,4738,7157,7459,88,88,18,10,None,Exited,Exited,8,0,0,2,70,5,0,1,1,0,0,0,0,65,Hang,None,Hang,IsLevel,0,0,0,0
4,qm,blue,7445,7326,2443,38,38,18,10,Exited,None,Exited,8,0,0,2,20,10,0,0,5,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
5,qm,red,3889,2839,1572,84,84,14,10,Exited,None,Exited,4,0,0,1,70,5,5,0,0,0,0,0,0,65,Hang,Hang,None,IsLevel,0,1,1,0
5,qm,blue,294,4919,3882,162,162,41,15,Exited,Exited,Exited,26,0,1,5,103,38,0,2,16,0,1,0,0,65,Hang,None,Hang,IsLevel,18,0,0,0
6,qm,red,812,3965,5137,101,101,19,15,Exited,Exited,Exited,4,0,0,1,67,22,0,2,8,0,1,0,0,45,None,Park,Hang,IsLevel,15,1,1,0
6,qm,blue,4698,6695,5851,122,122,22,10,Exited,Exited,None,12,0,0,3,82,37,0,1,17,0,1,0,0,45,None,Park,Hang,IsLevel,18,0,1,0
7,qm,red,2240,6704,2984,88,88,37,15,Exited,Exited,Exited,22,0,1,4,30,0,0,0,0,0,0,0,0,30,None,Hang,Park,NotLevel,21,5,1,0
7,qm,blue,1266,1622,3128,35,35,0,0,None,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,30,2,1,0
8,qm,red,7042,968,2945,79,79,18,10,Exited,None,Exited,8,0,0,2,61,11,0,1,4,0,0,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
8,qm,blue,7607,3341,4486,10,10,10,10,None,Exited,Exited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
9,qm,red,6885,6479,5678,48,48,14,10,Exited,Exited,None,4,0,0,1,28,23,3,2,7,0,1,0,0,5,None,None,Park,IsLevel,6,1,1,0
9,qm,blue,6960,3255,4583,59,59,26,10,None,Exited,Exited,16,0,0,4,15,10,0,0,5,0,1,0,0,5,None,Park,None,IsLevel,18,2,0,0
10,qm,red,399,4763,2543,22,22,5,5,None,Exited,None,0,0,0,0,17,2,2,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,0,6,1,0
